name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Alisma ellipticum,Alismataceae,Alisma,ellipticum,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(2): 1607. 1830 [Oct-Dec 1830] ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1830,Brazil (Southern America),8474-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1830&rft.issue=2&rft.spage=1607&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8474-2,tax_nov,IPNI,NA
Alisma floribundum,Alismataceae,Alisma,floribundum,spec.,Fl. Bras. (Martius) 3(1): 109. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,Brazil (Southern America),312160-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135519&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/312160-2,tax_nov,IPNI,NA
Alisma grandiflorum,Alismataceae,Alisma,grandiflorum,spec.,Linnaea 2: 152 (-154). 1827 ,Linnaea,1827,Brazil (Southern America),271927-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/94103&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271927-2,tax_nov,IPNI,NA
Alisma macrophyllum,Alismataceae,Alisma,macrophyllum,spec.,Enum. Pl. [Kunth] 3: 151 (-152). 1841 [23-29 May 1841] ,Enum. Pl. [Kunth],1841,Brazil (Southern America),271928-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1841&rft.spage=151&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271928-2,tax_nov,IPNI,NA
Alisma tenellum,Alismataceae,Alisma,tenellum,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(2): 1600. 1830 [Oct-Dec 1830] ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1830,"Minas Gerais (Brazil, Southern America)",8515-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1830&rft.issue=2&rft.spage=1600&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8515-2,tax_nov,IPNI,NA
Echinodorus amazonicus,Alismataceae,Echinodorus,amazonicus,spec.,"Preslia 42: 264, tab. 18A. 1970 ",Preslia,1970,"Rondonia (Terr.) (Brazil, Southern America)",88140-2,NA,NA,www.ipni.org/n/88140-2,tax_nov,IPNI,NA
Echinodorus amphibius,Alismataceae,Echinodorus,amphibius,spec.,Mitt. Bot. Staatssamml. München 6: 617. 1967 ,Mitt. Bot. Staatssamml. München,1967,"Para &amp; Bahia, Brazil (Southern America)",88141-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1967&rft.spage=617&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/14894&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/88141-2,tax_nov,IPNI,NA
Echinodorus angustifolius,Alismataceae,Echinodorus,angustifolius,spec.,Stud. Ceskoslov. Akad. Ved. 2: 19. 1975 Rev. Gen. Echinodorus,Stud. Ceskoslov. Akad. Ved.,1975,Brazil (Southern America),88144-2,NA,NA,www.ipni.org/n/88144-2,tax_nov,IPNI,NA
Echinodorus argentinensis,Alismataceae,Echinodorus,argentinensis,spec.,"Darwiniana 16(1-2): 34, fig. 11. 1970 ",Darwiniana,1970,"Brazil, Argentina, Uruguay",88145-2,NA,NA,www.ipni.org/n/88145-2,tax_nov,IPNI,NA
Echinodorus australis,Alismataceae,Echinodorus,australis,spec.,Aqua (Neu Isenburg) special publ. 1: 16 (figs. 1-6). 2004 [Mar 2004] ,Aqua (Neu Isenburg),2004,"Santa Catarina (Brazil, Southern America)",60442250-2,NA,[original publ. non vidi; jpg. file vidi; courtesy Volker Bittrich],www.ipni.org/n/60442250-2,tax_nov,IPNI,NA
Echinodorus austroamericanus,Alismataceae,Echinodorus,austroamericanus,spec.,"Darwiniana 16: 18, fig. 4. 1970 , as 'austro-americanus'",Darwiniana,1970,"Peru, Bolivia, S. Brazil, Parag., Argent",88148-2,NA,NA,www.ipni.org/n/88148-2,tax_nov,IPNI,NA
Echinodorus bleherae,Alismataceae,Echinodorus,bleherae,spec.,"Preslia 42: 265, tab. 1813. 1970 ",Preslia,1970,Brazil (Southern America),88151-2,NA,as bleheri,www.ipni.org/n/88151-2,tax_nov,IPNI,NA
Echinodorus cylindricus,Alismataceae,Echinodorus,cylindricus,spec.,Stud. Ceskoslov. Akad. Ved. 2: 66. 1975 Rev. Gen. Echinodorus,Stud. Ceskoslov. Akad. Ved.,1975,Brazil (Southern America),88158-2,NA,NA,www.ipni.org/n/88158-2,tax_nov,IPNI,NA
Echinodorus decumbens,Alismataceae,Echinodorus,decumbens,spec.,Aqua Pl. 25(1): 5 (3-10; figs.) (2000). ,Aqua Pl.,2000,"Piauí (Brazil Northeast, Brazil, Southern America)",60431802-2,NA,NA,www.ipni.org/n/60431802-2,tax_nov,IPNI,NA
Echinodorus gabrielii,Alismataceae,Echinodorus,gabrielii,spec.,Akvar. Terar. 33: 15. 1990 ,Akvar. Terar.,1990,Brazil.,1013176-1,NA,NA,www.ipni.org/n/1013176-1,tax_nov,IPNI,NA
Echinodorus glandulosus,Alismataceae,Echinodorus,glandulosus,spec.,Folia Geobot. Phytotax. 4: 336. 1969 ,Folia Geobot. Phytotax.,1969,"Ceará (Brazil, Southern America)",88164-2,NA,NA,www.ipni.org/n/88164-2,tax_nov,IPNI,NA
Echinodorus glaucus,Alismataceae,Echinodorus,glaucus,spec.,Stud. Ceskoslov. Akad. Ved. 2: 69. 1975 Rev. Gen. Echinodorus,Stud. Ceskoslov. Akad. Ved.,1975,Brazil (Southern America),88165-2,NA,NA,www.ipni.org/n/88165-2,tax_nov,IPNI,NA
Echinodorus gracilis,Alismataceae,Echinodorus,gracilis,spec.,Mitt. Bot. Staatssamml. München 6: 617. 1967 ,Mitt. Bot. Staatssamml. München,1967,"Mexico (Oaxaca), Nicaragua &amp; Brazil",88166-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1967&rft.spage=617&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/14894&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/88166-2,tax_nov,IPNI,NA
Echinodorus horizontalis,Alismataceae,Echinodorus,horizontalis,spec.,Folia Geobot. Phytotax. 4: 335. 1969 ,Folia Geobot. Phytotax.,1969,"Peru (Loreto), Colombia (Choco) &amp; Brazil (Para)",88176-2,NA,NA,www.ipni.org/n/88176-2,tax_nov,IPNI,NA
Echinodorus inpai,Alismataceae,Echinodorus,inpai,spec.,Akvar. Terar. 24(6): 20. 1981 ,Akvar. Terar.,1981,Brazil.,957778-1,NA,NA,www.ipni.org/n/957778-1,tax_nov,IPNI,NA
Echinodorus lanceolatus,Alismataceae,Echinodorus,lanceolatus,spec.,"Bull. Jard. Bot. Natl. Belg. 38: 407, fig. 2. 1968 ",Bull. Jard. Bot. Natl. Belg.,1968,"Sao Paulo (Brazil, Southern America)",88178-2,NA,NA,www.ipni.org/n/88178-2,tax_nov,IPNI,NA
Echinodorus macrocarpus,Alismataceae,Echinodorus,macrocarpus,spec.,Stud. Ceskoslov. Akad. Ved. 2: 69. 1975 Rev. Gen. Echinodorus,Stud. Ceskoslov. Akad. Ved.,1975,Brazil (Southern America),88183-2,NA,NA,www.ipni.org/n/88183-2,tax_nov,IPNI,NA
