name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Anacardium amapaense,15461,Anacardium amapaense,301759-2,Anacardiaceae,Anacardium,amapaense,spec.,"Brittonia 44: 331, figs. 1D, 3A-D. 1992 ",Brittonia,1992,"Amapá (Terr.) (Brazil, Southern America)",NA,NA,www.ipni.org/n/301759-2,tax_nov,IPNI,NA
Anacardium amilcarianum,77850,Anacardium amilcarianum,12222-2,Anacardiaceae,Anacardium,amilcarianum,spec.,"Arch. Jard. Bot. Rio de Janeiro 9: 88, fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,Brazil (Southern America),NA,NA,www.ipni.org/n/12222-2,tax_nov,IPNI,NA
Anacardium corymbosum,26372,Anacardium corymbosum,12223-2,Anacardiaceae,Anacardium,corymbosum,spec.,"Pl. Mattogross. 10, pl. 5. 1898 ",Pl. Mattogross.,1898,Brazil (Southern America),NA,NA,www.ipni.org/n/12223-2,tax_nov,IPNI,NA
Anacardium giganteum,284091,Anacardium giganteum,69177-1,Anacardiaceae,Anacardium,giganteum,spec.,Fl. Bras. (Martius) 12(2): 409. 1876 [1 Sep 1876] ,Fl. Bras. (Martius),1876,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144224&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Engler cited Anacardium giganteum Hance in Spruce Exsicc. n. 1971; this is an error and the label actually reads Anacardium giganteum Hanc.,www.ipni.org/n/69177-1,tax_nov,IPNI,NA
Anacardium humile,15463,Anacardium humile,272099-2,Anacardiaceae,Anacardium,humile,spec.,Ann. Sci. Nat. (Paris) 23: 272. 1831 ,Ann. Sci. Nat. (Paris),1831,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1831&rft.spage=272&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/6343&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272099-2,tax_nov,IPNI,NA
Anacardium kuhlmannianum,77851,Anacardium kuhlmannianum,12226-2,Anacardiaceae,Anacardium,kuhlmannianum,spec.,"Arch. Jard. Bot. Rio de Janeiro 9: 89, fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/12226-2,tax_nov,IPNI,NA
Anacardium microcarpum,77852,Anacardium microcarpum,272101-2,Anacardiaceae,Anacardium,microcarpum,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 202. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),NA,NA,www.ipni.org/n/272101-2,tax_nov,IPNI,NA
Anacardium microsepalum,80019,Anacardium microsepalum,12228-2,Anacardiaceae,Anacardium,microsepalum,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 175. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=175&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12228-2,tax_nov,IPNI,NA
Anacardium negrense,115343,Anacardium negrense,12229-2,Anacardiaceae,Anacardium,negrense,spec.,"Bol. Tecn. Inst. Agron. N. 15: 20, tab. 1948 ",Bol. Tecn. Inst. Agron. N.,1948,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/12229-2,tax_nov,IPNI,NA
Anacardium parvifolium,77854,Anacardium parvifolium,12232-2,Anacardiaceae,Anacardium,parvifolium,spec.,Arch. Jard. Bot. Rio de Janeiro 5: 157. 1930 ,Arch. Jard. Bot. Rio de Janeiro,1930,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/12232-2,tax_nov,IPNI,NA
