name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aberemoa brevipedunculata,110867,Aberemoa brevipedunculata,301022-2,Annonaceae,Aberemoa,brevipedunculata,spec.,"Ark. Bot. 4(19): 8, pl. 1, fig. 10. 1905 ",Ark. Bot.,1905,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.issue=19&rft.spage=8&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; He & Maas, Bol. Mus. Para Emilio Goeldi, n.s., Bot. 9:¹161. 1993 (1994)]",www.ipni.org/n/301022-2,tax_nov,IPNI,NA
Aberemoa microphylla,110957,Aberemoa microphylla,302414-2,Annonaceae,Aberemoa,microphylla,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 34(5): 23, pl. 3, fig. 4-6. 1900 ",Kongl. Svenska Vetensk.-Akad. Handl.,1900,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=23&rft.volume=34&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; He & Maas, Bol. Mus. Para Emilio Goeldi, n.s., Bot.¹9: 177. 1994]",www.ipni.org/n/302414-2,tax_nov,IPNI,NA
Aberemoa stelechantha,110941,Aberemoa stelechantha,302611-2,Annonaceae,Aberemoa,stelechantha,spec.,"Verh. Bot. Vereins Prov. Brandenburg 47(Heft 2): 129, t. 1. 1905 [1 Oct 1905] ",Verh. Bot. Vereins Prov. Brandenburg,1905,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/302611-2,tax_nov,IPNI,NA
Aberemoa ulei,110991,Aberemoa ulei,306369-2,Annonaceae,Aberemoa,ulei,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 130. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=130&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/306369-2,tax_nov,IPNI,NA
Anaxagorea angustifolia,110222,Anaxagorea angustifolia,272116-2,Annonaceae,Anaxagorea,angustifolia,spec.,Proc. Kon. Ned. Akad. Wetensch. C 87(3): 298. 1984 ,Proc. Kon. Ned. Akad. Wetensch. C,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/272116-2,tax_nov,IPNI,NA
Anaxagorea brevipedicellata,110224,Anaxagorea brevipedicellata,272117-2,Annonaceae,Anaxagorea,brevipedicellata,spec.,Proc. Kon. Ned. Akad. Wetensch. C 87(3): 298. 1984 ,Proc. Kon. Ned. Akad. Wetensch. C,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/272117-2,tax_nov,IPNI,NA
Anaxagorea krukoffii,111104,Anaxagorea krukoffii,12511-2,Annonaceae,Anaxagorea,krukoffii,spec.,Acta Horti Berg. 12: 270. 1937 ,Acta Horti Berg.,1937,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=270&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12511-2,tax_nov,IPNI,NA
Anaxagorea macrantha,110228,Anaxagorea macrantha,12512-2,Annonaceae,Anaxagorea,macrantha,spec.,"Acta Horti Berg. 12: 27, fig. 1, d-g. 1934 ",Acta Horti Berg.,1934,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=27&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12512-2,tax_nov,IPNI,NA
Anaxagorea manausensis,110229,Anaxagorea manausensis,272119-2,Annonaceae,Anaxagorea,manausensis,spec.,Proc. Kon. Ned. Akad. Wetensch. C 87(3): 301. 1984 ,Proc. Kon. Ned. Akad. Wetensch. C,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/272119-2,tax_nov,IPNI,NA
Anaxagorea multiflora,110814,Anaxagorea multiflora,12515-2,Annonaceae,Anaxagorea,multiflora,spec.,Acta Horti Berg. 12: 13. 1934 ,Acta Horti Berg.,1934,British Guiana &amp; Brazil (Para),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=13&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12515-2,tax_nov,IPNI,NA
