name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aralia bahiana,124235,Aralia bahiana,77112409-1,Araliaceae,Aralia,bahiana,spec.,Contr. U.S. Natl. Herb. 57: 149 (-150; fig. 57). 2011 [Mar 2011] ; Syst. Biogeogr. Aralia,Contr. U.S. Natl. Herb.,2011,"Bahia (Brazil Northeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/40569458&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77112409-1,tax_nov,IPNI,NA
Aralia fluminensis,43196,Aralia fluminensis,17488-2,Araliaceae,Aralia,fluminensis,spec.,Bull. Soc. Bot. France 56(Mém. 3d): 332. 1909 ,Bull. Soc. Bot. France,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/17488-2,tax_nov,IPNI,NA
Coemansia warmingiana,43212,Coemansia warmingiana,307595-2,Araliaceae,Coemansia,warmingiana,spec.,Bull. Acad. Roy. Sci. Belgique 47: 95. 1879 ,Bull. Acad. Roy. Sci. Belgique,1879,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1879&rft.spage=95&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/5550&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/307595-2,tax_nov,IPNI,NA
Dendropanax amorimii,5100,Dendropanax amorimii,60440060-2,Araliaceae,Dendropanax,amorimii,spec.,Brittonia 57(3): 241 (-243; fig. 1). 2005 [29 Sep 2005] ,Brittonia,2005,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/60440060-2,tax_nov,IPNI,NA
Dendropanax australis,5101,Dendropanax australis,77077515-1,Araliaceae,Dendropanax,australis,spec.,Candollea 61(2): 458 (-460; fig. 1). 2006 [22 Dec 2006] ,Candollea,2006,"São Paulo (Brazil Southeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",NA,NA,www.ipni.org/n/77077515-1,tax_nov,IPNI,NA
Dendropanax bahiensis,5102,Dendropanax bahiensis,60440061-2,Araliaceae,Dendropanax,bahiensis,spec.,Brittonia 57(3): 243 (-245; fig. 2). 2005 [29 Sep 2005] ,Brittonia,2005,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/60440061-2,tax_nov,IPNI,NA
Dendropanax caudatus,5104,Dendropanax caudatus,77085532-1,Araliaceae,Dendropanax,caudatus,spec.,Novon 16(4): 480 (-482; fig. 1). 2006 [19 Dec 2006] ,Novon,2006,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11160118&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77085532-1,tax_nov,IPNI,NA
Dendropanax denticulatus,5106,Dendropanax denticulatus,77077516-1,Araliaceae,Dendropanax,denticulatus,spec.,Candollea 61(2): 460 (-461; fig. 2). 2006 [22 Dec 2006] ,Candollea,2006,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77077516-1,tax_nov,IPNI,NA
Dendropanax fluminensis,608769,Dendropanax fluminensis,77157808-1,Araliaceae,Dendropanax,fluminensis,spec.,Brittonia 68(2): 104. 2016 [8 Jan 2016] [epublished],Brittonia,2016,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1007/s12228-015-9402-4,www.ipni.org/n/77157808-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-015-9402-4
Dendropanax geniculatus,5108,Dendropanax geniculatus,60440062-2,Araliaceae,Dendropanax,geniculatus,spec.,Brittonia 57(3): 245 (-247; fig. 3). 2005 [29 Sep 2005] ,Brittonia,2005,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/60440062-2,tax_nov,IPNI,NA
