name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Aristolochia acutifolia,Aristolochiaceae,Aristolochia,acutifolia,spec.,"Ann. Sci. Nat., Bot. sér. 4, 2: 54 (-55). 1854 ","Ann. Sci. Nat., Bot.",1854,"sepibus ad Ega, Amazonas (Brazil, Southern America)",272643-2,NA,NA,www.ipni.org/n/272643-2,tax_nov,IPNI,NA
Aristolochia allemanii,Aristolochiaceae,Aristolochia,allemanii,spec.,"Arch. Bot. Sao Paulo 1: 15, pl. 5. 1925 ",Arch. Bot. Sao Paulo,1925,Brazil (Southern America),19388-2,NA,NA,www.ipni.org/n/19388-2,tax_nov,IPNI,NA
Aristolochia alpestris,Aristolochiaceae,Aristolochia,alpestris,spec.,Revista Engen. 3(4): 56. 1881 ,Revista Engen.,1881,"Minas Gerais (Brazil, Southern America)",60471355-2,NA,[1881 publication: non vidi],www.ipni.org/n/60471355-2,tax_nov,IPNI,NA
Aristolochia assisii,Aristolochiaceae,Aristolochia,assisii,spec.,Phytotaxa 163(5): 263. 2014 [31 Mar 2014] [epublished],Phytotaxa,2014,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);",77140305-1,NA,doi:10.11646/phytotaxa.163.5.2,www.ipni.org/n/77140305-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.163.5.2
Aristolochia bahiensis,Aristolochiaceae,Aristolochia,bahiensis,spec.,"Brittonia 50: 8, fig. 1998 ",Brittonia,1998,"Mun. de Una: Reserva Biologica do Mico-leao (IBAMA), entrada no km 46 da Rod. BA-001, Ilheus/Una, ramal que leva a Faz. Jaqueiral, ca. 8 km da entrada, 15°9'S, 39°5'W, Bahia (Brazil, Southern America)",315366-2,NA,[Gandhi 8 Apr 1998],www.ipni.org/n/315366-2,tax_nov,IPNI,NA
Aristolochia brunneomaculata,Aristolochiaceae,Aristolochia,brunneomaculata,spec.,Sitientibus Sér. Ci. Biol. 16: 1. 2016 [25 Oct 2016] [epublished],Sitientibus Sér. Ci. Biol.,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",77214843-1,NA,doi:10.13102/scb1060,www.ipni.org/n/77214843-1,tax_nov,IPNI,https://doi.org/10.13102/scb1060
Aristolochia burro,Aristolochiaceae,Aristolochia,burro,spec.,"Bull. Herb. Boissier ser. 2, 1: 526, pl. 8. 1901 ",Bull. Herb. Boissier,1901,Brazil (Southern America),19420-2,NA,NA,www.ipni.org/n/19420-2,tax_nov,IPNI,NA
Aristolochia chrysochlora,Aristolochiaceae,Aristolochia,chrysochlora,spec.,"Vellosia ed. 2, 1: 71, pl. 23, fig. A. 1891 ",Vellosia,1891,Brazil (Southern America),19433-2,NA,NA,www.ipni.org/n/19433-2,tax_nov,IPNI,NA
Aristolochia cordifolia,Aristolochiaceae,Aristolochia,cordifolia,spec.,Mém. Soc. Bot. France 3: 577. 1905 [Nov 1905] ,Mém. Soc. Bot. France,1905,Brazil (Southern America),19445-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3462004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19445-2,tax_nov,IPNI,NA
Aristolochia curviflora,Aristolochiaceae,Aristolochia,curviflora,spec.,"Ark. Bot. 1: 545, t. 32, f. 5. 1904 ",Ark. Bot.,1904,Brazil (Southern America),19449-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=545&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19449-2,tax_nov,IPNI,NA
Aristolochia cuyabensis,Aristolochiaceae,Aristolochia,cuyabensis,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 27, Afd. 3, No. 5: 14. 1901 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1901,Brazil (Southern America),19450-2,NA,NA,www.ipni.org/n/19450-2,tax_nov,IPNI,NA
Aristolochia dalyi,Aristolochiaceae,Aristolochia,dalyi,spec.,"Brittonia 50: 6, fig. 1998 ",Brittonia,1998,"Mun. Tarauaca: basin of Rio Tarauaca, Reserva Indigena Praia do Carapana, Colocacao, Mucuripe, ca. 8°27.64'S, 71°22.39'W, Acre (Brazil, Southern America)",315365-2,NA,[Gandhi 8 Apr 1998],www.ipni.org/n/315365-2,tax_nov,IPNI,NA
Aristolochia didyma,Aristolochiaceae,Aristolochia,didyma,spec.,J. Bot. 53: 7. 1915 ,J. Bot.,1915,Brazil (Southern America),19457-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/34838285&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19457-2,tax_nov,IPNI,NA
Aristolochia dubia,Aristolochiaceae,Aristolochia,dubia,spec.,"Mem. Inst. Oswaldo Cruz 20: 175, pl. 103. 1927 ",Mem. Inst. Oswaldo Cruz,1927,"Para, Amazonas, Brazil (Southern America)",19461-2,NA,NA,www.ipni.org/n/19461-2,tax_nov,IPNI,NA
Aristolochia echinata,Aristolochiaceae,Aristolochia,echinata,spec.,"Pl. Jard. Rio de Janeiro 5: 9, pl. 3, fig. a. 1896 ",Pl. Jard. Rio de Janeiro,1896,Brazil (Southern America),19464-2,NA,NA,www.ipni.org/n/19464-2,tax_nov,IPNI,NA
Aristolochia ernestulei,Aristolochiaceae,Aristolochia,ernestulei,spec.,"Mem. Inst. Oswaldo Cruz 20: 150, pl. 83. 1927 ",Mem. Inst. Oswaldo Cruz,1927,"Acre, Amazonas, Brazil (Southern America)",19467-2,NA,NA,www.ipni.org/n/19467-2,tax_nov,IPNI,NA
Aristolochia exigua,Aristolochiaceae,Aristolochia,exigua,spec.,"Bull. Herb. Boissier ser. 2, 1: 525, pl. 7, a-d. 1901 ",Bull. Herb. Boissier,1901,Brazil (Southern America),19472-2,NA,NA,www.ipni.org/n/19472-2,tax_nov,IPNI,NA
Aristolochia gehrtii,Aristolochiaceae,Aristolochia,gehrtii,spec.,"Arq. Bot. Estado Sao Paulo new ser. 1: 45, tab. 54. 1939 ",Arq. Bot. Estado Sao Paulo,1939,"Sao Paulo (Brazil, Southern America)",19477-2,NA,NA,www.ipni.org/n/19477-2,tax_nov,IPNI,NA
Aristolochia ginzbergeri,Aristolochiaceae,Aristolochia,ginzbergeri,spec.,"Darwiniana 21: 78 (-80), fig. 1978 1977 ",Darwiniana,1978,Brazil (Southern America),19483-2,NA,NA,www.ipni.org/n/19483-2,tax_nov,IPNI,NA
Aristolochia gracilipedunculata,Aristolochiaceae,Aristolochia,gracilipedunculata,spec.,Brittonia 63(4): 431 (figs. 1-). 2011 [1 Dec 2011] ,Brittonia,2011,"Bahia (Brazil, Southern America)",60458171-2,NA,"Etymology.—The specific epithet makes reference to the long, filiform peduncle doi:10.1007/s12228-011-9184-2",www.ipni.org/n/60458171-2,tax_nov,IPNI,https://doi.org/10.1007/s12228-011-9184-2
Aristolochia hatschbachii,Aristolochiaceae,Aristolochia,hatschbachii,spec.,"Hickenia 1(320: 173 (-175), fig. 1979 ",Hickenia,1979,Brazil (Southern America),19495-2,NA,NA,www.ipni.org/n/19495-2,tax_nov,IPNI,NA
Aristolochia hoehneana,Aristolochiaceae,Aristolochia,hoehneana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 390. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,Brazil &amp; Bolivia,19498-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=390&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19498-2,tax_nov,IPNI,NA
Aristolochia huberiana,Aristolochiaceae,Aristolochia,huberiana,spec.,J. Bot. 53: 6. 1915 ,J. Bot.,1915,Brazil (Southern America),19499-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/34838284&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19499-2,tax_nov,IPNI,NA
Aristolochia hypoglauca,Aristolochiaceae,Aristolochia,hypoglauca,spec.,"Arq. Inst. Biol. Veg. 3(1): 45, pl. 1. 1936 [Dec 1936] ",Arq. Inst. Biol. Veg.,1936,"Espirito Santo (Brazil, Southern America)",19502-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.issue=1&rft.spage=45&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19502-2,tax_nov,IPNI,NA
Aristolochia insolita,Aristolochiaceae,Aristolochia,insolita,spec.,Syst. Bot. 42(1): 169. 2017 [1 Mar 2017] [epublished],Syst. Bot.,2017,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77163024-1,NA,doi:10.1600/036364417X694953,www.ipni.org/n/77163024-1,tax_nov,IPNI,https://doi.org/10.1600/036364417X694953
Aristolochia jauruensis,Aristolochiaceae,Aristolochia,jauruensis,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 1: 66, pl. 61. 1910 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1910,Brazil (Southern America),19505-2,NA,NA,www.ipni.org/n/19505-2,tax_nov,IPNI,NA
Aristolochia juruana,Aristolochiaceae,Aristolochia,juruana,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 118. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),19507-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=118&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19507-2,tax_nov,IPNI,NA
Aristolochia lagesiana,Aristolochiaceae,Aristolochia,lagesiana,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 119. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),19512-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=119&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/19512-2,tax_nov,IPNI,NA
Aristolochia limai,Aristolochiaceae,Aristolochia,limai,spec.,"Arq. Bot. Estado Sao Paulo 1: 91, tab. 95. 1942 ",Arq. Bot. Estado Sao Paulo,1942,"Rio de Janeiro &amp; Espirito Santo, Brazil (Southern America)",19517-2,NA,NA,www.ipni.org/n/19517-2,tax_nov,IPNI,NA
Aristolochia loefgrenii,Aristolochiaceae,Aristolochia,loefgrenii,spec.,Arq. Bot. Estado Sao Paulo 1: 89. 1942 ,Arq. Bot. Estado Sao Paulo,1942,"Sao Paulo (Brazil, Southern America)",19523-2,NA,NA,www.ipni.org/n/19523-2,tax_nov,IPNI,NA
Aristolochia longispathulata,Aristolochiaceae,Aristolochia,longispathulata,spec.,Novon 10(4): 371 (-374; fig. 1; tab. 1). 2000 [14 Dec 2000] ,Novon,2000,"Jussari, Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, 15°10'S, 39°35'W, 300-450 m, Bahia (Brazil, Southern America)",320889-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641695&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 21 Mar 2001],www.ipni.org/n/320889-2,tax_nov,IPNI,NA
Aristolochia lorenae,Aristolochiaceae,Aristolochia,lorenae,spec.,Syst. Bot. 44(1): 101. 2019 [5 Feb 2019] [epublished],Syst. Bot.,2019,"Pará (Brazil North, Brazil, Southern America)",77197177-1,NA,doi:10.1600/036364419X697949 The specific epithet honors the Brazilian biologist Lorena Tonini.,www.ipni.org/n/77197177-1,tax_nov,IPNI,https://doi.org/10.1600/036364419X697949
