name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aster camporum,632709,Achyrocline anabelae,60446793-2,Asteraceae,Achyrocline,anabelae,spec.,Balduinia 3: 6 (8-9; fig. 2). 2005 [Jul 2005] ,Balduinia,2005,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446793-2,tax_nov,IPNI,NA
Aster decumbens,632710,Achyrocline arrojadoana,2547-2,Asteraceae,Achyrocline,arrojadoana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 382. 1925 ,Notizbl. Bot. Gart. Berlin-Dahlem,1925,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=382&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/2547-2,tax_nov,IPNI,NA
Aster pohlii,126831,Achyrocline capitata,309291-2,Asteraceae,Achyrocline,capitata,spec.,"Fl. Bras. (Martius) 6(3): 117, t. 39. 1882 [1 Jul 1882] ",Fl. Bras. (Martius),1882,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139396&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/309291-2,tax_nov,IPNI,NA
Aster psammophilus,632810,Achyrocline gertiana,60446796-2,Asteraceae,Achyrocline,gertiana,spec.,Balduinia 3: 10 (-12; fig. 1). 2005 [Jul 2005] ,Balduinia,2005,"Mato Grosso do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446796-2,tax_nov,IPNI,NA
Aster regnellii,26845,Achyrocline luisiana,60446797-2,Asteraceae,Achyrocline,luisiana,spec.,Balduinia 4: 1 (-4; fig. 1). 2005 [Sep 2005] ,Balduinia,2005,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446797-2,tax_nov,IPNI,NA
Aster warmingii,632786,Achyrocline macella,60446812-2,Asteraceae,Achyrocline,macella,spec.,Balduinia 6: 25 (-27; fig. 1). 2006 [Feb 2006] ,Balduinia,2006,"Paraná (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446812-2,tax_nov,IPNI,NA
Baccharis affinis,126594,Achyrocline marchiorii,60446792-2,Asteraceae,Achyrocline,marchiorii,spec.,Balduinia 3: 5 (-7; fig. 1). 2005 [Jul 2005] ,Balduinia,2005,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446792-2,tax_nov,IPNI,NA
Baccharis albolanosa,102191,Achyrocline ribasiana,60446798-2,Asteraceae,Achyrocline,ribasiana,spec.,Balduinia 4: 5 (-7; fig. 1). 2005 [Sep 2005] ,Balduinia,2005,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446798-2,tax_nov,IPNI,NA
Baccharis alleluia,121833,Achyrocline rugosa,301571-2,Asteraceae,Achyrocline,rugosa,spec.,London J. Bot. 7: 419. 1848 ,London J. Bot.,1848,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1848&rft.spage=419&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/301571-2,tax_nov,IPNI,NA
Baccharis altimontana,103998,Achyrocline tombadorensis,60446799-2,Asteraceae,Achyrocline,tombadorensis,spec.,Balduinia 4: 7 (-9; fig. 2). 2005 [Sep 2005] ,Balduinia,2005,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/60446799-2,tax_nov,IPNI,NA
Baccharis angusticeps,5154,Acmella kalelii,77197139-1,Asteraceae,Acmella,kalelii,spec.,Phytotaxa 403(2): 139. 2019 [10 May 2019] [epublished],Phytotaxa,2019,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.403.2.7 The species epithet honours the son of its discoverer, Kalel.",www.ipni.org/n/77197139-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.403.2.7
Baccharis apicifoliosa,102216,Acmella marajoensis,77113547-1,Asteraceae,Acmella,marajoensis,spec.,Acta Amazonica 41(2): 192 (-194; fig. 1). 2011 [Jun 2011] ,Acta Amazonica,2011,"Pará (Brazil North, Brazil, Southern America)",NA,NA,www.ipni.org/n/77113547-1,tax_nov,IPNI,NA
Baccharis aracatubaensis,104465,Acmella serratifolia,271552-2,Asteraceae,Acmella,serratifolia,spec.,Syst. Bot. Monogr. 8: 90. 1985 ,Syst. Bot. Monogr.,1985,Brazil (Southern America),NA,NA,www.ipni.org/n/271552-2,tax_nov,IPNI,NA
Baccharis aracatubensis,286359,Acritopappus buiquensis,77104506-1,Asteraceae,Acritopappus,buiquensis,spec.,Kew Bull. 64(4): 701 (-704; fig. 1). 2010 [2009 publ. Mar 2010] ,Kew Bull.,2010,"Pernambuco (Brazil Northeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77104506-1,tax_nov,IPNI,NA
Baccharis barrosoana,78092,Acritopappus catolesensis,321012-2,Asteraceae,Acritopappus,catolesensis,spec.,Kew Bull. 55(4): 950 (-951; fig. 1). 2000 [18 Dec 2000] ,Kew Bull.,2000,"Mun. Abaíra: Bem Querer, 1300 m, 13°16'N, 41°53'W, Bahia (Brazil, Southern America)",NA,[Gandhi 21 Apr 2001],www.ipni.org/n/321012-2,tax_nov,IPNI,NA
Baccharis blanchetiana,117293,Acritopappus diamantinicus,320153-2,Asteraceae,Acritopappus,diamantinicus,spec.,Nordic J. Bot. 20(2): 173 (-177; figs. 1-3). 2000 ,Nordic J. Bot.,2000,"Mun. de Palmeiras, Morro do Pai Inácio, 12°41'22S, 41°34'15W, CAMPO RUPESTRE VEGETATION, 950 M, Bahia (Brazil, Southern America)",NA,[Gandhi 7 Aug 2000],www.ipni.org/n/320153-2,tax_nov,IPNI,NA
Baccharis brasiliana,22248,Acritopappus hagei,3522-2,Asteraceae,Acritopappus,hagei,spec.,"Phytologia 45: 142 (-143), fig. 1980 ",Phytologia,1980,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1980&rft.spage=142&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3522-2,tax_nov,IPNI,NA
Baccharis campos-portoana,126621,Acritopappus harleyi,3523-2,Asteraceae,Acritopappus,harleyi,spec.,"Phytologia 38: 100 (-101), fig. 1977 ",Phytologia,1977,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1977&rft.spage=100&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3523-2,tax_nov,IPNI,NA
Baccharis chionolaenoides,122021,Acritopappus irwinii,3525-2,Asteraceae,Acritopappus,irwinii,spec.,Phytologia 24: 402. 1972 ,Phytologia,1972,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=402&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3525-2,tax_nov,IPNI,NA
