name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Begonia acrensis,22264,Begonia acrensis,30364-2,Begoniaceae,Begonia,acrensis,spec.,Bot. Jahrb. Syst. 74(4): 605. 1949 [Nov 1949] ,Bot. Jahrb. Syst.,1949,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1949&rft.issue=4&rft.spage=605&rft.volume=74&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30364-2,tax_nov,IPNI,NA
Begonia admirabilis,5566,Begonia admirabilis,30365-2,Begoniaceae,Begonia,admirabilis,spec.,"Arch. Jard. Bot. Rio de Janeiro 10: 136, tab. 6. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/30365-2,tax_nov,IPNI,NA
Begonia aguiabrancensis,290487,Begonia aguiabrancensis,77095077-1,Begoniaceae,Begonia,aguiabrancensis,spec.,Rodriguésia 59(1): 155 (-156; fig. 1). 2008 ,Rodriguésia,2008,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77095077-1,tax_nov,IPNI,NA
Begonia albidula,5568,Begonia albidula,30369-2,Begoniaceae,Begonia,albidula,spec.,"Arch. Jard. Bot. Rio de Janeiro 10: 137, tab. 7. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/30369-2,tax_nov,IPNI,NA
Begonia alemanii,45047,Begonia alemanii,30372-2,Begoniaceae,Begonia,alemanii,spec.,"Rodriguésia 9: [30], tab. 1. 1945 ",Rodriguésia,1945,"Ceará (Brazil, Southern America)",NA,NA,www.ipni.org/n/30372-2,tax_nov,IPNI,NA
Begonia altamiroi,5569,Begonia altamiroi,30375-2,Begoniaceae,Begonia,altamiroi,spec.,"Arch. Jard. Bot. Rio de Janeiro 8: 230, tab. 4. 1948 ",Arch. Jard. Bot. Rio de Janeiro,1948,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/30375-2,tax_nov,IPNI,NA
Begonia altimontana,624716,Begonia altimontana,77304785-1,Begoniaceae,Begonia,altimontana,spec.,Phytotaxa 561(2): 139. 2022 [8 Sep 2022] [epublished],Phytotaxa,2022,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.561.2.2 Etymology: 'The specific epithet refers to the type locality, Serra dos Órgãos, a place with high mountains'.",www.ipni.org/n/77304785-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.561.2.2
Begonia angraensis,5570,Begonia angraensis,30379-2,Begoniaceae,Begonia,angraensis,spec.,"Arq. Serv. Florest. 2, no. 1: 22, tab. 2. 1944 ",Arq. Serv. Florest.,1944,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/30379-2,tax_nov,IPNI,NA
Begonia angularis,5571,Begonia angularis,315559-2,Begoniaceae,Begonia,angularis,spec.,Quar. Piant. Nuov. Bras. 28. 1820 Mem. Mat. Fis. Soc. Ital. Sci. Modena 18: 407. 1820.,Quar. Piant. Nuov. Bras.,1820,Brazil (Southern America),NA,[Gandhi 7 May 1998; Rserva Ecol. Macae Cima 2: 99. 1996],www.ipni.org/n/315559-2,tax_nov,IPNI,NA
Begonia apparicioi,5573,Begonia apparicioi,30385-2,Begoniaceae,Begonia,apparicioi,spec.,"Arch. Jard. Bot. Rio de Janeiro 8: 229, tab. 3. 1948 ",Arch. Jard. Bot. Rio de Janeiro,1948,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/30385-2,tax_nov,IPNI,NA
Begonia arborescens,5574,Begonia arborescens,315560-2,Begoniaceae,Begonia,arborescens,spec.,Quar. Piant. Nuov. Bras. 29. 1820 Mem. Mat. Fis. Soc. Ital. Sci. Modena 18: 408. 1820.,Quar. Piant. Nuov. Bras.,1820,Brazil (Southern America),NA,[Gandhi 7 May 1998; Rserva Ecol. Macae Cima 2: 100. 1996],www.ipni.org/n/315560-2,tax_nov,IPNI,NA
Begonia atlantica,624270,Begonia atlantica,77299793-1,Begoniaceae,Begonia,atlantica,spec.,Phytotaxa 550(2): 147. 2022 [14 Jun 2022] [epublished],Phytotaxa,2022,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.550.2.4 Etymology: 'The specific epithet is a geographic reference to the habitat of the species'.,www.ipni.org/n/77299793-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.550.2.4
Begonia bauensis,45053,Begonia bauensis,30406-2,Begoniaceae,Begonia,bauensis,spec.,"Sellowia no. 9: 30, tab. 2, fig. 2-6. 1958 ",Sellowia,1958,"Santa Catarina (Brazil, Southern America)",NA,NA,www.ipni.org/n/30406-2,tax_nov,IPNI,NA
Begonia biguassuensis,5579,Begonia biguassuensis,30413-2,Begoniaceae,Begonia,biguassuensis,spec.,"Arch. Jard. Bot. Rio de Janeiro 13: 84, tab. 8. 1954 ",Arch. Jard. Bot. Rio de Janeiro,1954,"Santa Catarina (Brazil, Southern America)",NA,NA,www.ipni.org/n/30413-2,tax_nov,IPNI,NA
Begonia blumenaviensis,45057,Begonia blumenaviensis,30416-2,Begoniaceae,Begonia,blumenaviensis,spec.,Bot. Jahrb. Syst. 76(1): 45. 1953 [Jan 1953] ,Bot. Jahrb. Syst.,1953,"Santa Catarina (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.issue=1&rft.spage=45&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30416-2,tax_nov,IPNI,NA
Begonia bonitoensis,5580,Begonia bonitoensis,30421-2,Begoniaceae,Begonia,bonitoensis,spec.,"Rodriguésia 9: 18, tab. 1. 1945 ",Rodriguésia,1945,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/30421-2,tax_nov,IPNI,NA
Begonia boraceiensis,5581,Begonia boraceiensis,30423-2,Begoniaceae,Begonia,boraceiensis,spec.,Loefgrenia no. 27: 1. 1968 ,Loefgrenia,1968,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/30423-2,tax_nov,IPNI,NA
Begonia bradei,5582,Begonia bradei,30432-2,Begoniaceae,Begonia,bradei,spec.,Bot. Jahrb. Syst. 76(1): 60. 1953 [Jan 1953] ,Bot. Jahrb. Syst.,1953,"Sao Paulo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.issue=1&rft.spage=60&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30432-2,tax_nov,IPNI,NA
