name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Adenocalymma ackermannii,Bignoniaceae,Adenocalymma,ackermannii,spec.,Fl. Bras. (Martius) 8(2): 98. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,Brazil (Southern America),4262-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146026&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4262-2,tax_nov,IPNI,NA
Adenocalymma apetiolatum,Bignoniaceae,Adenocalymma,apetiolatum,spec.,Phytotaxa 284(4): 266. 2016 [18 Nov 2016] [epublished],Phytotaxa,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77159337-1,NA,doi:10.11646/phytotaxa.284.4.2 the species epithet refers to the sessile leaves,www.ipni.org/n/77159337-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.284.4.2
Adenocalymma asperulum,Bignoniaceae,Adenocalymma,asperulum,spec.,Fl. Bras. (Martius) 8(2): 113. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,Brazil (Southern America),4268-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146034&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4268-2,tax_nov,IPNI,NA
Adenocalymma aurantiacum,Bignoniaceae,Adenocalymma,aurantiacum,spec.,Nordic J. Bot. 31(2): 176. 2012 [11 Jul 2012] [epublished],Nordic J. Bot.,2012,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",77128932-1,NA,doi:10.1111/j.1756-1051.2012.01609.x,www.ipni.org/n/77128932-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2012.01609.x
Adenocalymma bullatum,Bignoniaceae,Adenocalymma,bullatum,spec.,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3b: 214. 1894 ",Nat. Pflanzenfam. [Engler & Prantl],1894,Brazil (Southern America),4272-2,NA,NA,www.ipni.org/n/4272-2,tax_nov,IPNI,NA
Adenocalymma calcareum,Bignoniaceae,Adenocalymma,calcareum,spec.,"Nordic J. Bot. 27(6): 450 (449 -452; figs, map). 2009 [10 Dec 2009] ",Nordic J. Bot.,2009,"Rondônia (Brazil North, Brazil, Southern America)",77103659-1,NA,NA,www.ipni.org/n/77103659-1,tax_nov,IPNI,NA
Adenocalymma cauliflorum,Bignoniaceae,Adenocalymma,cauliflorum,spec.,Syst. Bot. 42(3): 585. 2017 [25 Aug 2017] [epublished],Syst. Bot.,2017,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77167337-1,NA,doi:10.1600/036364417X696078,www.ipni.org/n/77167337-1,tax_nov,IPNI,https://doi.org/10.1600/036364417X696078
Adenocalymma cearense,Bignoniaceae,Adenocalymma,cearense,spec.,Repert. Spec. Nov. Regni Veg. 17: 62. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,"Ceará (Brazil, Southern America)",4274-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181244&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4274-2,tax_nov,IPNI,NA
Adenocalymma cinereum,Bignoniaceae,Adenocalymma,cinereum,spec.,Nordic J. Bot. 31(2): 179. 2012 [11 Jul 2012] [epublished],Nordic J. Bot.,2012,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77129264-1,NA,doi:10.1111/j.1756-1051.2012.01609.x,www.ipni.org/n/77129264-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2012.01609.x
Adenocalymma croceum,Bignoniaceae,Adenocalymma,croceum,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 419. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),4281-2,NA,NA,www.ipni.org/n/4281-2,tax_nov,IPNI,NA
Adenocalymma dichilum,Bignoniaceae,Adenocalymma,dichilum,spec.,Novon 3: 137. 1993 ,Novon,1993,"Piaui (Brazil, Southern America)",303473-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639045&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/303473-2,tax_nov,IPNI,NA
Adenocalymma dusenii,Bignoniaceae,Adenocalymma,dusenii,spec.,Repert. Spec. Nov. Regni Veg. 17: 115. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,Brazil (Southern America),4285-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181297&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4285-2,tax_nov,IPNI,NA
Adenocalymma fistulosum,Bignoniaceae,Adenocalymma,fistulosum,spec.,Brittonia 71(2): 186. 2018 [8 Nov 2018] [epublished],Brittonia,2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77200776-1,NA,doi:10.1007/s12228-018-9552-2,www.ipni.org/n/77200776-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-018-9552-2
Adenocalymma fruticosum,Bignoniaceae,Adenocalymma,fruticosum,spec.,Novon 3: 137. 1993 ,Novon,1993,"Bahia (Brazil, Southern America)",303765-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639045&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/303765-2,tax_nov,IPNI,NA
Adenocalymma gibbosum,Bignoniaceae,Adenocalymma,gibbosum,spec.,Nordic J. Bot. 31(2): 179. 2012 [11 Jul 2012] [epublished],Nordic J. Bot.,2012,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77129265-1,NA,doi:10.1111/j.1756-1051.2012.01609.x,www.ipni.org/n/77129265-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2012.01609.x
Adenocalymma gracielzae,Bignoniaceae,Adenocalymma,gracielzae,spec.,Novon 3: 138. 1993 ,Novon,1993,"Pará (Brazil, Southern America)",300430-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639046&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/300430-2,tax_nov,IPNI,NA
Adenocalymma hatschbachii,Bignoniaceae,Adenocalymma,hatschbachii,spec.,Novon 3: 139. 1993 ,Novon,1993,"Paraná (Brazil, Southern America)",302305-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639047&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/302305-2,tax_nov,IPNI,NA
Adenocalymma heterophyllum,Bignoniaceae,Adenocalymma,heterophyllum,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 372. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),4299-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=372&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4299-2,tax_nov,IPNI,NA
Adenocalymma hypostictum,Bignoniaceae,Adenocalymma,hypostictum,spec.,Fl. Bras. (Martius) 8(2): 99. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,Brazil (Southern America),4304-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146027&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4304-2,tax_nov,IPNI,NA
Adenocalymma laevigatum,Bignoniaceae,Adenocalymma,laevigatum,spec.,Fl. Bras. (Martius) 8(2): 113. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,Brazil (Southern America),4309-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146034&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4309-2,tax_nov,IPNI,NA
Adenocalymma lineare,Bignoniaceae,Adenocalymma,lineare,spec.,Phytotaxa 284(4): 264. 2016 [18 Nov 2016] [epublished],Phytotaxa,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77159336-1,NA,doi:10.11646/phytotaxa.284.4.2 the species epithet refers to the linear leaflets,www.ipni.org/n/77159336-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.284.4.2
Adenocalymma magnoalatum,Bignoniaceae,Adenocalymma,magnoalatum,spec.,Novon 10(3): 234 (-237; fig. 1)). 2000 [12 Sep 2000] ,Novon,2000,"Marliéria: Parque Estadual do Rio Doce (PERD), estrada do Restaurante, Minas Gerais (Brazil, Southern America)",320444-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641558&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 27 Oct 2000],www.ipni.org/n/320444-2,tax_nov,IPNI,NA
Adenocalymma nervosum,Bignoniaceae,Adenocalymma,nervosum,spec.,Fl. Bras. (Martius) 8(2): 95. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,Brazil (Southern America),4322-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146025&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4322-2,tax_nov,IPNI,NA
Adenocalymma paulistarum,Bignoniaceae,Adenocalymma,paulistarum,spec.,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3b: 214. 1894 ",Nat. Pflanzenfam. [Engler & Prantl],1894,Brazil (Southern America),4326-2,NA,NA,www.ipni.org/n/4326-2,tax_nov,IPNI,NA
