name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Acioa edulis,Chrysobalanaceae,Acioa,edulis,spec.,"Acta Amazonica 2(1): 12, fig. 5, 6. 1972 ",Acta Amazonica,1972,"Amazonas (Brazil, Southern America)",3187-2,NA,NA,www.ipni.org/n/3187-2,tax_nov,IPNI,NA
Acioa schultesii,Chrysobalanaceae,Acioa,schultesii,spec.,Brittonia 7: 272. 1951 ,Brittonia,1951,"Amazonas (Brazil, Southern America)",3188-2,NA,NA,www.ipni.org/n/3188-2,tax_nov,IPNI,NA
Chrysobalanus macrophyllus,Chrysobalanaceae,Chrysobalanus,macrophyllus,spec.,"Syst. Veg., ed. 16 [Sprengel] 4(2): 407. 1827 [Jan-Jun 1827] ","Syst. Veg., ed. 16 [Sprengel]",1827,Brazil (Southern America),57588-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1827&rft.issue=2&rft.spage=407&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/57588-2,tax_nov,IPNI,NA
Chrysobalanus sublanatus,Chrysobalanaceae,Chrysobalanus,sublanatus,spec.,Revis. Gen. Pl. 3[3]: 76. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,"Mato Grosso (Brazil, Southern America)",57596-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3295&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/57596-2,tax_nov,IPNI,NA
Couepia amaralae,Chrysobalanaceae,Couepia,amaralae,spec.,"Fl. Neotrop. Monogr. 9(suppl.): 72, figs. 1989 ",Fl. Neotrop. Monogr.,1989,"Amazonas (Brazil, Southern America)",275179-2,NA,NA,www.ipni.org/n/275179-2,tax_nov,IPNI,NA
Couepia amazonica,Chrysobalanaceae,Couepia,amazonica,spec.,Ann. K. K. Naturhist. Hofmus. 5: 12. 1890 ,Ann. K. K. Naturhist. Hofmus.,1890,Brazil (Southern America),67123-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=12&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/4999&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/67123-2,tax_nov,IPNI,NA
Couepia belemii,Chrysobalanaceae,Couepia,belemii,spec.,Fl. Neotrop. Monogr. no. 9: 228. 1972 ,Fl. Neotrop. Monogr.,1972,"Bahia (Brazil, Southern America)",67124-2,NA,NA,www.ipni.org/n/67124-2,tax_nov,IPNI,NA
Couepia bondarii,Chrysobalanaceae,Couepia,bondarii,spec.,"Fl. Neotrop. Monogr. no. 9: 240, fig. 39G-L. 1972 ",Fl. Neotrop. Monogr.,1972,"Bahia (Brazil, Southern America)",67126-2,NA,NA,www.ipni.org/n/67126-2,tax_nov,IPNI,NA
Couepia brevistaminea,Chrysobalanaceae,Couepia,brevistaminea,spec.,Phytotaxa 471(1): 39. 2020 [10 Nov 2020] [epublished],Phytotaxa,2020,"Goiás (Brazil West-Central, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);",77212841-1,NA,"doi:10.11646/phytotaxa.471.1.4 The specific epithet refers to the short stamens of the flower, an important feature for the recognition of this species.",www.ipni.org/n/77212841-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.471.1.4
Couepia calophlebia,Chrysobalanaceae,Couepia,calophlebia,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 248. 1937 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,"Amazonas (Brazil, Southern America)",67130-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=248&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/67130-2,tax_nov,IPNI,NA
Couepia carautae,Chrysobalanaceae,Couepia,carautae,spec.,"Fl. Neotrop. Monogr. 9(suppl): 70, figs. 1989 ",Fl. Neotrop. Monogr.,1989,Brazil (Southern America),275180-2,NA,NA,www.ipni.org/n/275180-2,tax_nov,IPNI,NA
Couepia cidiana,Chrysobalanaceae,Couepia,cidiana,spec.,"Acta Amazonica 13: 21, fig. 1983 ",Acta Amazonica,1983,"Pará (Brazil, Southern America)",67133-2,NA,NA,www.ipni.org/n/67133-2,tax_nov,IPNI,NA
Couepia coarctata,Chrysobalanaceae,Couepia,coarctata,spec.,"Fl. Neotrop. Monogr. 9(suppl.): 77, figs. 1989 ",Fl. Neotrop. Monogr.,1989,Brazil (Southern America),275182-2,NA,NA,www.ipni.org/n/275182-2,tax_nov,IPNI,NA
Couepia dahlgrenii,Chrysobalanaceae,Couepia,dahlgrenii,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 249. 1937 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,"Piaui (Brazil, Southern America)",67136-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=249&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/67136-2,tax_nov,IPNI,NA
Couepia divaricata,Chrysobalanaceae,Couepia,divaricata,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 6: 75. 1910 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1910,Brazil (Southern America),67137-2,NA,NA,www.ipni.org/n/67137-2,tax_nov,IPNI,NA
Couepia duckei,Chrysobalanaceae,Couepia,duckei,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 371. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),67141-2,NA,NA,www.ipni.org/n/67141-2,tax_nov,IPNI,NA
Couepia elata,Chrysobalanaceae,Couepia,elata,spec.,Arq. Inst. Biol. Veg. 2(1): 35. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,"Amazonas (Brazil, Southern America)",67143-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=35&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/67143-2,tax_nov,IPNI,NA
Couepia formosana,Chrysobalanaceae,Couepia,formosana,spec.,Bot. Jahrb. Syst. 21(4): 429. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),67147-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/206005&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/67147-2,tax_nov,IPNI,NA
