name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Archytaea triflora,Clusiaceae,Archytaea,triflora,spec.,Flora 8(1): 32. 1825 [14 Jan 1825] ,Flora,1825,Brazil (Southern America),77216099-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.issue=1&rft.spage=32&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77216099-1,tax_nov,IPNI,NA
Astrotheca cuspidata,Clusiaceae,Astrotheca,cuspidata,spec.,Monogr. Phan. [A.DC. & C.DC.] 8: 181. 1893 [Dec 1893] ,Monogr. Phan. [A.DC. & C.DC.],1893,"Amazonas (Brazil, Southern America)",299177-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.spage=181&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/45961&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/299177-2,tax_nov,IPNI,NA
Bonnetia dinizii,Clusiaceae,Bonnetia,dinizii,spec.,Bol. Mus. Paraense Emilio Goeldi 7: 302. 1913 ,Bol. Mus. Paraense Emilio Goeldi,1913,"Amazonas (Brazil, Southern America)",34756-2,NA,NA,www.ipni.org/n/34756-2,tax_nov,IPNI,NA
Calophyllum angulare,Clusiaceae,Calophyllum,angulare,spec.,Bull. Torrey Bot. Club 60: 379. 1933 ,Bull. Torrey Bot. Club,1933,"Mato Grosso (Brazil, Southern America)",42744-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=379&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/42744-2,tax_nov,IPNI,NA
Caraipa ampla,Clusiaceae,Caraipa,ampla,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 218. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45017-2,NA,NA,www.ipni.org/n/45017-2,tax_nov,IPNI,NA
Caraipa aracaensis,Clusiaceae,Caraipa,aracaensis,spec.,"Acta Amazonica 16/17: 158 (-159), fig. 1987 ",Acta Amazonica,1987,"Amazonas (Brazil, Southern America)",274021-2,NA,NA,www.ipni.org/n/274021-2,tax_nov,IPNI,NA
Caraipa balbinensis,Clusiaceae,Caraipa,balbinensis,spec.,Phytotaxa 286(4): 247. 2016 [5 Dec 2016] [epublished],Phytotaxa,2016,"Amazonas (Brazil North, Brazil, Southern America)",77159863-1,NA,"doi:10.11646/phytotaxa.286.4.3 the epithet balbinensis refers to the locality Balbina (municipality of Presidente Figueiredo, Amazonas, Brazil), where the species occurs",www.ipni.org/n/77159863-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.286.4.3
Caraipa caespitosa,Clusiaceae,Caraipa,caespitosa,spec.,Phytotaxa 286(4): 248. 2016 [5 Dec 2016] [epublished],Phytotaxa,2016,"Roraima (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Colombia (Western South America, Southern America);Venezuela (Northern South America, Southern America);",77159865-1,NA,doi:10.11646/phytotaxa.286.4.3 the epithet caespitosa refers to the habit,www.ipni.org/n/77159865-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.286.4.3
Caraipa excelsa,Clusiaceae,Caraipa,excelsa,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 219. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45021-2,NA,NA,www.ipni.org/n/45021-2,tax_nov,IPNI,NA
Caraipa glabra,Clusiaceae,Caraipa,glabra,spec.,Phytotaxa 311(1): 78. 2017 [23 Jun 2017] [epublished],Phytotaxa,2017,"Amazonas (Brazil North, Brazil, Southern America)",77164284-1,NA,doi:10.11646/phytotaxa.311.1.7 the epithet glabra refers to the absence of hairs on nearly all parts of the mature plant,www.ipni.org/n/77164284-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.311.1.7
Caraipa heterocarpa,Clusiaceae,Caraipa,heterocarpa,spec.,"Bull. Mus. Hist. Nat. (Paris) ser. 2; 4: 742. 1932 Archivos Jard. Bot. Rio Janeiro, 6: 67.  1933",Bull. Mus. Hist. Nat. (Paris),1932,"Amazonas (Brazil, Southern America)",45029-2,NA,NA,www.ipni.org/n/45029-2,tax_nov,IPNI,NA
Caraipa insidiosa,Clusiaceae,Caraipa,insidiosa,spec.,Tamakoare 27. 1887 ,Tamakoare,1887,Brazil (Southern America),45030-2,NA,NA,www.ipni.org/n/45030-2,tax_nov,IPNI,NA
Caraipa iracemensis,Clusiaceae,Caraipa,iracemensis,spec.,Phytotaxa 311(1): 81. 2017 [23 Jun 2017] [epublished],Phytotaxa,2017,"Amazonas (Brazil North, Brazil, Southern America)",77164285-1,NA,"doi:10.11646/phytotaxa.311.1.7 the epithet iracemensis refers to the locality Cachoeira de Iracema in the municipality of Presidente Figueiredo, Amazonas (Brazil), where the species occurs",www.ipni.org/n/77164285-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.311.1.7
Caraipa lacerdaei,Clusiaceae,Caraipa,lacerdaei,spec.,Tamakoare 6. 1887 ,Tamakoare,1887,Brazil (Southern America),294881-2,NA,NA,www.ipni.org/n/294881-2,tax_nov,IPNI,NA
Caraipa longisepala,Clusiaceae,Caraipa,longisepala,spec.,Acta Amazonica 16/17: 160. 1987 ,Acta Amazonica,1987,"Amazonas (Brazil, Southern America)",274022-2,NA,NA,www.ipni.org/n/274022-2,tax_nov,IPNI,NA
Caraipa minor,Clusiaceae,Caraipa,minor,spec.,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 434. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,Brazil (Southern America),45036-2,NA,NA,www.ipni.org/n/45036-2,tax_nov,IPNI,NA
Caraipa multinervia,Clusiaceae,Caraipa,multinervia,spec.,"Acta Amazonica 16/17: 157, fig. 1987 ",Acta Amazonica,1987,"Amazonas (Brazil, Southern America)",274023-2,NA,NA,www.ipni.org/n/274023-2,tax_nov,IPNI,NA
Caraipa myrcioides,Clusiaceae,Caraipa,myrcioides,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 217. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45037-2,NA,NA,www.ipni.org/n/45037-2,tax_nov,IPNI,NA
Caraipa odorata,Clusiaceae,Caraipa,odorata,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 11: 588. 1932 ,Notizbl. Bot. Gart. Berlin-Dahlem,1932,"Amazonas (Brazil, Southern America)",45038-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=588&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/45038-2,tax_nov,IPNI,NA
Caraipa palustris,Clusiaceae,Caraipa,palustris,spec.,Tamakoare 5. 1887 ,Tamakoare,1887,Brazil (Southern America),45039-2,NA,NA,www.ipni.org/n/45039-2,tax_nov,IPNI,NA
Caraipa paraensis,Clusiaceae,Caraipa,paraensis,spec.,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 432. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,Brazil (Southern America),45040-2,NA,NA,www.ipni.org/n/45040-2,tax_nov,IPNI,NA
Caraipa psidiifolia,Clusiaceae,Caraipa,psidiifolia,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 214. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45045-2,NA,NA,www.ipni.org/n/45045-2,tax_nov,IPNI,NA
Caraipa punctulata,Clusiaceae,Caraipa,punctulata,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 216. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45047-2,NA,NA,www.ipni.org/n/45047-2,tax_nov,IPNI,NA
Caraipa reticulata,Clusiaceae,Caraipa,reticulata,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 218. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),45048-2,NA,NA,www.ipni.org/n/45048-2,tax_nov,IPNI,NA
Caraipa savannarum,Clusiaceae,Caraipa,savannarum,spec.,"Mem. New York Bot. Gard. 29: 104 (-105), fig. 1978 ",Mem. New York Bot. Gard.,1978,Brazil (Southern America),45051-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1978&rft.spage=104&rft.volume=29&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/45051-2,tax_nov,IPNI,NA
Caraipa spuria,Clusiaceae,Caraipa,spuria,spec.,Tamakoare 6. 1887 ,Tamakoare,1887,Brazil (Southern America),45054-2,NA,NA,www.ipni.org/n/45054-2,tax_nov,IPNI,NA
Chrysochlamys ulei,Clusiaceae,Chrysochlamys,ulei,spec.,"Bot. Jahrb. Syst. 58(4, Beibl. 130): 10. 1923 [1 Jul 1923] ",Bot. Jahrb. Syst.,1923,Brazil (Southern America),57627-2,NA,NA,www.ipni.org/n/57627-2,tax_nov,IPNI,NA
Clusia aemygdioi,Clusiaceae,Clusia,aemygdioi,spec.,Bradea 4(24): 162 (1985). ,Bradea,1985,Brazil.,905875-1,NA,NA,www.ipni.org/n/905875-1,tax_nov,IPNI,NA
Clusia angustifolia,Clusiaceae,Clusia,angustifolia,spec.,Fl. Bras. (Martius) 12(1): 420. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61375-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61375-2,tax_nov,IPNI,NA
Clusia axillaris,Clusiaceae,Clusia,axillaris,spec.,Fl. Bras. (Martius) 12(1): 413. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,"Sao Gabriel de Cachoeira: Rio Negro, Amazonas (Brazil, Southern America)",61380-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144652&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61380-2,tax_nov,IPNI,NA
Clusia bittrichii,Clusiaceae,Clusia,bittrichii,spec.,Brittonia 71(4): 417. 2019 [28 May 2019] [epublished],Brittonia,2019,"Roraima (Brazil North, Brazil, Southern America);Venezuela (Northern South America, Southern America);",77210411-1,NA,"doi:10.1007/s12228-019-09580-1 The specific epithet honours German botanist, Volker Bittrich.",www.ipni.org/n/77210411-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-019-09580-1
Clusia burchellii,Clusiaceae,Clusia,burchellii,spec.,Fl. Bras. (Martius) 12(1): 416. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61388-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144653&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61388-2,tax_nov,IPNI,NA
Clusia burle-marxii,Clusiaceae,Clusia,burle-marxii,spec.,"Bol. Bot. Univ. São Paulo 15: 76, fig. 1996 ",Bol. Bot. Univ. São Paulo,1996,"Chapada Diamantina, mun. Rio de Contas, ca. 100 m do provodo Mato Grosso a ca. 20 km de Rio de Contas., Bahia (Brazil, Southern America)",306995-2,NA,NA,www.ipni.org/n/306995-2,tax_nov,IPNI,NA
Clusia columnaris,Clusiaceae,Clusia,columnaris,spec.,Fl. Bras. (Martius) 12(1): 432. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61412-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144661&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61412-2,tax_nov,IPNI,NA
Clusia criuva,Clusiaceae,Clusia,criuva,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1(8): 317. 1828 [28 Jun 1828] ; addit. publ.: 1(9): t. 65. 29 Sep 1828.,Fl. Bras. Merid. (A. St.-Hil.).,1828,Brazil (Southern America),30074684-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.issue=8&rft.spage=317&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Etymology: Nom. Vulg(ar) Criuva,www.ipni.org/n/30074684-2,tax_nov,IPNI,NA
Clusia dardanoi,Clusiaceae,Clusia,dardanoi,spec.,"Candollea 29: 9, pl. 1a-d. 1974 ",Candollea,1974,"Pernambuco (Brazil, Southern America)",61433-2,NA,NA,www.ipni.org/n/61433-2,tax_nov,IPNI,NA
Clusia diamantina,Clusiaceae,Clusia,diamantina,spec.,"Bol. Bot. Univ. São Paulo 15: 73, fig. 1996 ",Bol. Bot. Univ. São Paulo,1996,"Mun. Diamantina: estrada Diamantina-Corinto, ca. 20 km de Diamantina, 9.9 km depois da bifurcacao da estrada Diamantina-Belo Horizonte; campos rupestres, entre rochas, Minas Gerais (Brazil, Southern America)",306994-2,NA,NA,www.ipni.org/n/306994-2,tax_nov,IPNI,NA
Clusia favus,Clusiaceae,Clusia,favus,spec.,Brittonia 69(4): 528. 2017 [23 May 2017] [epublished],Brittonia,2017,"Colombia (Western South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);",77177649-1,NA,doi:10.1007/s12228-017-9484-2,www.ipni.org/n/77177649-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-017-9484-2
Clusia grandifolia,Clusiaceae,Clusia,grandifolia,spec.,"Fl. Bras. (Martius) 12(1): 429, t. 92, fig. 2. 1888 [1 Apr 1888] ",Fl. Bras. (Martius),1888,Brazil (Southern America),61464-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144660&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61464-2,tax_nov,IPNI,NA
Clusia guedesiana,Clusiaceae,Clusia,guedesiana,spec.,Bol. Mus. Paraense Hist. Nat. Ethnogr. 2: 508. 1898 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1898,Brazil (Southern America),61469-2,NA,NA,www.ipni.org/n/61469-2,tax_nov,IPNI,NA
Clusia heterocolorata,Clusiaceae,Clusia,heterocolorata,spec.,Phytotaxa 220(1): 84. 2015 [16 Jul 2015] [epublished],Phytotaxa,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",77148279-1,NA,doi:10.11646/phytotaxa.220.1.8,www.ipni.org/n/77148279-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.220.1.8
Clusia ibiapabensis,Clusiaceae,Clusia,ibiapabensis,spec.,Phytotaxa 460(4): 262. 2020 [29 Sep 2020] [epublished],Phytotaxa,2020,"Ceará (Brazil Northeast, Brazil, Southern America)",77211889-1,NA,doi:10.11646/phytotaxa.460.4.3,www.ipni.org/n/77211889-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.460.4.3
Clusia immersa,Clusiaceae,Clusia,immersa,spec.,"Bradea 8: 21, fig. 1996 ",Bradea,1996,"Mun. Santa Maria Madalena: Pedra Dubois, 1.100 a 1.280¹msm., Rio de Janeiro (Brazil, Southern America)",301465-2,NA,NA,www.ipni.org/n/301465-2,tax_nov,IPNI,NA
Clusia intermedia,Clusiaceae,Clusia,intermedia,spec.,"Candollea 29: 9, pl. 2a-b. 1974 ",Candollea,1974,"Pernambuco (Brazil, Southern America)",61482-2,NA,NA,www.ipni.org/n/61482-2,tax_nov,IPNI,NA
Clusia lutea,Clusiaceae,Clusia,lutea,spec.,Syst. Bot. 41(4): 1001. 2016 [15 Dec 2016] [epublished],Syst. Bot.,2016,"Amazonas (Brazil North, Brazil, Southern America);Amapá (Brazil North, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);",77160064-1,NA,doi:10.1600/036364416X694125,www.ipni.org/n/77160064-1,tax_nov,IPNI,https://doi.org/10.1600/036364416X694125
Clusia marizii,Clusiaceae,Clusia,marizii,spec.,"Bradea 4: 22, fig. 1984 ",Bradea,1984,"Espirito Santo (Brazil, Southern America)",274786-2,NA,NA,www.ipni.org/n/274786-2,tax_nov,IPNI,NA
Clusia nitida,Clusiaceae,Clusia,nitida,spec.,Phytotaxa 100(1): 36. 2013 [23 May 2013] [epublished],Phytotaxa,2013,"Roraima (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);",77128908-1,NA,doi:10.11646/phytotaxa.100.1.4,www.ipni.org/n/77128908-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.100.1.4
Clusia nogueirae,Clusiaceae,Clusia,nogueirae,spec.,Phytotaxa 460(4): 260. 2020 [29 Sep 2020] [epublished],Phytotaxa,2020,"Ceará (Brazil Northeast, Brazil, Southern America)",77211888-1,NA,"doi:10.11646/phytotaxa.460.4.3 The epithet is in honour to the agronomist Dr. Luís Carlos Nogueira who is currently a researcher at Embrapa Cocais (Maranhão, Brazil).",www.ipni.org/n/77211888-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.460.4.3
Clusia obdeltifolia,Clusiaceae,Clusia,obdeltifolia,spec.,"Bol. Bot. Univ. São Paulo 15: 78, fig. 1996 ",Bol. Bot. Univ. São Paulo,1996,"Mun. Palmeiras: Morro do Pai Inacio, 12°34'S, 41°23'W, Bahia (Brazil, Southern America)",306996-2,NA,NA,www.ipni.org/n/306996-2,tax_nov,IPNI,NA
Clusia opaca,Clusiaceae,Clusia,opaca,spec.,Bot. Mus. Leafl. 15: 62. 1951 ,Bot. Mus. Leafl.,1951,"Amazonas (Brazil, Southern America)",61533-2,NA,NA,www.ipni.org/n/61533-2,tax_nov,IPNI,NA
Clusia parviflora,Clusiaceae,Clusia,parviflora,spec.,Fl. Bras. (Martius) 12(1): 406. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61543-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144648&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61543-2,tax_nov,IPNI,NA
Clusia penduliflora,Clusiaceae,Clusia,penduliflora,spec.,Fl. Bras. (Martius) 12(1): 412. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61546-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144651&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61546-2,tax_nov,IPNI,NA
Clusia pernambucensis,Clusiaceae,Clusia,pernambucensis,spec.,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 101. 1973 [1972 publ. 1973] ","An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,Brazil.,895964-1,NA,NA,www.ipni.org/n/895964-1,tax_nov,IPNI,NA
Clusia pilgeriana,Clusiaceae,Clusia,pilgeriana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 154. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,Brazil (Southern America),61554-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=154&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61554-2,tax_nov,IPNI,NA
Clusia pulcherrima,Clusiaceae,Clusia,pulcherrima,spec.,Fl. Bras. (Martius) 12(1): 414. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),61568-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144652&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/61568-2,tax_nov,IPNI,NA
