name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Bernardinia schenckii,101591,Bernardinia schenckii,31796-2,Connaraceae,Bernardinia,schenckii,spec.,"Nat. Pflanzenfam. [Engler & Prantl] 3, Abt. 3: 66. 1891 Name only",Nat. Pflanzenfam. [Engler & Prantl],1891,Brazil (Southern America),NA,NA,www.ipni.org/n/31796-2,tax_nov,IPNI,NA
Bernardinia villosa,101595,Bernardinia villosa,31798-2,Connaraceae,Bernardinia,villosa,spec.,"Pflanzenr. (Engler) IV, 127: 101. 1938 ",Pflanzenr. (Engler),1938,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=101&rft.volume=127&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/31798-2,tax_nov,IPNI,NA
Cnestidium froesii,610330,Cnestidium froesii,61747-2,Connaraceae,Cnestidium,froesii,spec.,"Bol. Tecn. Inst. Agron. N. no. 28: 47, tab. 4. 1954 ",Bol. Tecn. Inst. Agron. N.,1954,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/61747-2,tax_nov,IPNI,NA
Connarus acutissimus,81996,Connarus acutissimus,64157-2,Connaraceae,Connarus,acutissimus,spec.,Pflanzenr. (Engler) IV. 127 (Heft 103): 226. 1938 ,Pflanzenr. (Engler),1938,Brazil (Southern America),NA,NA,www.ipni.org/n/64157-2,tax_nov,IPNI,NA
Connarus aureus,606743,Connarus aureus,77201423-1,Connaraceae,Connarus,aureus,spec.,Phytotaxa 415(1): 66. 2019 [23 Aug 2019] [epublished],Phytotaxa,2019,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.415.1.5,www.ipni.org/n/77201423-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.415.1.5
Connarus celatus,78189,Connarus celatus,64163-2,Connaraceae,Connarus,celatus,spec.,"Brittonia 32: 33, fig. 1980 ",Brittonia,1980,Brazil (Southern America),NA,NA,www.ipni.org/n/64163-2,tax_nov,IPNI,NA
Connarus detersoides,101596,Connarus detersoides,64167-2,Connaraceae,Connarus,detersoides,spec.,Candollea 2: 118. 1925 ,Candollea,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/64167-2,tax_nov,IPNI,NA
Connarus fulvus,82002,Connarus fulvus,64176-2,Connaraceae,Connarus,fulvus,spec.,Linnaea 23: 434. 1850 ,Linnaea,1850,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/111158&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/64176-2,tax_nov,IPNI,NA
Connarus laevis,103739,Connarus laevis,64180-2,Connaraceae,Connarus,laevis,spec.,"Pflanzenr. (Engler) [Heft 103], 4, Fam. 127: 226. 1938 ",Pflanzenr. (Engler),1938,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/64180-2,tax_nov,IPNI,NA
Connarus laurifolius,102178,Connarus laurifolius,64182-2,Connaraceae,Connarus,laurifolius,spec.,Fl. Bras. (Martius) 14(2): 186. 1871 [1 Jul 1871] ,Fl. Bras. (Martius),1871,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141687&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/64182-2,tax_nov,IPNI,NA
Connarus manausensis,606745,Connarus manausensis,77194930-1,Connaraceae,Connarus,manausensis,spec.,Syst. Bot. 43(3): 754. 2018 [10 Aug 2018] [epublished],Syst. Bot.,2018,"Amazonas (Brazil North, Brazil, Southern America)",NA,doi:10.1600/036364418X697472,www.ipni.org/n/77194930-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697472
