name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Costus acaulis,Costaceae,Costus,acaulis,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 480, pl. 33, fig. 1-5. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),66814-2,NA,NA,www.ipni.org/n/66814-2,tax_nov,IPNI,NA
Costus amazonicus,Costaceae,Costus,amazonicus,spec.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 157. 1871 [20 May 1871] ,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,"Pará (Brazil, Southern America)",60454906-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=157&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/60454906-2,tax_nov,IPNI,NA
Costus brasiliensis,Costaceae,Costus,brasiliensis,spec.,"Pflanzenr. (Engler) 4, Fam. 46: 403. 1904 ",Pflanzenr. (Engler),1904,Brazil (Southern America),66826-2,NA,NA,www.ipni.org/n/66826-2,tax_nov,IPNI,NA
Costus fortalezae,Costaceae,Costus,fortalezae,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 10: 708. 1929 ,Notizbl. Bot. Gart. Berlin-Dahlem,1929,Brazil (Southern America),66848-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=708&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66848-2,tax_nov,IPNI,NA
Costus fusiformis,Costaceae,Costus,fusiformis,spec.,"Fl. Neotrop. Monogr. no. 8: 37, fig. 18. 1972 ",Fl. Neotrop. Monogr.,1972,"Pará (Brazil, Southern America)",66850-2,NA,NA,www.ipni.org/n/66850-2,tax_nov,IPNI,NA
Costus gagnepainii,Costaceae,Costus,gagnepainii,spec.,"Pflanzenr. (Engler) 4, Fam. 46: 420. 1904 ",Pflanzenr. (Engler),1904,Brazil (Southern America),66851-2,NA,NA,www.ipni.org/n/66851-2,tax_nov,IPNI,NA
Costus juruanus,Costaceae,Costus,juruanus,spec.,"Pflanzenr. (Engler) 4, Fam. 46: 389. 1904 ",Pflanzenr. (Engler),1904,Brazil (Southern America),66860-2,NA,NA,www.ipni.org/n/66860-2,tax_nov,IPNI,NA
Costus lanceolatus,Costaceae,Costus,lanceolatus,spec.,Fl. Bras. (Martius) 3(3): 56. 1890 [1 Jan 1890] ,Fl. Bras. (Martius),1890,Brazil (Southern America),66864-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136301&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66864-2,tax_nov,IPNI,NA
Costus latifolius,Costaceae,Costus,latifolius,spec.,Bull. Soc. Bot. France 49: 101. 1902 ,Bull. Soc. Bot. France,1902,Brazil (Southern America),66867-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/322123&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66867-2,tax_nov,IPNI,NA
Costus paucifolius,Costaceae,Costus,paucifolius,spec.,Bull. Soc. Bot. France 49: 100. 1902 ,Bull. Soc. Bot. France,1902,Brazil (Southern America),66885-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/322122&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66885-2,tax_nov,IPNI,NA
Costus phlociflorus,Costaceae,Costus,phlociflorus,spec.,Bull. Torrey Bot. Club 29: 694. 1902 ,Bull. Torrey Bot. Club,1902,Brazil (Southern America),66886-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/719645&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66886-2,tax_nov,IPNI,NA
Costus pilgeri,Costaceae,Costus,pilgeri,spec.,"Bull. Herb. Boissier ser. 2, 3: 1107. 1903 Name only²Pflanzenreich, 4, Fam. 46: 404.  1904",Bull. Herb. Boissier,1903,Brazil and Paraguay,66887-2,NA,NA,www.ipni.org/n/66887-2,tax_nov,IPNI,NA
Costus pubescens,Costaceae,Costus,pubescens,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 481. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),66894-2,NA,NA,www.ipni.org/n/66894-2,tax_nov,IPNI,NA
Costus pulchriflorus,Costaceae,Costus,pulchriflorus,spec.,"Arch. Jard. Bot. Rio de Janeiro 3: 22, t. 2a-c. 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),66898-2,NA,NA,www.ipni.org/n/66898-2,tax_nov,IPNI,NA
Costus pumilus,Costaceae,Costus,pumilus,spec.,Fl. Bras. (Martius) 3(3): 58. 1890 [1 Jan 1890] ,Fl. Bras. (Martius),1890,Brazil (Southern America),66899-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136302&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66899-2,tax_nov,IPNI,NA
Costus rosulifer,Costaceae,Costus,rosulifer,spec.,Bull. Soc. Bot. France 49: 101. 1902 ,Bull. Soc. Bot. France,1902,Brazil (Southern America),66903-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/322123&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/66903-2,tax_nov,IPNI,NA
