name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Asplundia altiscandens,121890,Asplundia altiscandens,77117692-1,Cyclanthaceae,Asplundia,altiscandens,spec.,"Nordic J. Bot. 29(6): 687 (-690; fig. 1, map). 2012 [2011 publ. 6 Jan 2012] ",Nordic J. Bot.,2012,"Pará (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);",NA,doi:10.1111/j.1756-1051.2011.01220.x,www.ipni.org/n/77117692-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2011.01220.x
Asplundia brasiliensis,34842,Asplundia brasiliensis,22884-2,Cyclanthaceae,Asplundia,brasiliensis,spec.,"Acta Horti Berg. 18(1) : 214, fig. 57a-c. 1958 ",Acta Horti Berg.,1958,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=214&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22884-2,tax_nov,IPNI,NA
Asplundia glaucophylla,7134,Asplundia glaucophylla,22908-2,Cyclanthaceae,Asplundia,glaucophylla,spec.,"Acta Horti Berg. 18(1): 237, fig. 63d-e. 1958 ",Acta Horti Berg.,1958,"Paraná (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=237&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22908-2,tax_nov,IPNI,NA
Asplundia heteranthera,34845,Asplundia heteranthera,22913-2,Cyclanthaceae,Asplundia,heteranthera,spec.,"Acta Horti Berg. 18(1): 152, fig. 39a-e. 1958 ",Acta Horti Berg.,1958,French Guiana &amp; Brazil (Para),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=152&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22913-2,tax_nov,IPNI,NA
Asplundia krukoffii,34846,Asplundia krukoffii,22919-2,Cyclanthaceae,Asplundia,krukoffii,spec.,"Acta Horti Berg. 18(1): 196, fig. 51a-d. 1958 ",Acta Horti Berg.,1958,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=196&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22919-2,tax_nov,IPNI,NA
Asplundia luetzelburgii,34849,Asplundia luetzelburgii,22928-2,Cyclanthaceae,Asplundia,luetzelburgii,spec.,"Acta Horti Berg. 18(1): 228, fig. 61a-c. 1958 ",Acta Horti Berg.,1958,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=228&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22928-2,tax_nov,IPNI,NA
Asplundia maximiliani,7135,Asplundia maximiliani,22931-2,Cyclanthaceae,Asplundia,maximiliani,spec.,"Acta Horti Berg. 18(1): 153, fig. 39f-h. 1958 ",Acta Horti Berg.,1958,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=153&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"maximiliani derived from maximus (via Maximilianus), a Latinized form.",www.ipni.org/n/22931-2,tax_nov,IPNI,NA
Asplundia ponderosa,34852,Asplundia ponderosa,22949-2,Cyclanthaceae,Asplundia,ponderosa,spec.,"Acta Horti Berg. 18(1): 217, fig. 57g-m. 1958 ",Acta Horti Berg.,1958,"Colombia (Vaupes, Amazonas) &amp; Brazil (Amazonas)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=217&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22949-2,tax_nov,IPNI,NA
Asplundia vaupesiana,34854,Asplundia vaupesiana,22969-2,Cyclanthaceae,Asplundia,vaupesiana,spec.,"Acta Horti Berg. 18(1): 202, fig. 52f-h, tab. 29. 1958 ",Acta Horti Berg.,1958,Colombia (Vaupes) &amp; Brazil (Amazonas),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=202&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22969-2,tax_nov,IPNI,NA
Asplundia xiphophylla,34855,Asplundia xiphophylla,22971-2,Cyclanthaceae,Asplundia,xiphophylla,spec.,"Acta Horti Berg. 18(1): 199, fig. 52b-d, tab. 27. 1958 ",Acta Horti Berg.,1958,"Colombia, Peru &amp; Brazil",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.issue=1&rft.spage=199&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22971-2,tax_nov,IPNI,NA
