name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Abildgaardia disticha,Cyperaceae,Abildgaardia,disticha,spec.,"Nordic J. Bot. 6: 765, fig. 1986 ",Nordic J. Bot.,1986,"Bahia (Brazil, Southern America)",271466-2,NA,NA,www.ipni.org/n/271466-2,tax_nov,IPNI,NA
Abildgaardia papillosa,Cyperaceae,Abildgaardia,papillosa,spec.,"Sida 18(3): 842 (-844, 838, fig. 2). 1999 [Sep 1999] ",Sida,1999,"Mun. Palmeiras, sandy peaty seep areas around arenaceous boulders and outcrops, Serro do Larguinha (Sincora), ca. 20 km S of Palmeiras and due E of Capao by trail, ca. 1000 m, Bahia (Brazil, Southern America)",318888-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1999&rft.issue=3&rft.spage=842&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/8113&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 18 Oct 1999],www.ipni.org/n/318888-2,tax_nov,IPNI,NA
Acrocarpus campestris,Cyperaceae,Acrocarpus,campestris,spec.,Fl. Bras. (Martius) 2(1): 160. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,"Minas Gerais (Brazil, Southern America)",1176312-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.issue=1&rft.spage=160&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1176312-2,tax_nov,IPNI,NA
Acrocarpus densifolius,Cyperaceae,Acrocarpus,densifolius,spec.,Fl. Bras. (Martius) 2(1): 159. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,Brazil (Southern America),1152108-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.issue=1&rft.spage=159&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1152108-2,tax_nov,IPNI,NA
Acrocarpus humilis,Cyperaceae,Acrocarpus,humilis,spec.,Fl. Bras. (Martius) 2(1): 161. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,Brazil (Southern America),1103145-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.issue=1&rft.spage=161&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1103145-2,tax_nov,IPNI,NA
Acrocarpus minarum,Cyperaceae,Acrocarpus,minarum,spec.,"Fl. Bras. (Martius) 2(1): 159, t. 16. 1842 [1 Apr 1842] ",Fl. Bras. (Martius),1842,"Minas Gerais (Brazil, Southern America)",1157406-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.issue=1&rft.spage=159&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1157406-2,tax_nov,IPNI,NA
Acrocarpus polyphyllus,Cyperaceae,Acrocarpus,polyphyllus,spec.,"Fl. Bras. (Martius) 2(1): 160, t. 17. 1842 [1 Apr 1842] ",Fl. Bras. (Martius),1842,Brazil (Southern America),1028565-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.issue=1&rft.spage=160&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1028565-2,tax_nov,IPNI,NA
Becquerelia bullata,Cyperaceae,Becquerelia,bullata,spec.,Repert. Spec. Nov. Regni Veg. 18: 382. 1922 ,Repert. Spec. Nov. Regni Veg.,1922,Brazil (Southern America),30286-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/733004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30286-2,tax_nov,IPNI,NA
Beera caespitosa,Cyperaceae,Beera,caespitosa,spec.,Enum. Pl. [Kunth] 2: 270. 1837 [1-6 May 1837] ,Enum. Pl. [Kunth],1837,Brazil (Southern America),328701-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1837&rft.spage=270&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,invalid (pro syn. of Hypolytrum laxum Kunth 1837),www.ipni.org/n/328701-2,tax_nov,IPNI,NA
Beera laxa,Cyperaceae,Beera,laxa,spec.,Enum. Pl. [Kunth] 2: 270. 1837 [1-6 May 1837] ,Enum. Pl. [Kunth],1837,Brazil (Southern America),328702-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1837&rft.spage=270&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,invalid (pro syn. of Hypolytrum laxum Kunth 1837),www.ipni.org/n/328702-2,tax_nov,IPNI,NA
