name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dichapetalum froesii,Dichapetalaceae,Dichapetalum,froesii,spec.,"Fl. Neotrop. Monogr. no. 10, 32, fig. 7F-L, 15. 1972 ",Fl. Neotrop. Monogr.,1972,"Amazonas (Brazil, Southern America)",79416-2,NA,NA,www.ipni.org/n/79416-2,tax_nov,IPNI,NA
Dichapetalum latifolium,Dichapetalaceae,Dichapetalum,latifolium,spec.,Fl. Bras. (Martius) 12(1): 370. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),79420-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/79420-2,tax_nov,IPNI,NA
Gonypetalum acreanum,Dichapetalaceae,Gonypetalum,acreanum,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 312. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),112480-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=312&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/112480-2,tax_nov,IPNI,NA
Gonypetalum juruanum,Dichapetalaceae,Gonypetalum,juruanum,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 174. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),112481-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=174&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/112481-2,tax_nov,IPNI,NA
Gonypetalum lanceolatum,Dichapetalaceae,Gonypetalum,lanceolatum,spec.,"Bull. Mus. Hist. Nat. (Paris) (ser. 2) 4: 737. 1932 Archiv. Jard. Bot. Rio Janeiro, 6: 43.  1933",Bull. Mus. Hist. Nat. (Paris),1932,"Amazonas (Brazil, Southern America)",112482-2,NA,NA,www.ipni.org/n/112482-2,tax_nov,IPNI,NA
Stephanopodium blanchetianum,Dichapetalaceae,Stephanopodium,blanchetianum,spec.,Fl. Bras. (Martius) 12(1): 377. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),245133-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144604&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/245133-2,tax_nov,IPNI,NA
Stephanopodium estrellense,Dichapetalaceae,Stephanopodium,estrellense,spec.,Fl. Bras. (Martius) 12(1): 378. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),245134-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144604&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/245134-2,tax_nov,IPNI,NA
Stephanopodium gracile,Dichapetalaceae,Stephanopodium,gracile,spec.,Brittonia 64(2): 154. 2012 [1 Jun 2012] ,Brittonia,2012,"Bahia (Brazil Northeast, Brazil, Southern America)",77122599-1,NA,doi:10.1007/s12228-011-9224-y,www.ipni.org/n/77122599-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-011-9224-y
Stephanopodium magnifolium,Dichapetalaceae,Stephanopodium,magnifolium,spec.,"Kew Bull. 49(1): 136, fig. 1994 [1993 publ. 17 Mar 1994] ",Kew Bull.,1994,"Municipio de Urucuca, Bahia (Brazil, Southern America)",306909-2,NA,NA,www.ipni.org/n/306909-2,tax_nov,IPNI,NA
Tapura follii,Dichapetalaceae,Tapura,follii,spec.,"BioLlania, Ed. Espec. 6: 492, fig. 1997 ","BioLlania, Ed. Espec.",1997,"Reserva Forestal da CVRD, Linhares, Est. Mac. p. de Sapo, ant. 161, km 1, 100 m, Espirito Santo (Brazil, Southern America)",314052-2,NA,[Gandhi 5 Nov 1997],www.ipni.org/n/314052-2,tax_nov,IPNI,NA
Tapura martiniae,Dichapetalaceae,Tapura,martiniae,spec.,Syst. Bot. 41(3): 748. 2016 [26 Aug 2016] [epublished],Syst. Bot.,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",77160806-1,NA,doi:10.1600/036364416X692523 the specific epithet honours Dr. Adriana Zanforlin Martini,www.ipni.org/n/77160806-1,tax_nov,IPNI,https://doi.org/10.1600/036364416X692523
Tapura obovata,Dichapetalaceae,Tapura,obovata,spec.,Revista Brasil. Biol. 12: 107. 1952 ,Revista Brasil. Biol.,1952,"Bahia (Brazil, Southern America)",249437-2,NA,NA,www.ipni.org/n/249437-2,tax_nov,IPNI,NA
Tapura wurdackiana,Dichapetalaceae,Tapura,wurdackiana,spec.,"BioLlania, Ed. Espec. 6: 492, fig. 1997 ","BioLlania, Ed. Espec.",1997,"Reserva Forestal da CVRD, Linhares, Est. Flamengo, ant. X-1, km 0, 870 m, Espirito Santo (Brazil, Southern America)",314051-2,NA,[Gandhi 5 Nov 1997],www.ipni.org/n/314051-2,tax_nov,IPNI,NA
Tapura zei-limae,Dichapetalaceae,Tapura,zei-limae,spec.,Syst. Bot. 41(3): 752. 2016 [26 Aug 2016] [epublished],Syst. Bot.,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",77160807-1,NA,"doi:10.1600/036364416X692523 the specific epithet is named after Zé Lima, field technician from Santa Cruz University",www.ipni.org/n/77160807-1,tax_nov,IPNI,https://doi.org/10.1600/036364416X692523
