name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dioscorea acutata,Dioscoreaceae,Dioscorea,acutata,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 125. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80660-2,NA,NA,www.ipni.org/n/80660-2,tax_nov,IPNI,NA
Dioscorea aesculifolia,Dioscoreaceae,Dioscorea,aesculifolia,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 170. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80662-2,NA,NA,www.ipni.org/n/80662-2,tax_nov,IPNI,NA
Dioscorea albinervia,Dioscoreaceae,Dioscorea,albinervia,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 74. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80666-2,NA,NA,www.ipni.org/n/80666-2,tax_nov,IPNI,NA
Dioscorea amazonum,Dioscoreaceae,Dioscorea,amazonum,spec.,"Fl. Bras. (Martius) 3(1): 39, no. 17. 1842 [1 Apr 1842] ",Fl. Bras. (Martius),1842,Brazil (Southern America),324013-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135477&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/324013-2,tax_nov,IPNI,NA
Dioscorea argyrogyna,Dioscoreaceae,Dioscorea,argyrogyna,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 204. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80692-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=204&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80692-2,tax_nov,IPNI,NA
Dioscorea asperula,Dioscoreaceae,Dioscorea,asperula,spec.,"Napaea 8: 29 (-30), figs. 1-3. 1992 ",Napaea,1992,"Minas Gerais (Brazil, Southern America)",302897-2,NA,NA,www.ipni.org/n/302897-2,tax_nov,IPNI,NA
Dioscorea bahiensis,Dioscoreaceae,Dioscorea,bahiensis,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 351. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80698-2,NA,NA,www.ipni.org/n/80698-2,tax_nov,IPNI,NA
Dioscorea basiclavicaulis,Dioscoreaceae,Dioscorea,basiclavicaulis,spec.,Revista Brasil. Biol. 46: 317-318. 1986 ,Revista Brasil. Biol.,1986,"Minas Gerais (Brazil, Southern America)",302153-2,NA,NA,www.ipni.org/n/302153-2,tax_nov,IPNI,NA
Dioscorea beecheyi,Dioscoreaceae,Dioscorea,beecheyi,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 58. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80702-2,NA,NA,www.ipni.org/n/80702-2,tax_nov,IPNI,NA
Dioscorea beyrichii,Dioscoreaceae,Dioscorea,beyrichii,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 210. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80707-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=210&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80707-2,tax_nov,IPNI,NA
