name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Erythroxylum affine,Erythroxylaceae,Erythroxylum,affine,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2: 97. 1829 ,Fl. Bras. Merid. (A. St.-Hil.).,1829,"Rio de Janeiro (Brazil, Southern America)",330121-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=97&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/330121-2,tax_nov,IPNI,NA
Erythroxylum albertianum,Erythroxylaceae,Erythroxylum,albertianum,spec.,"Publ. Inst. Nac. Pesq. Amazonia Bot. no. 5: 3, tab. 1957 ",Publ. Inst. Nac. Pesq. Amazonia Bot.,1957,"Amazonas (Brazil, Southern America)",96873-2,NA,NA,www.ipni.org/n/96873-2,tax_nov,IPNI,NA
Erythroxylum alemquerense,Erythroxylaceae,Erythroxylum,alemquerense,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 419. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),276832-2,NA,NA,www.ipni.org/n/276832-2,tax_nov,IPNI,NA
Erythroxylum amazonicum,Erythroxylaceae,Erythroxylum,amazonicum,spec.,Fl. Bras. (Martius) 12(1): 167. 1878 [1 Dec 1878] ,Fl. Bras. (Martius),1878,Brazil (Southern America),276833-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144468&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276833-2,tax_nov,IPNI,NA
Erythroxylum ambiguum,Erythroxylaceae,Erythroxylum,ambiguum,spec.,Fl. Bras. (Martius) 12(1): 142. 1878 [1 Dec 1878] ,Fl. Bras. (Martius),1878,"Rio de Janeiro (Brazil, Southern America)",330122-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144455&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/330122-2,tax_nov,IPNI,NA
Erythroxylum amplum,Erythroxylaceae,Erythroxylum,amplum,spec.,London J. Bot. 2: 372. 1843 ,London J. Bot.,1843,"Rio Negro, near Barcellos, Amazonas (Brazil, Southern America)",330123-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1843&rft.spage=372&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/330123-2,tax_nov,IPNI,NA
Erythroxylum andrei,Erythroxylaceae,Erythroxylum,andrei,spec.,"Fieldiana, Bot. 19: 2, fig. 1987 ","Fieldiana, Bot.",1987,"Bahia (Brazil, Southern America)",276834-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1987&rft.spage=2&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276834-2,tax_nov,IPNI,NA
Erythroxylum angelicae,Erythroxylaceae,Erythroxylum,angelicae,spec.,Phytotaxa 150(1): 61. 2013 [3 Dec 2013] [epublished],Phytotaxa,2013,"Ceará (Brazil Northeast, Brazil, Southern America)",77136154-1,NA,doi:10.11646/phytotaxa.150.1.5,www.ipni.org/n/77136154-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.150.1.5
Erythroxylum apiculatum,Erythroxylaceae,Erythroxylum,apiculatum,spec.,"Bol. Mus. Nac. Rio de Janeiro 1: 358, pls. 1, 2. 1924 ",Bol. Mus. Nac. Rio de Janeiro,1924,Brazil (Southern America),96881-2,NA,NA,www.ipni.org/n/96881-2,tax_nov,IPNI,NA
Erythroxylum areolatum,Erythroxylaceae,Erythroxylum,areolatum,spec.,Fl. Flumin. 194. 1829 [1825 publ. 7 Sep-28 Nov 1829] ; see also Fl. Flumin. Icon. 4: t. 175. 1831 [1827 publ. 29 Oct 1831].,Fl. Flumin.,1829,Brazil (Southern America),330125-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=194&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,later homonym (non Linnaeus 1759).,www.ipni.org/n/330125-2,tax_nov,IPNI,NA
