name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aripuana cullmaniorum,83908,Aripuana cullmaniorum,323981-2,Gentianaceae,Aripuana,cullmaniorum,spec.,Harvard Pap. Bot. 2(2): 236 (235-253; figs. 1-6). 1997 [Dec 1997] ,Harvard Pap. Bot.,1997,"Mun. de Novo Aripuana, BR 230, Rod. Transamazonica entre os kms 350 e 400 ao leste de Humaitá, campo natural, solo arenoso, arbusto de 3 m de altura, flores brancas, betoes esverdeados, Amazonas (Brazil, Southern America)",NA,specific epithet honors: Lewis B. & Dorothy Cullman,www.ipni.org/n/323981-2,tax_nov,IPNI,NA
Chelonanthus pterocaulis,622510,Chelonanthus pterocaulis,77140255-1,Gentianaceae,Chelonanthus,pterocaulis,spec.,"Fl. Guianas, ser. A, Phanerogams 30(139): 17. 2014 ","Fl. Guianas, ser. A, Phanerogams",2014,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77140255-1,tax_nov,IPNI,NA
Curtia confusa,604614,Curtia confusa,275470-2,Gentianaceae,Curtia,confusa,spec.,Proc. Kon. Ned. Akad. Wetensch. C 87(1): 42. 1984 ,Proc. Kon. Ned. Akad. Wetensch. C,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/275470-2,tax_nov,IPNI,NA
Curtia malmeana,604697,Curtia malmeana,72724-2,Gentianaceae,Curtia,malmeana,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 42. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/209643&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72724-2,tax_nov,IPNI,NA
Deianira cyathifolia,29972,Deianira cyathifolia,77186-2,Gentianaceae,Deianira,cyathifolia,spec.,"Pl. Mattogross. 32, pl. 12, fig. A. 1898 ",Pl. Mattogross.,1898,Brazil (Southern America),NA,NA,www.ipni.org/n/77186-2,tax_nov,IPNI,NA
Deianira damazioi,7763,Deianira damazioi,77187-2,Gentianaceae,Deianira,damazioi,spec.,"Arch. Jard. Bot. Rio de Janeiro 21: 63 (-64), fig. 1977 ",Arch. Jard. Bot. Rio de Janeiro,1977,Brazil (Southern America),NA,NA,www.ipni.org/n/77187-2,tax_nov,IPNI,NA
Leiphaimos ayariensis,287519,Leiphaimos ayariensis,137198-2,Gentianaceae,Leiphaimos,ayariensis,spec.,Repert. Spec. Nov. Regni Veg. 30: 277. 1932 ,Repert. Spec. Nov. Regni Veg.,1932,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=277&rft.volume=30&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/137198-2,tax_nov,IPNI,NA
Macrocarpaea atlantica,281335,Macrocarpaea atlantica,77139386-1,Gentianaceae,Macrocarpaea,atlantica,spec.,Harvard Pap. Bot. 16(2): 406. 2011 [29 Dec 2011] ,Harvard Pap. Bot.,2011,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.3100/0.25.016.0210,www.ipni.org/n/77139386-1,tax_nov,IPNI,https://doi.org/10.3100/0.25.016.0210
Macrocarpaea dolichophylla,281336,Macrocarpaea dolichophylla,77139388-1,Gentianaceae,Macrocarpaea,dolichophylla,spec.,Harvard Pap. Bot. 16(2): 408. 2011 [29 Dec 2011] ,Harvard Pap. Bot.,2011,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.3100/0.25.016.0210,www.ipni.org/n/77139388-1,tax_nov,IPNI,https://doi.org/10.3100/0.25.016.0210
Macrocarpaea glaziovii,7771,Macrocarpaea glaziovii,148802-2,Gentianaceae,Macrocarpaea,glaziovii,spec.,Bot. Jahrb. Syst. 22(2): 335. 1896 [22 May 1896] ,Bot. Jahrb. Syst.,1896,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.issue=2&rft.spage=335&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/148802-2,tax_nov,IPNI,NA
