name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Asterolepidion elatum,Icacinaceae,Asterolepidion,elatum,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 207. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),24354-2,NA,NA,www.ipni.org/n/24354-2,tax_nov,IPNI,NA
Casimirella diversifolia,Icacinaceae,Casimirella,diversifolia,spec.,"Brittonia 44: 169, fig. 1C. 1992 ",Brittonia,1992,"Mato Grosso (Brazil, Southern America)",305444-2,NA,NA,www.ipni.org/n/305444-2,tax_nov,IPNI,NA
Casimirella lanata,Icacinaceae,Casimirella,lanata,spec.,"Brittonia 44: 171, figs. 1992 ",Brittonia,1992,"Mato Grosso (Brazil, Southern America)",306774-2,NA,NA,www.ipni.org/n/306774-2,tax_nov,IPNI,NA
Citronella toledoi,Icacinaceae,Citronella,toledoi,spec.,"Rodriguésia 13, no. 25: [265], tab. 2. 1951 ",Rodriguésia,1951,"Sao Paulo (Brazil, Southern America)",59583-2,NA,NA,www.ipni.org/n/59583-2,tax_nov,IPNI,NA
Dendrobangia multinervia,Icacinaceae,Dendrobangia,multinervia,spec.,Trop. Woods 76: 19. 1943 ,Trop. Woods,1943,"Amazonas (Brazil, Southern America)",77583-2,NA,NA,www.ipni.org/n/77583-2,tax_nov,IPNI,NA
Dendrobangia tenuis,Icacinaceae,Dendrobangia,tenuis,spec.,Bol. Tecn. Inst. Agron. N. no. 4: 15. 1945 ,Bol. Tecn. Inst. Agron. N.,1945,"Amazonas (Brazil, Southern America)",77584-2,NA,NA,www.ipni.org/n/77584-2,tax_nov,IPNI,NA
Discophora froesii,Icacinaceae,Discophora,froesii,spec.,Bol. Tecn. Inst. Agron. N. no. 38: 28. 1960 ,Bol. Tecn. Inst. Agron. N.,1960,Brazil (Amazonas) &amp; Colombia,82164-2,NA,NA,www.ipni.org/n/82164-2,tax_nov,IPNI,NA
Emmotum amazonicum,Icacinaceae,Emmotum,amazonicum,spec.,Ann. Missouri Bot. Gard. 98(1): 20. 2011 [27 Apr 2011] ,Ann. Missouri Bot. Gard.,2011,"Amazonas (Brazil North, Brazil, Southern America)",77115243-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2011&rft.issue=1&rft.spage=20&rft.volume=98&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77115243-1,tax_nov,IPNI,NA
Emmotum faia,Icacinaceae,Emmotum,faia,spec.,Arch. Jard. Bot. Rio de Janeiro 26: 45 (-47; fig.). 1982 ,Arch. Jard. Bot. Rio de Janeiro,1982,"Espirito Santo (Brazil, Southern America)",60444554-2,NA,"A posthumous publication of João Geraldo Kuhlmann (1882-1958). Hilda Manhã Ferrerira and Cordélia Luiza Benavides de Abreu, who published the article, ascribed the specific name, validating Latin description, and type citation to J. G. Kuhlmann.",www.ipni.org/n/60444554-2,tax_nov,IPNI,NA
Emmotum harleyi,Icacinaceae,Emmotum,harleyi,spec.,Novon 17(3): 306 (-308; fig. 1). 2007 [10 Sep 2007] ,Novon,2007,"Bahia (Brazil, Southern America)",77084123-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11159380&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77084123-1,tax_nov,IPNI,NA
