name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Acrodiclidium aureum,Lauraceae,Acrodiclidium,aureum,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 6: 69. 1910 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1910,Brazil (Southern America),3567-2,NA,NA,www.ipni.org/n/3567-2,tax_nov,IPNI,NA
Acrodiclidium brasiliense,Lauraceae,Acrodiclidium,brasiliense,spec.,Hufeland. Ill. 13. 1833 [ante 24 Jul] ,Hufeland. Ill.,1833,"Pará (Brazil, Southern America)",3569-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=13&rft_id=http://www.biodiversitylibrary.org/bibliography/101773&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3569-2,tax_nov,IPNI,NA
Acrodiclidium caryophyllatum,Lauraceae,Acrodiclidium,caryophyllatum,spec.,Trop. Woods 60: 5. 1939 ,Trop. Woods,1939,"Amazonas (Brazil, Southern America)",3575-2,NA,NA,www.ipni.org/n/3575-2,tax_nov,IPNI,NA
Acrodiclidium mahuba,Lauraceae,Acrodiclidium,mahuba,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 56 (Annexo 5, Bot. X): 14. 1917 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1917,Brazil (Southern America),271577-2,NA,NA,www.ipni.org/n/271577-2,tax_nov,IPNI,NA
Acrodiclidium multiflorum,Lauraceae,Acrodiclidium,multiflorum,spec.,Recueil Trav. Bot. Néerl. 33: 735. 1936 ,Recueil Trav. Bot. Néerl.,1936,"Acre (Brazil, Southern America)",3608-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=735&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/14679&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3608-2,tax_nov,IPNI,NA
Aiouea acarodomatifera,Lauraceae,Aiouea,acarodomatifera,spec.,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 46: 67. 1938 [Mar 1938] ; later publ.: Rec. Trav. Bot. Neerl.  35(1): 67. Jul 1938,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1938,Brazil (Southern America),462374-1,NA,NA,www.ipni.org/n/462374-1,tax_nov,IPNI,NA
Aiouea albopunctata,Lauraceae,Aiouea,albopunctata,spec.,Brittonia 74(4): 389. 2022 [17 Oct 2022] [epublished],Brittonia,2022,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",77315195-1,NA,doi:10.1007/s12228-022-09727-7 Etymology: name refers to the fruit in the final development stage that has a green surface with very evident whitish dots; other species of the genus have small or inconspicuous points on the surface of the fruits.,www.ipni.org/n/77315195-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-022-09727-7
Aiouea benthamiana,Lauraceae,Aiouea,benthamiana,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 48. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),7856-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=48&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/7856-2,tax_nov,IPNI,NA
Aiouea hirsuta,Lauraceae,Aiouea,hirsuta,spec.,Taxon 66(5): 1101. 2017 [24 Oct 2017] ,Taxon,2017,"São Paulo (Brazil Southeast, Brazil, Southern America)",77173622-1,NA,doi:10.12705/665.6,www.ipni.org/n/77173622-1,tax_nov,IPNI,https://doi.org/10.12705/665.6
Aiouea macedoana,Lauraceae,Aiouea,macedoana,spec.,Anais 15 Congr. Soc. Bot. Brasil 168. 1967 ,Anais 15 Congr. Soc. Bot. Brasil,1967,"Goiás (Brazil, Southern America)",7872-2,NA,NA,www.ipni.org/n/7872-2,tax_nov,IPNI,NA
Aiouea myristicoides,Lauraceae,Aiouea,myristicoides,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 48. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),7878-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=48&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/7878-2,tax_nov,IPNI,NA
Aiouea pseudoglaziovii,Lauraceae,Aiouea,pseudoglaziovii,spec.,Taxon 66(5): 1106. 2017 [24 Oct 2017] ,Taxon,2017,"Santa Catarina (Brazil South, Brazil, Southern America)",77173636-1,NA,doi:10.12705/665.6,www.ipni.org/n/77173636-1,tax_nov,IPNI,https://doi.org/10.12705/665.6
Aiouea rubra,Lauraceae,Aiouea,rubra,spec.,Phytologia 1: 115. 1935 ,Phytologia,1935,"Amazonas (Brazil, Southern America)",7886-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=115&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/7886-2,tax_nov,IPNI,NA
Aiouea rubrinervia,Lauraceae,Aiouea,rubrinervia,spec.,Taxon 66(5): 1106. 2017 [24 Oct 2017] ,Taxon,2017,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77173637-1,NA,doi:10.12705/665.6,www.ipni.org/n/77173637-1,tax_nov,IPNI,https://doi.org/10.12705/665.6
Aiouea schwackeana,Lauraceae,Aiouea,schwackeana,spec.,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 12. 1901 [12 Mar 1901] ",Bot. Jahrb. Syst.,1901,"Minas Gerais (Brazil, Southern America)",7888-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211811&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/7888-2,tax_nov,IPNI,NA
Aiouea uninervia,Lauraceae,Aiouea,uninervia,spec.,Taxon 66(5): 1107. 2017 [24 Oct 2017] ,Taxon,2017,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77173646-1,NA,doi:10.12705/665.6,www.ipni.org/n/77173646-1,tax_nov,IPNI,https://doi.org/10.12705/665.6
Anaueria brasiliensis,Lauraceae,Anaueria,brasiliensis,spec.,"Recueil Trav. Bot. Néerl. 35: 835, fig. 1. 1938 ",Recueil Trav. Bot. Néerl.,1938,"Amazonas (Brazil, Southern America)",12502-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=835&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/14679&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12502-2,tax_nov,IPNI,NA
Aniba cylindriflora,Lauraceae,Aniba,cylindriflora,spec.,Recueil Trav. Bot. Néerl. 35: 912. 1938 ,Recueil Trav. Bot. Néerl.,1938,Brazil (Amazonas) &amp; Peru,13824-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=912&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/14679&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/13824-2,tax_nov,IPNI,NA
Aniba ferrea,Lauraceae,Aniba,ferrea,spec.,"Fl. Neotrop. Monogr. no. 31: 80 (-83), figs. 1982 ",Fl. Neotrop. Monogr.,1982,"Amazonas (Brazil, Southern America)",13829-2,NA,NA,www.ipni.org/n/13829-2,tax_nov,IPNI,NA
Aniba fragrans,Lauraceae,Aniba,fragrans,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 189. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),13834-2,NA,NA,www.ipni.org/n/13834-2,tax_nov,IPNI,NA
Aniba heringeri,Lauraceae,Aniba,heringeri,spec.,Rodriguésia 23-24: [253]. 1964 ,Rodriguésia,1964,"Minas Gerais (Brazil, Southern America)",13840-2,NA,NA,www.ipni.org/n/13840-2,tax_nov,IPNI,NA
Aniba juruensis,Lauraceae,Aniba,juruensis,spec.,Phytologia 1: 116. 1935 ,Phytologia,1935,"Amazonas (Brazil, Southern America)",13845-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=116&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/13845-2,tax_nov,IPNI,NA
Aniba lancifolia,Lauraceae,Aniba,lancifolia,spec.,"Acta Amazonica 6(1): 37 (-39), fig. 1. 1976 ",Acta Amazonica,1976,"Amazonas (Brazil, Southern America)",13850-2,NA,NA,www.ipni.org/n/13850-2,tax_nov,IPNI,NA
Aniba pedicellata,Lauraceae,Aniba,pedicellata,spec.,Recueil Trav. Bot. Néerl. 35: 902. 1938 ,Recueil Trav. Bot. Néerl.,1938,"Rio de Janeiro (Brazil, Southern America)",13866-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=902&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/14679&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/13866-2,tax_nov,IPNI,NA
Aniba santalodora,Lauraceae,Aniba,santalodora,spec.,Bol. Tecn. Inst. Agron. N. no. 19: 7. 1950 1951,Bol. Tecn. Inst. Agron. N.,1950,"Amazonas (Brazil, Southern America)",13884-2,NA,NA,www.ipni.org/n/13884-2,tax_nov,IPNI,NA
Aniba subbullata,Lauraceae,Aniba,subbullata,spec.,Feddes Repert. 129(2): 106. 2018 [19 Jan 2018] [epublished],Feddes Repert.,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",60477675-2,NA,doi:10.1002/fedr.201700018,www.ipni.org/n/60477675-2,tax_nov,IPNI,https://doi.org/10.1002/fedr.201700018
Aniba viridis,Lauraceae,Aniba,viridis,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 61. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),13894-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=61&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/13894-2,tax_nov,IPNI,NA
Aydendron desertorum,Lauraceae,Aydendron,desertorum,spec.,Syst. Laur. 260. 1836 ,Syst. Laur.,1836,Brazil (Southern America),27484-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1836&rft.spage=260&rft_id=http://www.biodiversitylibrary.org/bibliography/422&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/27484-2,tax_nov,IPNI,NA
