name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Cuphea acicularis,Lythraceae,Cuphea,acicularis,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 22. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,Brazil (Southern America),72276-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207935&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72276-2,tax_nov,IPNI,NA
Cuphea adenophylla,Lythraceae,Cuphea,adenophylla,spec.,"Kew Bull. 46(2): 253 (-257), fig. 1. 1991 [17 Jun 1991] ",Kew Bull.,1991,"Minas Gerais (Brazil, Southern America)",275404-2,NA,NA,www.ipni.org/n/275404-2,tax_nov,IPNI,NA
Cuphea affinitatum,Lythraceae,Cuphea,affinitatum,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 20. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,Brazil (Southern America),72282-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207933&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72282-2,tax_nov,IPNI,NA
Cuphea alatosperma,Lythraceae,Cuphea,alatosperma,spec.,Novon 18(3): 299 (-301; fig. 1). 2008 [2 Sep 2008] ,Novon,2008,"Amazonas (Brazil, Southern America)",77092507-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Distribution and Ecology. river and lake margins; 10–50 m.,www.ipni.org/n/77092507-1,tax_nov,IPNI,NA
Cuphea anamariae,Lythraceae,Cuphea,anamariae,spec.,Novon 18(3): 301 (-303; fig. 2). 2008 [2 Sep 2008] ,Novon,2008,"Minas Gerais (Brazil, Southern America)",77092508-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439019&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"Etymology. The species is named in honor of Ana Maria Giulietti-Harley (HUEFS), expert on the flora of the Serra do Espinhaço and friend and mentor of countless students of Brazilian botany. Distribution and Ecology. collected at the top of Serra do Cabral, a disjunct part of the extensive Serra do Espinhaço; in flooded areas of white sand; 700–1300 m.",www.ipni.org/n/77092508-1,tax_nov,IPNI,NA
Cuphea andersonii,Lythraceae,Cuphea,andersonii,spec.,"Brittonia 42: 16 (-18), fig. 1990 ",Brittonia,1990,Brazil (Southern America),275407-2,NA,NA,www.ipni.org/n/275407-2,tax_nov,IPNI,NA
Cuphea araguaiaensis,Lythraceae,Cuphea,araguaiaensis,spec.,Phytotaxa 588(1): 21. 2023 [20 Mar 2023] [epublished],Phytotaxa,2023,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",77316231-1,NA,"doi:10.11646/phytotaxa.588.1.1 Etymology: 'The epithet alludes to the occurrence of the species in the Upper Araguaia region, in the Araguaia river basin'.",www.ipni.org/n/77316231-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.588.1.1
Cuphea auriflora,Lythraceae,Cuphea,auriflora,spec.,Phytotaxa 588(1): 22. 2023 [20 Mar 2023] [epublished],Phytotaxa,2023,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",77316236-1,NA,"doi:10.11646/phytotaxa.588.1.1 Etymology: 'A. Lourteig in 1971 identified that the collection “Irwin et al. 23426” belonged to a new species, naming it as “C. auriflora” in the labels of several herbaria. Since the name was never published, it was decided to keep the specific epithet as a tribute to Lourteig. The specific epithet refers to the yellow color of the flowers'.",www.ipni.org/n/77316236-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.588.1.1
Cuphea blackii,Lythraceae,Cuphea,blackii,spec.,Sellowia no. 16: 137. 1964 ,Sellowia,1964,"Amazonas (Brazil, Southern America)",72302-2,NA,NA,www.ipni.org/n/72302-2,tax_nov,IPNI,NA
Cuphea brachypoda,Lythraceae,Cuphea,brachypoda,spec.,"Kew Bull. 46(2): 257, fig. 2. 1991 [17 Jun 1991] ",Kew Bull.,1991,"Bahia (Brazil, Southern America)",275412-2,NA,NA,www.ipni.org/n/275412-2,tax_nov,IPNI,NA
Cuphea burchellii,Lythraceae,Cuphea,burchellii,spec.,"Pflanzenr. (Engler) 4, Fam. 216: 131. 1903 ",Pflanzenr. (Engler),1903,Brazil (Southern America),72311-2,NA,NA,www.ipni.org/n/72311-2,tax_nov,IPNI,NA
Cuphea carajasensis,Lythraceae,Cuphea,carajasensis,spec.,Sellowia 39: 13. 1987 ,Sellowia,1987,Brazil (Southern America),275415-2,NA,NA,www.ipni.org/n/275415-2,tax_nov,IPNI,NA
Cuphea carunculata,Lythraceae,Cuphea,carunculata,spec.,"Bot. Jahrb. Syst. 42(2-3, Beibl. 97): 49. 1908 [29 Dec 1908] ",Bot. Jahrb. Syst.,1908,Brazil (Southern America),72327-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/13982&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72327-2,tax_nov,IPNI,NA
Cuphea cipoensis,Lythraceae,Cuphea,cipoensis,spec.,"Kew Bull. 46(2): 259, fig. 3. 1991 [17 Jun 1991] ",Kew Bull.,1991,"Minas Gerais (Brazil, Southern America)",275416-2,NA,NA,www.ipni.org/n/275416-2,tax_nov,IPNI,NA
Cuphea concinna,Lythraceae,Cuphea,concinna,spec.,Bot. Jahrb. Syst. 41(2): 85. 1907 [20 Dec 1907] ,Bot. Jahrb. Syst.,1907,Brazil (Southern America),72331-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/214598&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72331-2,tax_nov,IPNI,NA
Cuphea costata,Lythraceae,Cuphea,costata,spec.,"Fl. Bras. (Martius) 13(2): 298 (lam. 55, 1). 1877 [1 Oct 1877] ",Fl. Bras. (Martius),1877,"Lagia Santa, Minas Gerais (Brazil, Southern America)",321262-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142960&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 19 Jun 2001],www.ipni.org/n/321262-2,tax_nov,IPNI,NA
Cuphea crulsiana,Lythraceae,Cuphea,crulsiana,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 23. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,Brazil (Southern America),72338-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207936&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72338-2,tax_nov,IPNI,NA
Cuphea cunninghamiifolia,Lythraceae,Cuphea,cunninghamiifolia,spec.,"Kew Bull. 46(2): 261, fig. 4. 1991 [17 Jun 1991] ",Kew Bull.,1991,"Goiás (Brazil, Southern America)",275419-2,NA,NA,www.ipni.org/n/275419-2,tax_nov,IPNI,NA
Cuphea cylindracea,Lythraceae,Cuphea,cylindracea,spec.,"Brittonia 42: 20, fig. 1990 ",Brittonia,1990,Brazil (Southern America),275421-2,NA,NA,www.ipni.org/n/275421-2,tax_nov,IPNI,NA
Cuphea decipiens,Lythraceae,Cuphea,decipiens,spec.,"Pflanzenr. (Engler) 4, Fam. 216: 130. 1903 ",Pflanzenr. (Engler),1903,Brazil (Southern America),72344-2,NA,NA,www.ipni.org/n/72344-2,tax_nov,IPNI,NA
Cuphea dryadica,Lythraceae,Cuphea,dryadica,spec.,Phytotaxa 568(3): 268. 2022 [18 Oct 2022] [epublished],Phytotaxa,2022,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77307230-1,NA,"doi:10.11646/phytotaxa.568.3.3 Etymology: 'The specific epithet is a reference to the Brazilian Phytogeographic Province “Dryades”, the name of the tree nymphs in Greek mythology used by Carl Friedrich Philipp von Martius (1840–1869) to designate the region that roughly corresponds to the current circumscription of the Brazilian Atlantic Rainforest, where the new species is endemic'.",www.ipni.org/n/77307230-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.568.3.3
Cuphea dusenii,Lythraceae,Cuphea,dusenii,spec.,"Bot. Jahrb. Syst. 42(2-3, Beibl. 97): 49. 1908 [29 Dec 1908] ",Bot. Jahrb. Syst.,1908,Brazil (Southern America),72348-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/13982&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72348-2,tax_nov,IPNI,NA
Cuphea emarginata,Lythraceae,Cuphea,emarginata,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 21. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,Brazil (Southern America),72351-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207934&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72351-2,tax_nov,IPNI,NA
Cuphea enneanthera,Lythraceae,Cuphea,enneanthera,spec.,Fl. Bras. (Martius) 13(2): 280. 1877 [1 Oct 1877] ,Fl. Bras. (Martius),1877,Brazil (Southern America),552982-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/552982-1,tax_nov,IPNI,NA
Cuphea erectifolia,Lythraceae,Cuphea,erectifolia,spec.,"Fl. Bras. (Martius) 13(2): 277, t. 50, fig. 2. 1877 [1 Oct 1877] ",Fl. Bras. (Martius),1877,"Minas Gerais (Brazil, Southern America)",30027117-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1877&rft.issue=2&rft.spage=277&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30027117-2,tax_nov,IPNI,NA
Cuphea exilis,Lythraceae,Cuphea,exilis,spec.,Novon 18(3): 303 (-305; fig. 3). 2008 [2 Sep 2008] ,Novon,2008,"Pará (Brazil, Southern America)",77092509-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439021&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Distribution and Ecology. Serra do Cachimbo in the southwestern corner of the state; open wet grassy savanna on sandstone; 425 m.,www.ipni.org/n/77092509-1,tax_nov,IPNI,NA
Cuphea filiformis,Lythraceae,Cuphea,filiformis,spec.,Novon 18(3): 305 (-307; fig. 4). 2008 [2 Sep 2008] ,Novon,2008,"Distrito Federal (Brazil, Southern America)",60449080-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"Distribution and Ecology. Goiás and the Distrito Federal; disjunctly distributed in northern Goiás and the Distrito Federal; cerrado, dry to locally moist or wet to inundated areas; 800–1230 m.",www.ipni.org/n/60449080-2,tax_nov,IPNI,NA
Cuphea fuscinervis,Lythraceae,Cuphea,fuscinervis,spec.,Bot. Jahrb. Syst. 29(1): 156. 1900 [22 May 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),72379-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/1012&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72379-2,tax_nov,IPNI,NA
Cuphea glareosa,Lythraceae,Cuphea,glareosa,spec.,"Kew Bull. 46(2): 262, fig. 5. 1991 [17 Jun 1991] ",Kew Bull.,1991,"Bahia (Brazil, Southern America)",275424-2,NA,NA,www.ipni.org/n/275424-2,tax_nov,IPNI,NA
Cuphea glaziovii,Lythraceae,Cuphea,glaziovii,spec.,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 5. 1893 [24 Feb 1893] ",Bot. Jahrb. Syst.,1893,Brazil (Southern America),72383-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/337248&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72383-2,tax_nov,IPNI,NA
Cuphea harleyi,Lythraceae,Cuphea,harleyi,spec.,Phytotaxa 350(2): 156. 2018 [21 May 2018] [epublished],Phytotaxa,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",77178964-1,NA,doi:10.11646/phytotaxa.350.2.4 The specific epithet honors Dr. Raymond M. Harley.,www.ipni.org/n/77178964-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.350.2.4
Cuphea hatschbachii,Lythraceae,Cuphea,hatschbachii,spec.,Sellowia no. 16: 139. 1964 ,Sellowia,1964,"Paraná (Brazil, Southern America)",72397-2,NA,NA,www.ipni.org/n/72397-2,tax_nov,IPNI,NA
Cuphea hybogyna,Lythraceae,Cuphea,hybogyna,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 27. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,Brazil (Southern America),72411-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207940&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/72411-2,tax_nov,IPNI,NA
Cuphea iguazuensis,Lythraceae,Cuphea,iguazuensis,spec.,Bradea 8: 30. 1996 ,Bradea,1996,"Rio Iguacu, Mun. Sao Mateus do Sul, campo de inundacao do¹rio, Paraná (Brazil, Southern America)",305215-2,NA,NA,www.ipni.org/n/305215-2,tax_nov,IPNI,NA
