name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acmanthera cowanii,79225,Acmanthera cowanii,3262-2,Malpighiaceae,Acmanthera,cowanii,spec.,Contr. Univ. Michigan Herb. 11: 45. 1975 ,Contr. Univ. Michigan Herb.,1975,"Amapá (Terr.) (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12699791&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3262-2,tax_nov,IPNI,NA
Acmanthera fernandesii,19387,Acmanthera fernandesii,271526-2,Malpighiaceae,Acmanthera,fernandesii,spec.,"Contr. Univ. Michigan Herb. 17: 39 (-41), fig. 1. 1990 ",Contr. Univ. Michigan Herb.,1990,"Piaui (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12875038&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271526-2,tax_nov,IPNI,NA
Acmanthera longifolia,84671,Acmanthera longifolia,3264-2,Malpighiaceae,Acmanthera,longifolia,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 5: 32. 1914 ,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1914,Brazil (Southern America),NA,NA,www.ipni.org/n/3264-2,tax_nov,IPNI,NA
Acmanthera minima,84672,Acmanthera minima,3265-2,Malpighiaceae,Acmanthera,minima,spec.,"Syst. Bot. 5: 438 (-439), fig. 1981 1980 ",Syst. Bot.,1981,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/3265-2,tax_nov,IPNI,NA
Acmanthera parviflora,84673,Acmanthera parviflora,3266-2,Malpighiaceae,Acmanthera,parviflora,spec.,"Contr. Univ. Michigan Herb. 11: 47, fig. 3. 1975 ",Contr. Univ. Michigan Herb.,1975,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12699793&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3266-2,tax_nov,IPNI,NA
Amorimia andersonii,602852,Amorimia andersonii,77159306-1,Malpighiaceae,Amorimia,andersonii,spec.,Phytotaxa 284(1): 4. 2016 [9 Nov 2016] [epublished],Phytotaxa,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.284.1.1 the epithet honors the North American botanist Dr. William Russell Anderson (⃰1942–2013†), late colleague, and longtime contributor in the studies of Neotropical Malpighiaceae",www.ipni.org/n/77159306-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.284.1.1
Amorimia candidae,602853,Amorimia candidae,77159307-1,Malpighiaceae,Amorimia,candidae,spec.,Phytotaxa 284(1): 8. 2016 [9 Nov 2016] [epublished],Phytotaxa,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.284.1.1 the epithet honors the Brazilian botanist Dr. Maria Candida Henrique Mamede (b. 1956), colleague, former advisor, and longtime contributor in the studies of Brazilian Malpighiaceae",www.ipni.org/n/77159307-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.284.1.1
Amorimia pellegrinii,602854,Amorimia pellegrinii,77159309-1,Malpighiaceae,Amorimia,pellegrinii,spec.,Phytotaxa 284(1): 14. 2016 [9 Nov 2016] [epublished],Phytotaxa,2016,"Bahia (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",NA,"doi:10.11646/phytotaxa.284.1.1 the epithet pays honor to Marco Octávio de Oliveira Pellegrini (b.1990), a Brazilian botanist contributor to the study of the Malpighiaceae from the Atlantic Forest, additional collector of the type specimen, and future husband of the first author",www.ipni.org/n/77159309-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.284.1.1
Amorimia septentrionalis,101439,Amorimia septentrionalis,60442921-2,Malpighiaceae,Amorimia,septentrionalis,spec.,Novon 16(2): 183 (-185; fig. 6). 2006 [26 Jul 2006] ,Novon,2006,"Ceará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11159813&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/60442921-2,tax_nov,IPNI,NA
Amorimia tumida,603650,Amorimia tumida,77162499-1,Malpighiaceae,Amorimia,tumida,spec.,Phytotaxa 305(3): 180. 2017 [28 Apr 2017] [epublished],Phytotaxa,2017,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.305.3.5 the epithet makes reference to the species thickened fruiting pedicels, a unique feature in the genus",www.ipni.org/n/77162499-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.305.3.5
Amorimia velutina,101440,Amorimia velutina,60442922-2,Malpighiaceae,Amorimia,velutina,spec.,Novon 16(2): 185 (-186). 2006 [26 Jul 2006] ,Novon,2006,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11159815&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/60442922-2,tax_nov,IPNI,NA
Aspicarpa harleyi,19389,Aspicarpa harleyi,272733-2,Malpighiaceae,Aspicarpa,harleyi,spec.,"Contr. Univ. Michigan Herb. 16: 55 (-58), fig. 1987 ",Contr. Univ. Michigan Herb.,1987,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12875404&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272733-2,tax_nov,IPNI,NA
Banisteria clausseniana,595273,Banisteria clausseniana,28973-2,Malpighiaceae,Banisteria,clausseniana,spec.,"Ann. Sci. Nat., Bot. sér. 2, 13: 285. 1840 ","Ann. Sci. Nat., Bot.",1840,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/28973-2,tax_nov,IPNI,NA
Banisteria dispar,622147,Banisteria dispar,28991-2,Malpighiaceae,Banisteria,dispar,spec.,Malpigh. Amer. 2: 13. 1912 ,Malpigh. Amer.,1912,Brazil (Southern America),NA,NA,www.ipni.org/n/28991-2,tax_nov,IPNI,NA
Banisteria eglandulosa,598454,Banisteria eglandulosa,1175531-2,Malpighiaceae,Banisteria,eglandulosa,spec.,"Ann. Sci. Nat., Bot. sér. 2, 13: 283. 1840 ","Ann. Sci. Nat., Bot.",1840,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/1175531-2,tax_nov,IPNI,NA
Banisteria grata,598096,Banisteria grata,29007-2,Malpighiaceae,Banisteria,grata,spec.,Fl. Bras. (Martius) 12(1): 49. 1858 [1 Jun 1858] ,Fl. Bras. (Martius),1858,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144385&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/29007-2,tax_nov,IPNI,NA
Banisteria hypericifolia,595742,Banisteria hypericifolia,1199188-2,Malpighiaceae,Banisteria,hypericifolia,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3: 42. 1833 ,Fl. Bras. Merid. (A. St.-Hil.).,1833,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=42&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1199188-2,tax_nov,IPNI,NA
Banisteria lanceolata,622165,Banisteria lanceolata,29024-2,Malpighiaceae,Banisteria,lanceolata,spec.,"Banisteria 16. 1900 De Gen. Banisteria, pars prior, p. 17",Banisteria,1900,Brazil (Southern America),NA,NA,www.ipni.org/n/29024-2,tax_nov,IPNI,NA
Banisteria monostyla,622188,Banisteria monostyla,29059-2,Malpighiaceae,Banisteria,monostyla,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 61. 1926 ,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,Brazil (Southern America),NA,NA,www.ipni.org/n/29059-2,tax_nov,IPNI,NA
Banisteria nigrescens,594264,Banisteria nigrescens,313534-2,Malpighiaceae,Banisteria,nigrescens,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3: 44. 1833 [dt. 1832; issued on 4 May 1833] ,Fl. Bras. Merid. (A. St.-Hil.).,1833,"Sao Paulo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=44&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/313534-2,tax_nov,IPNI,NA
Banisteria ovata,622200,Banisteria ovata,29077-2,Malpighiaceae,Banisteria,ovata,spec.,Banisteria pt. 1: 7. 1900 ,Banisteria,1900,Brazil (Southern America),NA,NA,www.ipni.org/n/29077-2,tax_nov,IPNI,NA
Banisteria patens,622207,Banisteria patens,327786-2,Malpighiaceae,Banisteria,patens,spec.,Linnaea 13: 200. 1839 ,Linnaea,1839,"Sao Paulo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1839&rft.spage=200&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/327786-2,tax_nov,IPNI,NA
Banisteria pseudojanusia,622220,Banisteria pseudojanusia,29103-2,Malpighiaceae,Banisteria,pseudojanusia,spec.,"Pflanzenr. (Engler) IV, fam. 141: 408. 1928 ",Pflanzenr. (Engler),1928,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1928&rft.spage=408&rft.volume=141&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/29103-2,tax_nov,IPNI,NA
Banisteria pubipetala,598535,Banisteria pubipetala,29104-2,Malpighiaceae,Banisteria,pubipetala,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3: 41 (t. 169). 1833 [dt. 1832; issued on 4 May 1833] ,Fl. Bras. Merid. (A. St.-Hil.).,1833,"Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=41&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/29104-2,tax_nov,IPNI,NA
Banisteria schwannioides,595305,Banisteria schwannioides,29127-2,Malpighiaceae,Banisteria,schwannioides,spec.,Fl. Bras. (Martius) 12(1): 54. 1858 [1 Jun 1858] ,Fl. Bras. (Martius),1858,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144387&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/29127-2,tax_nov,IPNI,NA
Banisteria sepium,597031,Banisteria sepium,1187750-2,Malpighiaceae,Banisteria,sepium,spec.,"Ann. Sci. Nat., Bot. sér. 2, 13: 284. 1840 ","Ann. Sci. Nat., Bot.",1840,"Piaui (Brazil, Southern America)",NA,NA,www.ipni.org/n/1187750-2,tax_nov,IPNI,NA
Banisteria virgultosa,622242,Banisteria virgultosa,29158-2,Malpighiaceae,Banisteria,virgultosa,spec.,"Ann. Sci. Nat., Bot. sér. 2, 13: 284. 1840 ","Ann. Sci. Nat., Bot.",1840,"Tocantins (Brazil, Southern America)",NA,"Type info from: W.R.Anderson & C.Davis, Harvard Pap. Bot. 11(1): 16. 2006.",www.ipni.org/n/29158-2,tax_nov,IPNI,NA
Banisteria viridis,622243,Banisteria viridis,29159-2,Malpighiaceae,Banisteria,viridis,spec.,Malpigh. Amer. 2: 14. 1912 ,Malpigh. Amer.,1912,Brazil (Southern America),NA,NA,www.ipni.org/n/29159-2,tax_nov,IPNI,NA
Banisteria wettsteinii,622245,Banisteria wettsteinii,29161-2,Malpighiaceae,Banisteria,wettsteinii,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 279. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=279&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/29161-2,tax_nov,IPNI,NA
Banisteriopsis amplectens,30410,Banisteriopsis amplectens,29170-2,Malpighiaceae,Banisteriopsis,amplectens,spec.,"Fl. Neotrop. Monogr. no. 30: 189, fig. 1982 ",Fl. Neotrop. Monogr.,1982,Brazil (Southern America),NA,NA,www.ipni.org/n/29170-2,tax_nov,IPNI,NA
Banisteriopsis andersonii,30411,Banisteriopsis andersonii,29171-2,Malpighiaceae,Banisteriopsis,andersonii,spec.,"Fl. Neotrop. Monogr. no. 30: 101, fig. 1982 ",Fl. Neotrop. Monogr.,1982,Brazil (Southern America),NA,NA,www.ipni.org/n/29171-2,tax_nov,IPNI,NA
Banisteriopsis arborea,30412,Banisteriopsis arborea,29174-2,Malpighiaceae,Banisteriopsis,arborea,spec.,"Fl. Neotrop. Monogr. no. 30: 103, fig. 1982 ",Fl. Neotrop. Monogr.,1982,Brazil (Southern America),NA,NA,www.ipni.org/n/29174-2,tax_nov,IPNI,NA
Banisteriopsis basifixa,8805,Banisteriopsis basifixa,29177-2,Malpighiaceae,Banisteriopsis,basifixa,spec.,Fl. Neotrop. Monogr. no. 30: 160 (-161). 1982 ,Fl. Neotrop. Monogr.,1982,Brazil (Southern America),NA,NA,www.ipni.org/n/29177-2,tax_nov,IPNI,NA
Banisteriopsis brevipedicellata,84677,Banisteriopsis brevipedicellata,29178-2,Malpighiaceae,Banisteriopsis,brevipedicellata,spec.,"Fl. Neotrop. Monogr. no. 30: 50 (-51), fig. 1982 ",Fl. Neotrop. Monogr.,1982,Brazil (Southern America),NA,NA,www.ipni.org/n/29178-2,tax_nov,IPNI,NA
Banisteriopsis byssacea,101409,Banisteriopsis byssacea,29179-2,Malpighiaceae,Banisteriopsis,byssacea,spec.,"Fl. Neotrop. Monogr. no. 30: 63 (-64), fig. 1982 ",Fl. Neotrop. Monogr.,1982,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/29179-2,tax_nov,IPNI,NA
