name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Calathea ackermannii,Marantaceae,Calathea,ackermannii,spec.,Bull. Soc. Imp. Naturalistes Moscou 35(1): 133. 1862 [Sep-Dec 1862] (as Ackermanni),Bull. Soc. Imp. Naturalistes Moscou,1862,Brazil (Southern America),40961-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.issue=1&rft.spage=133&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,p. [ii] shows 21 August 1862 as the printer's date.,www.ipni.org/n/40961-2,tax_nov,IPNI,NA
Calathea aemula,Marantaceae,Calathea,aemula,spec.,Bull. Soc. Imp. Naturalistes Moscou 35(1): 131. 1862 [Sep-Dec 1862] ,Bull. Soc. Imp. Naturalistes Moscou,1862,Brazil (Southern America),40963-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.issue=1&rft.spage=131&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/40963-2,tax_nov,IPNI,NA
Calathea amplissima,Marantaceae,Calathea,amplissima,spec.,Fl. Bras. (Martius) 3(3): 125. 1890 [1 Jan 1890] ,Fl. Bras. (Martius),1890,Brazil (Southern America),40969-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136336&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/40969-2,tax_nov,IPNI,NA
Calathea annae,Marantaceae,Calathea,annae,spec.,"Phytologia 82: 96, fig. 1997 ",Phytologia,1997,Brazil (Southern America),314304-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1997&rft.spage=96&rft.volume=82&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi 22 Dec 1997] locality of the original collection¹unknown; flowered in cultivation at Sitio Roberto¹Burle Marx, Barra de Guaratiba (Mun. Rio de Janeiro).",www.ipni.org/n/314304-2,tax_nov,IPNI,NA
Calathea applicata,Marantaceae,Calathea,applicata,spec.,Belgique Hort. 24: 228. 1874 ,Belgique Hort.,1874,Brazil (Southern America),40971-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1874&rft.spage=228&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/5932&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/40971-2,tax_nov,IPNI,NA
Calathea barbata,Marantaceae,Calathea,barbata,spec.,Fl. Bras. (Martius) 3(3): 110. 1890 [1 Jan 1890] ,Fl. Bras. (Martius),1890,Brazil (Southern America),40980-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136328&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/40980-2,tax_nov,IPNI,NA
Calathea brasiliensis,Marantaceae,Calathea,brasiliensis,spec.,Bull. Soc. Imp. Naturalistes Moscou 35(1): 118. 1862 ,Bull. Soc. Imp. Naturalistes Moscou,1862,Brazil (Southern America),40983-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.issue=1&rft.spage=118&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/40983-2,tax_nov,IPNI,NA
Calathea brevipes,Marantaceae,Calathea,brevipes,spec.,Bull. Soc. Imp. Naturalistes Moscou 35(1): 140. 1862 ,Bull. Soc. Imp. Naturalistes Moscou,1862,Brazil (Southern America),40985-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.issue=1&rft.spage=140&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,10.1600/036364412X648571,www.ipni.org/n/40985-2,tax_nov,IPNI,NA
Calathea burle-marxii,Marantaceae,Calathea,burle-marxii,spec.,"Canad. J. Bot. 60: 2365 (-2367), fig. 1982 ",Canad. J. Bot.,1982,Brazil (Southern America),40989-2,NA,NA,www.ipni.org/n/40989-2,tax_nov,IPNI,NA
Calathea cardiophylla,Marantaceae,Calathea,cardiophylla,spec.,"Pflanzenr. (Engler) 4, Fam. 48: 108. 1902 ",Pflanzenr. (Engler),1902,Brazil (Southern America),40992-2,NA,NA,www.ipni.org/n/40992-2,tax_nov,IPNI,NA
Calathea communis,Marantaceae,Calathea,communis,spec.,Hoehnea 29(2): 115 (2002). ,Hoehnea,2002,Brazil Southeast (São Paulo);Brazil Southeast (Rio de Janeiro);Brazil South (Paraná);Brazil South (Santa Catarina);,20010506-1,NA,NA,www.ipni.org/n/20010506-1,tax_nov,IPNI,NA
Calathea crocata,Marantaceae,Calathea,crocata,spec.,"Ann. Bot. Hort. 25, 141, t. 8. 1875 ",Ann. Bot. Hort.,1875,Brazil (Southern America),41004-2,NA,NA,www.ipni.org/n/41004-2,tax_nov,IPNI,NA
Calathea dorothyae,Marantaceae,Calathea,dorothyae,spec.,Nordic J. Bot. 30(1): 36 (-39; figs.). 2012 [6 Feb 2012] [epublished],Nordic J. Bot.,2012,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77118349-1,NA,doi:10.1111/j.1756-1051.2011.01333.x [epublished],www.ipni.org/n/77118349-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2011.01333.x
