name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Marcgravia crassicostata,Marcgraviaceae,Marcgravia,crassicostata,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 27. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),152980-2,NA,NA,www.ipni.org/n/152980-2,tax_nov,IPNI,NA
Marcgravia cuneifolia,Marcgraviaceae,Marcgravia,cuneifolia,spec.,London J. Bot. 2: 335. 1843 ,London J. Bot.,1843,"Organ Mountains, Rio de Janeiro (Brazil, Southern America)",314177-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1843&rft.spage=335&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi 6 Dec 1997; comment added; de Roon & S. Dressler,¹Bot. Jahrb. Syst. 119: 332. 1997]",www.ipni.org/n/314177-2,tax_nov,IPNI,NA
Marcgravia dasyantha,Marcgraviaceae,Marcgravia,dasyantha,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 25. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),152984-2,NA,NA,www.ipni.org/n/152984-2,tax_nov,IPNI,NA
Marcgravia macroscypha,Marcgraviaceae,Marcgravia,macroscypha,spec.,"Nat. Pflanzenfam., ed. 2 [Engler & Prantl] 21: 105. 1925 ","Nat. Pflanzenfam., ed. 2 [Engler & Prantl]",1925,Brazil (Southern America),153001-2,NA,NA,www.ipni.org/n/153001-2,tax_nov,IPNI,NA
Marcgravia neurophylla,Marcgraviaceae,Marcgravia,neurophylla,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 29. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),153006-2,NA,NA,www.ipni.org/n/153006-2,tax_nov,IPNI,NA
Marcgravia roraimae,Marcgraviaceae,Marcgravia,roraimae,spec.,"Nat. Pflanzenfam., ed. 2 [Engler & Prantl] 21: 105, fig. 57. 1925 ","Nat. Pflanzenfam., ed. 2 [Engler & Prantl]",1925,Brazil (Southern America),153026-2,NA,NA,www.ipni.org/n/153026-2,tax_nov,IPNI,NA
Marcgravia salicifolia,Marcgraviaceae,Marcgravia,salicifolia,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 26. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),153028-2,NA,NA,www.ipni.org/n/153028-2,tax_nov,IPNI,NA
Marcgravia stenonectaria,Marcgraviaceae,Marcgravia,stenonectaria,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 30. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),153035-2,NA,NA,www.ipni.org/n/153035-2,tax_nov,IPNI,NA
Marcgravia subcaudata,Marcgraviaceae,Marcgravia,subcaudata,spec.,"Nat. Pflanzenfam., ed. 2 [Engler & Prantl] 21: 105. 1925 ","Nat. Pflanzenfam., ed. 2 [Engler & Prantl]",1925,Brazil (Southern America),153039-2,NA,NA,www.ipni.org/n/153039-2,tax_nov,IPNI,NA
Marcgravia zonopunctata,Marcgraviaceae,Marcgravia,zonopunctata,spec.,Willdenowia 30: 369 (-374; fig. 1; tab. 1). 2000 [13 Dec 2000] ,Willdenowia,2000,"Rio Vaupés, between Ipanoré and confluence with Rio Negro, Taracuá, Amazonas (Brazil, Southern America)",320689-2,NA,[Gandhi 10 Jan 2001],www.ipni.org/n/320689-2,tax_nov,IPNI,NA
Norantea adamantium,Marcgraviaceae,Norantea,adamantium,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 312 (t. 62). 1828 ,Fl. Bras. Merid. (A. St.-Hil.).,1828,"Minas Gerais (Brazil, Southern America)",324460-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=312&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/324460-2,tax_nov,IPNI,NA
Norantea aurantiaca,Marcgraviaceae,Norantea,aurantiaca,spec.,"see Gilg in Bot. Jahrb. Syst. 25, Beibl. 60: 32 (1898). 1995 ",see Gilg in Bot. Jahrb. Syst.,1995,Brazil North (Amazonas).,2992225-1,NA,NA,www.ipni.org/n/2992225-1,tax_nov,IPNI,NA
