name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Grazielanthus arkeocarpus,10060,Bracteanthus atlanticus,301886-2,Monimiaceae,Bracteanthus,atlanticus,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 118, figs. 1, 4a. 1991 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/301886-2,tax_nov,IPNI,NA
Macrotorus genuflexus,622403,Grazielanthus arkeocarpus,77090348-1,Monimiaceae,Grazielanthus,arkeocarpus,spec.,Kew Bull. 63(1): 138 (137-141; fig. 1). 2008 [9 Jun 2008] ,Kew Bull.,2008,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77090348-1,tax_nov,IPNI,NA
Mollinedia acutissima,10071,Macrotorus genuflexus,77233939-1,Monimiaceae,Macrotorus,genuflexus,spec.,Syst. Bot. 45(4): 755. 2020 [8 Dec 2020] [epublished],Syst. Bot.,2020,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.1600/036364420X16033962925231 The name refers to the curved anthers, resembling the genuflected position, derived from Latin 'genu' (knee) and 'flectere' (to bend).",www.ipni.org/n/77233939-1,tax_nov,IPNI,https://doi.org/10.1600/036364420X16033962925231
Mollinedia argyrogyna,10072,Mollinedia acutissima,163063-2,Monimiaceae,Mollinedia,acutissima,spec.,Bot. Jahrb. Syst. 27(5): 672. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=672&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163063-2,tax_nov,IPNI,NA
Mollinedia blumenaviana,10073,Mollinedia argyrogyna,163066-2,Monimiaceae,Mollinedia,argyrogyna,spec.,Bot. Jahrb. Syst. 27(5): 661. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=661&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163066-2,tax_nov,IPNI,NA
Mollinedia boracensis,10074,Mollinedia blumenaviana,163068-2,Monimiaceae,Mollinedia,blumenaviana,spec.,Bot. Jahrb. Syst. 27(5): 669. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=669&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163068-2,tax_nov,IPNI,NA
Mollinedia calodonta,10075,Mollinedia boracensis,280988-2,Monimiaceae,Mollinedia,boracensis,spec.,"Revista Brasil. Bot. 6: 19, fig. 1983 ",Revista Brasil. Bot.,1983,Brazil (Southern America),NA,NA,www.ipni.org/n/280988-2,tax_nov,IPNI,NA
Mollinedia canfieldiae,109608,Mollinedia calodonta,163070-2,Monimiaceae,Mollinedia,calodonta,spec.,"Bot. Jahrb. Syst. 27(5): 678, pl. 10. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=678&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163070-2,tax_nov,IPNI,NA
Mollinedia chrysolaena,10076,Mollinedia canfieldiae,163073-2,Monimiaceae,Mollinedia,canfieldiae,spec.,"Bot. Jahrb. Syst. 27(5): 676, pl. 9. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=676&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163073-2,tax_nov,IPNI,NA
Mollinedia chrysophylla,109683,Mollinedia chrysolaena,163076-2,Monimiaceae,Mollinedia,chrysolaena,spec.,Bot. Jahrb. Syst. 31(4-5): 744. 1902 [29 Aug 1902] ,Bot. Jahrb. Syst.,1902,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=744&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163076-2,tax_nov,IPNI,NA
Mollinedia chrysorrachis,109680,Mollinedia chrysophylla,163077-2,Monimiaceae,Mollinedia,chrysophylla,spec.,"Bot. Jahrb. Syst. 27(5): 651, pl. 9. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=651&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163077-2,tax_nov,IPNI,NA
Mollinedia corcovadensis,10078,Mollinedia chrysorrachis,163078-2,Monimiaceae,Mollinedia,chrysorrachis,spec.,Bot. Jahrb. Syst. 27(5): 665. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=665&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163078-2,tax_nov,IPNI,NA
Mollinedia cuneata,122676,Mollinedia corcovadensis,163082-2,Monimiaceae,Mollinedia,corcovadensis,spec.,Bot. Jahrb. Syst. 27(5): 666. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=666&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/163082-2,tax_nov,IPNI,NA
