name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Abbevillea chrysophylla,60928,Abbevillea chrysophylla,271445-2,Myrtaceae,Abbevillea,chrysophylla,spec.,Fl. Bras. (Martius) 14(1): 437. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271445-2,tax_nov,IPNI,NA
Abbevillea gardneriana,60935,Abbevillea gardneriana,294867-2,Myrtaceae,Abbevillea,gardneriana,spec.,Fl. Bras. (Martius) 14(1): 436. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142086&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/294867-2,tax_nov,IPNI,NA
Abbevillea klotzschiana,60937,Abbevillea klotzschiana,271448-2,Myrtaceae,Abbevillea,klotzschiana,spec.,Fl. Bras. (Martius) 14(1): 434. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142085&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271448-2,tax_nov,IPNI,NA
Abbevillea maschalantha,60943,Abbevillea maschalantha,271450-2,Myrtaceae,Abbevillea,maschalantha,spec.,Fl. Bras. (Martius) 14(1): 432 (-433). 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142084&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271450-2,tax_nov,IPNI,NA
Abbevillea neriiflora,60947,Abbevillea neriiflora,271453-2,Myrtaceae,Abbevillea,neriiflora,spec.,Fl. Bras. (Martius) 14(1): 431. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,"Sao Paulo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142084&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271453-2,tax_nov,IPNI,NA
Abbevillea phaea,60948,Abbevillea phaea,271454-2,Myrtaceae,Abbevillea,phaea,spec.,Fl. Bras. (Martius) 14(1): 435. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142086&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271454-2,tax_nov,IPNI,NA
Abbevillea recurvata,60950,Abbevillea recurvata,271455-2,Myrtaceae,Abbevillea,recurvata,spec.,Fl. Bras. (Martius) 14(1): 438. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271455-2,tax_nov,IPNI,NA
Abbevillea rufa,60952,Abbevillea rufa,271456-2,Myrtaceae,Abbevillea,rufa,spec.,"Fl. Bras. (Martius) 14(1): 437 (-438), t. 6, fig. 143. 1857 [15 May 1857] ",Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271456-2,tax_nov,IPNI,NA
Abbevillea rugosa,60953,Abbevillea rugosa,271457-2,Myrtaceae,Abbevillea,rugosa,spec.,Fl. Bras. (Martius) 14(1): 437. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271457-2,tax_nov,IPNI,NA
Abbevillea sellowiana,60955,Abbevillea sellowiana,271458-2,Myrtaceae,Abbevillea,sellowiana,spec.,Fl. Bras. (Martius) 14(1): 431. 1857 [15 May 1857] ,Fl. Bras. (Martius),1857,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142084&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271458-2,tax_nov,IPNI,NA
