name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Belemia cordata,Nyctaginaceae,Belemia,cordata,spec.,Syst. Biodivers. 18(4): 331. 2020 [18 May 2020] [epublished],Syst. Biodivers.,2020,"Tocantins (Brazil North, Brazil, Southern America)",77210377-1,NA,doi:10.1080/14772000.2020.1759728,www.ipni.org/n/77210377-1,tax_nov,IPNI,https://doi.org/10.1080/14772000.2020.1759728
Belemia fucsioides,Nyctaginaceae,Belemia,fucsioides,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 52: 2(-3), fig. 1981 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1981,Brazil (Southern America),31085-2,NA,NA,www.ipni.org/n/31085-2,tax_nov,IPNI,NA
Bougainvillea arborea,Nyctaginaceae,Bougainvillea,arborea,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 561. 1911 ,Bull. Soc. Bot. France,1911,Brazil (Southern America),35439-2,NA,NA,www.ipni.org/n/35439-2,tax_nov,IPNI,NA
Bougainvillea brachycarpa,Nyctaginaceae,Bougainvillea,brachycarpa,spec.,"Bot. Jahrb. Syst. 11(1): 88, pl. 2. 1889 [2 Apr 1889] ",Bot. Jahrb. Syst.,1889,Brazil (Southern America),35441-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.issue=1&rft.spage=88&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/35441-2,tax_nov,IPNI,NA
Bougainvillea fasciculata,Nyctaginaceae,Bougainvillea,fasciculata,spec.,Anais 37 Congr. Soc. Bot. Brasil 149-158. 1986 ,Anais 37 Congr. Soc. Bot. Brasil,1986,Brazil (Southern America),77222604-1,NA,[non vidi],www.ipni.org/n/77222604-1,tax_nov,IPNI,NA
Bougainvillea glabra,Nyctaginaceae,Bougainvillea,glabra,spec.,Prodr. [A. P. de Candolle] 13(2): 437. 1849 [5 May 1849] ,Prodr. [A. P. de Candolle],1849,"Rio de Janeiro (Brazil, Southern America)",35444-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/159432&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"The LT. information is from Howard, Fl. Lesser Antilles 4(1): 179. 1988.",www.ipni.org/n/35444-2,tax_nov,IPNI,NA
Bougainvillea malmeana,Nyctaginaceae,Bougainvillea,malmeana,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 70: 119, pl. 1, fig. 1. 1900 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1900,Brazil (Southern America),35456-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=119&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/35456-2,tax_nov,IPNI,NA
Guapira candanga,Nyctaginaceae,Guapira,candanga,spec.,Syst. Bot. 45(1): 173. 2020 [25 Feb 2020] [epublished],Syst. Bot.,2020,"Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);",77208693-1,NA,"doi:10.1600/036364420X15801369352441 The specific epithet honours the migrants who worked to construct the Distrito Federal in the 1950s, especially those from the Northeast Region of Brazil, who were called candangos.",www.ipni.org/n/77208693-1,tax_nov,IPNI,https://doi.org/10.1600/036364420X15801369352441
Guapira siqueirae,Nyctaginaceae,Guapira,siqueirae,spec.,Phytotaxa 460(2): 144. 2020 [23 Sep 2020] [epublished],Phytotaxa,2020,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77211786-1,NA,"doi:10.11646/phytotaxa.460.2.4 The epithet honors Geovane de Souza Siqueira, curator of the herbarium CVRD.",www.ipni.org/n/77211786-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.460.2.4
Neea aeruginosa,Nyctaginaceae,Neea,aeruginosa,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 187. 1937 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,"Amazonas (Brazil, Southern America)",167985-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=187&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/167985-2,tax_nov,IPNI,NA
Neea alumnorum,Nyctaginaceae,Neea,alumnorum,spec.,Adansonia 35(1): 22. 2013 [28 Jun 2013] ,Adansonia,2013,"Bahia (Brazil Northeast, Brazil, Southern America)",77145602-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2013&rft.issue=1&rft.spage=22&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.5252/a2013n1a2,www.ipni.org/n/77145602-1,tax_nov,IPNI,https://doi.org/10.5252/a2013n1a2
Neea bradeana,Nyctaginaceae,Neea,bradeana,spec.,Phytotaxa 644(1): 11. 2024 [9 Apr 2024] [epublished],Phytotaxa,2024,"Espírito Santo (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",77339937-1,NA,"doi:10.11646/phytotaxa.644.1.2 Etymology: the specific epithet honours Alexander Curt Brade (1881–1971), a prolific German born botanist based in Brazil who was the first to mention the taxon described here as a new species.",www.ipni.org/n/77339937-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.644.1.2
Neea campanulata,Nyctaginaceae,Neea,campanulata,spec.,Kew Bull. 76(4): 626. 2021 [10 Nov 2021] [epublished],Kew Bull.,2021,"Pará (Brazil North, Brazil, Southern America)",77219680-1,NA,doi:10.1007/S12225-021-09981-0,www.ipni.org/n/77219680-1,tax_nov,IPNI,https://doi.org/10.1007/S12225-021-09981-0
Neea cauliflora,Nyctaginaceae,Neea,cauliflora,spec.,"Nat. Pflanzenfam., ed. 2 [Engler & Prantl] 16c: 129. 1934 Without Latin diagnosis","Nat. Pflanzenfam., ed. 2 [Engler & Prantl]",1934,"x, Amazonas (Brazil, Southern America)",167993-2,NA,NA,www.ipni.org/n/167993-2,tax_nov,IPNI,NA
Neea glaziovii,Nyctaginaceae,Neea,glaziovii,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 562. 1911 ,Bull. Soc. Bot. France,1911,Brazil (Southern America),168013-2,NA,NA,www.ipni.org/n/168013-2,tax_nov,IPNI,NA
Neea glomeruliflora,Nyctaginaceae,Neea,glomeruliflora,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 126. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,Brazil (Southern America),168014-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=126&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/168014-2,tax_nov,IPNI,NA
Neea grandis,Nyctaginaceae,Neea,grandis,spec.,"Mem. New York Bot. Gard. 51: 109 (-111), fig. 1989 ",Mem. New York Bot. Gard.,1989,Brazil (Southern America),281255-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1989&rft.spage=109&rft.volume=51&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281255-2,tax_nov,IPNI,NA
Neea hermaphrodita,Nyctaginaceae,Neea,hermaphrodita,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 442, pl. 28, fig. 1-4. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),168018-2,NA,NA,www.ipni.org/n/168018-2,tax_nov,IPNI,NA
Neea itanhaensis,Nyctaginaceae,Neea,itanhaensis,spec.,Phytotaxa 415(4): 226. 2019 [2 Sep 2019] [epublished],Phytotaxa,2019,"São Paulo (Brazil Southeast, Brazil, Southern America)",77201618-1,NA,doi:10.11646/phytotaxa.415.4.7,www.ipni.org/n/77201618-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.415.4.7
Neea krukovii,Nyctaginaceae,Neea,krukovii,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 188. 1937 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,"Amazonas (Brazil, Southern America)",168022-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=188&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/168022-2,tax_nov,IPNI,NA
Neea madeirana,Nyctaginaceae,Neea,madeirana,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 189. 1937 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,"Amazonas (Brazil, Southern America)",168026-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=189&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/168026-2,tax_nov,IPNI,NA
Neea paraensis,Nyctaginaceae,Neea,paraensis,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 351. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),168031-2,NA,NA,www.ipni.org/n/168031-2,tax_nov,IPNI,NA
Neea pectinata,Nyctaginaceae,Neea,pectinata,spec.,Leandra no. 6: 34. 1975 ,Leandra,1975,Brazil (Southern America),168033-2,NA,NA,www.ipni.org/n/168033-2,tax_nov,IPNI,NA
Neea pendulina,Nyctaginaceae,Neea,pendulina,spec.,Oesterr. Bot. Z. 56: 413. 1906 ,Oesterr. Bot. Z.,1906,"Santa Catarina (Brazil, Southern America)",168034-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=413&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/40988&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/168034-2,tax_nov,IPNI,NA
