name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Nymphaea belophylla,291099,Nymphaea belophylla,171170-2,Nymphaeaceae,Nymphaea,belophylla,spec.,"Kew Bull. 26(1): 29, fig. 1. 1971 [27 Oct 1971] ",Kew Bull.,1971,"cult. ex Rio Guapore, Brazil",NA,NA,www.ipni.org/n/171170-2,tax_nov,IPNI,NA
Nymphaea caatingae,623945,Nymphaea caatingae,77295790-1,Nymphaeaceae,Nymphaea,caatingae,spec.,Sitientibus Sér. Ci. Biol. 21: 17. 2021 [3 Mar 2021] [epublished],Sitientibus Sér. Ci. Biol.,2021,"Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);",NA,doi:10.13102/scb4986,www.ipni.org/n/77295790-1,tax_nov,IPNI,https://doi.org/10.13102/scb4986
Nymphaea francae,623952,Nymphaea francae,77295791-1,Nymphaeaceae,Nymphaea,francae,spec.,Sitientibus Sér. Ci. Biol. 21: 20. 2021 [3 Mar 2021] [epublished],Sitientibus Sér. Ci. Biol.,2021,"Tocantins (Brazil North, Brazil, Southern America)",NA,"doi:10.13102/scb4986 Etymology: The specific epithet honours Prof. Dr Flávio França, from the Universidade Estadual de Feira de Santana.",www.ipni.org/n/77295791-1,tax_nov,IPNI,https://doi.org/10.13102/scb4986
Nymphaea gardneriana,10941,Nymphaea gardneriana,281433-2,Nymphaeaceae,Nymphaea,gardneriana,spec.,Fl. Serres Jard. Eur. 8: 120. 1852 ,Fl. Serres Jard. Eur.,1852,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1852&rft.spage=120&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/15860&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281433-2,tax_nov,IPNI,NA
Nymphaea harleyi,623953,Nymphaea harleyi,77295792-1,Nymphaeaceae,Nymphaea,harleyi,spec.,Sitientibus Sér. Ci. Biol. 21: 29. 2021 [3 Mar 2021] [epublished],Sitientibus Sér. Ci. Biol.,2021,"Tocantins (Brazil North, Brazil, Southern America)",NA,"doi:10.13102/scb4986 Etymology: The specific epithet honours Prof. Dr Raymond Harley, Honorary Research Fellow at the Royal Botanic Gardens, Kew and Visiting Researcher at the Universidade Estadual de Feira de Santana.",www.ipni.org/n/77295792-1,tax_nov,IPNI,https://doi.org/10.13102/scb4986
Nymphaea lasiophylla,10944,Nymphaea lasiophylla,281436-2,Nymphaeaceae,Nymphaea,lasiophylla,spec.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 1: 364. 1832 [1829-1830 publ. 1832] ,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.,1832,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1832&rft.spage=364&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/10920&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281436-2,tax_nov,IPNI,NA
Nymphaea lingulata,10945,Nymphaea lingulata,281437-2,Nymphaeaceae,Nymphaea,lingulata,spec.,"Brittonia 36: 215(-217), fig. 1984 ",Brittonia,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/281437-2,tax_nov,IPNI,NA
Nymphaea maximiliani,291114,Nymphaea maximiliani,281438-2,Nymphaeaceae,Nymphaea,maximiliani,spec.,Hamburger Garten- Blumenzeitung 9: 215 (-216). 1853 ,Hamburger Garten- Blumenzeitung,1853,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1853&rft.spage=215&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/6775&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281438-2,tax_nov,IPNI,NA
Nymphaea paganuccii,623954,Nymphaea paganuccii,77295793-1,Nymphaeaceae,Nymphaea,paganuccii,spec.,Sitientibus Sér. Ci. Biol. 21: 42. 2021 [3 Mar 2021] [epublished],Sitientibus Sér. Ci. Biol.,2021,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.13102/scb4986 Etymology: 'Tribute to Prof. Dr. Luciano Paganucci de Queiroz, from the Universidade Estadual de Feira de Santana'.",www.ipni.org/n/77295793-1,tax_nov,IPNI,https://doi.org/10.13102/scb4986
Nymphaea potamophila,86095,Nymphaea potamophila,281440-2,Nymphaeaceae,Nymphaea,potamophila,spec.,"Sida 10: 195(-196), fig. 1984 ",Sida,1984,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1984&rft.spage=195&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/8113&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281440-2,tax_nov,IPNI,NA
