name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Blastemanthus sprucei,86103,Blastemanthus sprucei,33469-2,Ochnaceae,Blastemanthus,sprucei,spec.,"Ann. Sci. Nat., Bot. sér. 8, 19: 68. 1904 ","Ann. Sci. Nat., Bot.",1904,Brazil (Southern America),NA,NA,www.ipni.org/n/33469-2,tax_nov,IPNI,NA
Cercouratea brevipes,115362,Cercouratea brevipes,274321-2,Ochnaceae,Cercouratea,brevipes,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 277. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/274321-2,tax_nov,IPNI,NA
Cercouratea venulata,115388,Cercouratea venulata,274323-2,Ochnaceae,Cercouratea,venulata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 272. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/274323-2,tax_nov,IPNI,NA
Elvasia capixaba,79454,Elvasia capixaba,77085535-1,Ochnaceae,Elvasia,capixaba,spec.,Novon 16(4): 487 (fig. 3). 2006 [19 Dec 2006] ,Novon,2006,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11160125&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77085535-1,tax_nov,IPNI,NA
Elvasia gigantifolia,79455,Elvasia gigantifolia,77085533-1,Ochnaceae,Elvasia,gigantifolia,spec.,Novon 16(4): 483 (-485; fig. 1). 2006 [19 Dec 2006] ,Novon,2006,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11160121&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77085533-1,tax_nov,IPNI,NA
Elvasia kollmannii,79456,Elvasia kollmannii,77085534-1,Ochnaceae,Elvasia,kollmannii,spec.,Novon 16(4): 485 (-487; fig. 2). 2006 [19 Dec 2006] ,Novon,2006,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11160123&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77085534-1,tax_nov,IPNI,NA
Elvasia macrostipularis,115381,Elvasia macrostipularis,90151-2,Ochnaceae,Elvasia,macrostipularis,spec.,"Caldasia 12: 134, figs. 1978 ",Caldasia,1978,"Pará (Brazil, Southern America)",NA,NA,www.ipni.org/n/90151-2,tax_nov,IPNI,NA
Elvasia tricarpellata,19914,Elvasia tricarpellata,90159-2,Ochnaceae,Elvasia,tricarpellata,spec.,"Bull. Jard. Bot. Natl. Belg. 51: 404 (-406), fig. 1981 ",Bull. Jard. Bot. Natl. Belg.,1981,Brazil (Southern America),NA,NA,www.ipni.org/n/90159-2,tax_nov,IPNI,NA
Krukoviella scandens,604938,Krukoviella scandens,133959-2,Ochnaceae,Krukoviella,scandens,spec.,J. Arnold Arbor. 20: 296. 1939 ,J. Arnold Arbor.,1939,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=296&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/133959-2,tax_nov,IPNI,NA
Luxemburgia bracteata,31686,Luxemburgia bracteata,146105-2,Ochnaceae,Luxemburgia,bracteata,spec.,Lloydia 14: 88. 1951 ,Lloydia,1951,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/146105-2,tax_nov,IPNI,NA
