name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Cathedra bahiensis,10954,Aptandropsis amphoricarpa,16753-2,Olacaceae,Aptandropsis,amphoricarpa,spec.,"Bol. Tecn. Inst. Agron. N. no. 4: 6, pl. 1945 ",Bol. Tecn. Inst. Agron. N.,1945,Brazil (Southern America),NA,NA,www.ipni.org/n/16753-2,tax_nov,IPNI,NA
Cathedra grandiflora,112190,Aptandropsis discophora,16754-2,Olacaceae,Aptandropsis,discophora,spec.,"Bol. Tecn. Inst. Agron. N. no. 4: 7, tab. 2. 1945 ",Bol. Tecn. Inst. Agron. N.,1945,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/16754-2,tax_nov,IPNI,NA
Cathedra inaequilatera,86177,Cathedra bahiensis,50078-2,Olacaceae,Cathedra,bahiensis,spec.,"Fl. Neotrop. Monogr. 38: 111, fig. 1984 ",Fl. Neotrop. Monogr.,1984,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/50078-2,tax_nov,IPNI,NA
Cathedra oblonga,79469,Cathedra grandiflora,50080-2,Olacaceae,Cathedra,grandiflora,spec.,Flora 72 (n. s. 47): 75. 1889 ,Flora,1889,Brazil (Southern America),NA,NA,www.ipni.org/n/50080-2,tax_nov,IPNI,NA
Chaunochiton angustifolium,31733,Cathedra inaequilatera,50082-2,Olacaceae,Cathedra,inaequilatera,spec.,Repert. Spec. Nov. Regni Veg. 39: 280. 1936 ,Repert. Spec. Nov. Regni Veg.,1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=280&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/50082-2,tax_nov,IPNI,NA
Chaunochiton breviflorum,79470,Cathedra oblonga,50083-2,Olacaceae,Cathedra,oblonga,spec.,Repert. Spec. Nov. Regni Veg. 39: 280. 1936 ,Repert. Spec. Nov. Regni Veg.,1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=280&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/50083-2,tax_nov,IPNI,NA
Chaunochiton mouririoides,79471,Chaunochiton angustifolium,55670-2,Olacaceae,Chaunochiton,angustifolium,spec.,Repert. Spec. Nov. Regni Veg. 42: 261. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=261&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/55670-2,tax_nov,IPNI,NA
Eganthus poeppigii,115167,Chaunochiton breviflorum,55671-2,Olacaceae,Chaunochiton,breviflorum,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 41. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),NA,NA,www.ipni.org/n/55671-2,tax_nov,IPNI,NA
Aptandropsis amphoricarpa,86173,Chaunochiton mouririoides,55673-2,Olacaceae,Chaunochiton,mouririoides,spec.,Brittonia 2: 148. 1936 ,Brittonia,1936,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/55673-2,tax_nov,IPNI,NA
Aptandropsis discophora,79467,Curupira tefeensis,72734-2,Olacaceae,Curupira,tefeensis,spec.,"Bol. Tecn. Inst. Agron. N. 15: 17, tab. 1948 ",Bol. Tecn. Inst. Agron. N.,1948,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/72734-2,tax_nov,IPNI,NA
Heisteria amazonica,79476,Douradoa consimilis,83332-2,Olacaceae,Douradoa,consimilis,spec.,"Fl. Neotrop. Monogr. no. 38: 138, fig. 1984 ",Fl. Neotrop. Monogr.,1984,"Pará (Brazil, Southern America)",NA,NA,www.ipni.org/n/83332-2,tax_nov,IPNI,NA
Heisteria burchellii,86183,Dulacia glazioviana,85768-2,Olacaceae,Dulacia,glazioviana,spec.,"Bot. Jahrb. Syst. 15(2, Beibl. 34): 7. 1892 [5 Apr 1892] ",Bot. Jahrb. Syst.,1892,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/337202&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/85768-2,tax_nov,IPNI,NA
Heisteria duckei,24077,Eganthus poeppigii,88855-2,Olacaceae,Eganthus,poeppigii,spec.,J. Bot. (Morot) 13: 77. 1899 ,J. Bot. (Morot),1899,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.spage=77&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/88855-2,tax_nov,IPNI,NA
Heisteria insculpta,86187,Heisteria amazonica,118582-2,Olacaceae,Heisteria,amazonica,spec.,Repert. Spec. Nov. Regni Veg. 38: 206. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=206&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118582-2,tax_nov,IPNI,NA
Heisteria krukovii,86188,Heisteria burchellii,118590-2,Olacaceae,Heisteria,burchellii,spec.,Bull. New York Bot. Gard. 6: 271. 1910 ,Bull. New York Bot. Gard.,1910,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=271&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/44786&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118590-2,tax_nov,IPNI,NA
Heisteria longifolia,595073,Heisteria duckei,118602-2,Olacaceae,Heisteria,duckei,spec.,Repert. Spec. Nov. Regni Veg. 38: 207. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=207&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118602-2,tax_nov,IPNI,NA
Heisteria micrantha,86190,Heisteria insculpta,118607-2,Olacaceae,Heisteria,insculpta,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 65. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=65&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118607-2,tax_nov,IPNI,NA
Heisteria parvicalyx,86191,Heisteria krukovii,118611-2,Olacaceae,Heisteria,krukovii,spec.,Brittonia 2: 147. 1936 ,Brittonia,1936,"Acre (Brazil, Southern America)",NA,NA,www.ipni.org/n/118611-2,tax_nov,IPNI,NA
Heisteria rubricalyx,115364,Heisteria longifolia,118614-2,Olacaceae,Heisteria,longifolia,spec.,Fl. Bras. (Martius) 12(2): 14. 1872 [1 Dec 1872] ,Fl. Bras. (Martius),1872,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/143964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118614-2,tax_nov,IPNI,NA
Heisteria scandens,24079,Heisteria micrantha,118620-2,Olacaceae,Heisteria,micrantha,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 340. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/118620-2,tax_nov,IPNI,NA
Heisteria sessilis,79478,Heisteria parvicalyx,118627-2,Olacaceae,Heisteria,parvicalyx,spec.,Brittonia 2: 147. 1936 ,Brittonia,1936,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/118627-2,tax_nov,IPNI,NA
Heisteria silvianii,10964,Heisteria rubricalyx,118631-2,Olacaceae,Heisteria,rubricalyx,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 337. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/118631-2,tax_nov,IPNI,NA
Heisteria subsessilis,115367,Heisteria scandens,118633-2,Olacaceae,Heisteria,scandens,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 9. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/118633-2,tax_nov,IPNI,NA
Heisteria uleana,86192,Heisteria sessilis,118634-2,Olacaceae,Heisteria,sessilis,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 8. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/118634-2,tax_nov,IPNI,NA
Hesioda perianthomega,115376,Heisteria silvianii,118635-2,Olacaceae,Heisteria,silvianii,spec.,"Pl. Nov. Mineir. 2: 3, fig. 1900 ",Pl. Nov. Mineir.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=3&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118635-2,tax_nov,IPNI,NA
Dulacia glazioviana,79475,Heisteria subsessilis,118639-2,Olacaceae,Heisteria,subsessilis,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 340. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/118639-2,tax_nov,IPNI,NA
Liriosma cerifera,86194,Heisteria uleana,118642-2,Olacaceae,Heisteria,uleana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 67. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=67&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/118642-2,tax_nov,IPNI,NA
Liriosma egleri,115895,Hesioda perianthomega,120781-2,Olacaceae,Hesioda,perianthomega,spec.,Fl. Flumin. 185. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=185&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/120781-2,tax_nov,IPNI,NA
Liriosma papillosa,115908,Liriosma cerifera,141366-2,Olacaceae,Liriosma,cerifera,spec.,Brittonia 2: 146. 1936 ,Brittonia,1936,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/141366-2,tax_nov,IPNI,NA
Ptychopetalum uncinatum,79481,Liriosma egleri,141368-2,Olacaceae,Liriosma,egleri,spec.,"Bol. Mus. Bot. Munic. no. 14: [1], fig. 1974 ",Bol. Mus. Bot. Munic.,1974,Brazil (Southern America),NA,NA,www.ipni.org/n/141368-2,tax_nov,IPNI,NA
Schoepfia velutina,116343,Liriosma papillosa,141377-2,Olacaceae,Liriosma,papillosa,spec.,"Bol. Mus. Bot. Munic. 14: 2, fig. 1974 ",Bol. Mus. Bot. Munic.,1974,Brazil (Southern America),NA,NA,www.ipni.org/n/141377-2,tax_nov,IPNI,NA
Tetrastylidium engleri,115923,Ptychopetalum uncinatum,214345-2,Olacaceae,Ptychopetalum,uncinatum,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 11: 624. 1932 ,Notizbl. Bot. Gart. Berlin-Dahlem,1932,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=624&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/214345-2,tax_nov,IPNI,NA
Tetrastylidium janeirense,79482,Schoepfia velutina,229887-2,Olacaceae,Schoepfia,velutina,spec.,Bull. Misc. Inform. Kew 1929(4): 122. [3 Jun 1929] ,Bull. Misc. Inform. Kew,1929,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.issue=4&rft.spage=122&rft.volume=1929&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/229887-2,tax_nov,IPNI,NA
Curupira tefeensis,79474,Tetrastylidium engleri,251994-2,Olacaceae,Tetrastylidium,engleri,spec.,Bot. Jahrb. Syst. 10(3): 291. 1888 [9 Oct 1888] ,Bot. Jahrb. Syst.,1888,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.issue=3&rft.spage=291&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/251994-2,tax_nov,IPNI,NA
