name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Bonamica filiformis,64113,Bonamica filiformis,306476-2,Oleaceae,Bonamica,filiformis,spec.,Fl. Flumin. 21. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=21&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/306476-2,tax_nov,IPNI,NA
Chionanthus greenii,10977,Chionanthus greenii,77074644-1,Oleaceae,Chionanthus,greenii,spec.,Kew Bull. 61(2): 179 (-182; figs. 1-2). 2006 ,Kew Bull.,2006,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77074644-1,tax_nov,IPNI,NA
Chionanthus monteazulensis,631573,Chionanthus monteazulensis,77323784-1,Oleaceae,Chionanthus,monteazulensis,spec.,Phytotaxa 603(3): 290. 2023 [20 Jul 2023] [epublished],Phytotaxa,2023,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.603.3.8,www.ipni.org/n/77323784-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.603.3.8
Chionanthus parviflorus,605717,Chionanthus parviflorus,77139393-1,Oleaceae,Chionanthus,parviflorus,spec.,"Harvard Pap. Bot. 16(2): 421. 2011 [29 Dec 2011] , as parviflora",Harvard Pap. Bot.,2011,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",NA,doi:10.3100/0.25.016.0211,www.ipni.org/n/77139393-1,tax_nov,IPNI,https://doi.org/10.3100/0.25.016.0211
Chionanthus tenuis,10980,Chionanthus tenuis,305430-2,Oleaceae,Chionanthus,tenuis,spec.,Kew Bull. 49(2): 277  fig. 1994 [25 May 1994] ,Kew Bull.,1994,Brazil (Southern America),NA,NA,www.ipni.org/n/305430-2,tax_nov,IPNI,NA
Linociera elegans,64149,Linociera elegans,310491-2,Oleaceae,Linociera,elegans,spec.,Fl. Bras. (Martius) 6(1): 306. 1868 [1 Aug 1868] ,Fl. Bras. (Martius),1868,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139561&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/310491-2,tax_nov,IPNI,NA
Linociera ferruginea,64150,Linociera ferruginea,140725-2,Oleaceae,Linociera,ferruginea,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 35. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),NA,NA,www.ipni.org/n/140725-2,tax_nov,IPNI,NA
Linociera glaziovii,64151,Linociera glaziovii,140726-2,Oleaceae,Linociera,glaziovii,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 35. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,Brazil (Southern America),NA,NA,www.ipni.org/n/140726-2,tax_nov,IPNI,NA
Linociera subsessilis,64157,Linociera subsessilis,300252-2,Oleaceae,Linociera,subsessilis,spec.,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1870: 198. ,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1870,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1870&rft.spage=198&rft.volume=1870&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/300252-2,tax_nov,IPNI,NA
Priogymnanthus saxicola,583262,Priogymnanthus saxicola,60469218-2,Oleaceae,Priogymnanthus,saxicola,spec.,"Phytotaxa 221(1): 66. 2015 [28 Jul 2015] , as 'saxicolus' [epublished]",Phytotaxa,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.221.1.6,www.ipni.org/n/60469218-2,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.221.1.6
Tessarandra fluminensis,64174,Tessarandra fluminensis,304463-2,Oleaceae,Tessarandra,fluminensis,spec.,"Ann. Mag. Nat. Hist. ser. 2, 7(39): 198. 1851 [Mar 1851] ",Ann. Mag. Nat. Hist.,1851,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/304463-2,tax_nov,IPNI,NA
