name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Corynostigma jussiaeoides,Onagraceae,Corynostigma,jussiaeoides,spec.,Epimel. Bot. 218. 1851 [Oct 1851] ,Epimel. Bot.,1851,Brazil (Southern America),275143-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1851&rft.spage=218&rft_id=http://www.biodiversitylibrary.org/bibliography/61845&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/275143-2,tax_nov,IPNI,NA
Fuchsia bracelinae,Onagraceae,Fuchsia,bracelinae,spec.,"Proc. Calif. Acad. Sci. ser. 4, 25: 7, tab. 1, fig. 2. 1943 ",Proc. Calif. Acad. Sci.,1943,"Espirito Santo (Brazil, Southern America)",106154-2,NA,NA,www.ipni.org/n/106154-2,tax_nov,IPNI,NA
Fuchsia brevilobis,Onagraceae,Fuchsia,brevilobis,spec.,"Ann. Missouri Bot. Gard. 76: 552, fig. 1989 ",Ann. Missouri Bot. Gard.,1989,Brazil (Southern America),277260-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27999821&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/277260-2,tax_nov,IPNI,NA
Fuchsia glazioviana,Onagraceae,Fuchsia,glazioviana,spec.,"Bot. Jahrb. Syst. 15(2, Beibl. 34): 10. 1892 [5 Apr 1892] ",Bot. Jahrb. Syst.,1892,Brazil (Southern America),277265-2,NA,NA,www.ipni.org/n/277265-2,tax_nov,IPNI,NA
Fuchsia hatschbachii,Onagraceae,Fuchsia,hatschbachii,spec.,"Ann. Missouri Bot. Gard. 76: 559, fig. 1989 ",Ann. Missouri Bot. Gard.,1989,Brazil (Southern America),277266-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27999828&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/277266-2,tax_nov,IPNI,NA
Fuchsia mollis,Onagraceae,Fuchsia,mollis,spec.,Bot. Jahrb. Syst. 37(5): 600. 1906 [30 Oct 1906] ,Bot. Jahrb. Syst.,1906,Brazil (Southern America),106244-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.issue=5&rft.spage=600&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/106244-2,tax_nov,IPNI,NA
Jussiaea brachyphylla,Onagraceae,Jussiaea,brachyphylla,spec.,Flora 57 (n. s. 32): 300. 1874 ,Flora,1874,Brazil (Southern America),279071-2,NA,NA,www.ipni.org/n/279071-2,tax_nov,IPNI,NA
Jussiaea burchellii,Onagraceae,Jussiaea,burchellii,spec.,Flora 57 (n.s. 32): 301. 1874 ,Flora,1874,Brazil (Southern America),279072-2,NA,NA,www.ipni.org/n/279072-2,tax_nov,IPNI,NA
Jussiaea caparosa,Onagraceae,Jussiaea,caparosa,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2: 258. 1829 ,Fl. Bras. Merid. (A. St.-Hil.).,1829,Brazil (Southern America),279073-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=258&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/279073-2,tax_nov,IPNI,NA
Jussiaea densiflora,Onagraceae,Jussiaea,densiflora,spec.,Flora 57 (n.s. 32): 301. 1874 ,Flora,1874,Brazil (Southern America),279074-2,NA,NA,www.ipni.org/n/279074-2,tax_nov,IPNI,NA
Jussiaea filiformis,Onagraceae,Jussiaea,filiformis,spec.,Flora 57 (n.s. 32): 300 (-301). 1874 ,Flora,1874,Brazil (Southern America),279081-2,NA,NA,www.ipni.org/n/279081-2,tax_nov,IPNI,NA
Jussiaea goyazensis,Onagraceae,Jussiaea,goyazensis,spec.,Bull. Soc. Bot. France 56(Mém. 3d): 306. 1909 ,Bull. Soc. Bot. France,1909,Brazil (Southern America),132629-2,NA,NA,www.ipni.org/n/132629-2,tax_nov,IPNI,NA
Jussiaea martii,Onagraceae,Jussiaea,martii,spec.,Flora 57 (n.s. 32): 300. 1874 ,Flora,1874,Brazil (Southern America),279088-2,NA,NA,www.ipni.org/n/279088-2,tax_nov,IPNI,NA
