name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acacallis rosariana,64183,Acacallis rosariana,20002538-1,Orchidaceae,Acacallis,rosariana,spec.,Orchidee (Hamburg) 52(5): 572. 2001 ,Orchidee (Hamburg),2001,Brazil North (Rondônia),NA,NA,www.ipni.org/n/20002538-1,tax_nov,IPNI,NA
Acianthera amandae,631574,Acianthera amandae,77211951-1,Orchidaceae,Acianthera,amandae,spec.,Colet. Orquídeas Brasil. 16: 638. 2020 [25 Aug 2020] ,Colet. Orquídeas Brasil.,2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,"The specific epithet refers to Amanda Maria de Abreu, daughter of Reginaldo Heitor de Abreu who discovered the species.",www.ipni.org/n/77211951-1,tax_nov,IPNI,NA
Acianthera amsleri,619715,Acianthera amsleri,77191196-1,Orchidaceae,Acianthera,amsleri,spec.,Phytotaxa 372(4): 292. 2018 [19 Oct 2018] [epublished],Phytotaxa,2018,Brazil (Southern America),NA,doi:10.11646/phytotaxa.372.4.6 The specific epithet is named after Roland Amsler.,www.ipni.org/n/77191196-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.372.4.6
Acianthera atrata,619716,Acianthera atrata,77155522-1,Orchidaceae,Acianthera,atrata,spec.,Richardiana 16: 209. 2016 [15 Mar 2016] [epublished],Richardiana,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77155522-1,tax_nov,IPNI,NA
Acianthera bohnkiana,37179,Acianthera bohnkiana,60442617-2,Orchidaceae,Acianthera,bohnkiana,spec.,Bol. CAOB 54: 60 (-63; photogrs.; plate; map). 2004 [10 Aug 2004] ,Bol. CAOB,2004,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/60442617-2,tax_nov,IPNI,NA
Acianthera catujiensis,619719,Acianthera catujiensis,77194100-1,Orchidaceae,Acianthera,catujiensis,spec.,Colet. Orquídeas Brasil. 14: 546. 2018 [30 Oct 2018] ,Colet. Orquídeas Brasil.,2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77194100-1,tax_nov,IPNI,NA
Acianthera cephalopodiglossa,614548,Acianthera cephalopodiglossa,77150368-1,Orchidaceae,Acianthera,cephalopodiglossa,spec.,Lankesteriana 15(1): 80. 2015 [16 Mar 2015] [epublished],Lankesteriana,2015,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77150368-1,tax_nov,IPNI,NA
Acianthera echinosa,287654,Acianthera echinosa,60464265-2,Orchidaceae,Acianthera,echinosa,spec.,"Harvard Pap. Bot. 17(2): 307, fig. 1. 2012 [28 Dec 2012] ",Harvard Pap. Bot.,2012,"Santa Catarina (Brazil, Southern America)",NA,"Etymology: From the Latin echinosus, “markedly echinate,” prickly, referring to the lip. doi:10.3100/025.017.0211",www.ipni.org/n/60464265-2,tax_nov,IPNI,https://doi.org/10.3100/025.017.0211
Acianthera fornograndensis,37185,Acianthera fornograndensis,60445127-2,Orchidaceae,Acianthera,fornograndensis,spec.,Bol. Mus. Biol. Prof. Mello-Leitão 20: 27 (-31; fig. 1). 2007 [dt. Dec 2006; issued in Mar 2007] ,Bol. Mus. Biol. Prof. Mello-Leitão,2007,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/60445127-2,tax_nov,IPNI,NA
Acianthera imitator,614549,Acianthera imitator,60469397-2,Orchidaceae,Acianthera,imitator,spec.,"Harvard Pap. Bot. 20(1): 39, fig. 1. 2015 [30 Jun 2015] [epublished]",Harvard Pap. Bot.,2015,"Espirito Santo (Brazil, Southern America)",NA,"Etymology: From the Latin imitator, “an imitator,” referring to its similarity to Barbosa Rodrigues's Pleurothallis bidentula [= Acianthera bidentula (Barb. Rodr.) Pridgeon & M.W.Chase]. doi:10.3100/hpib.v20iss1.2015.n4",www.ipni.org/n/60469397-2,tax_nov,IPNI,https://doi.org/10.3100/hpib.v20iss1.2015.n4
