name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Biophytum luetzelburgii,Oxalidaceae,Biophytum,luetzelburgii,spec.,Repert. Spec. Nov. Regni Veg. 51: 203. 1942 ,Repert. Spec. Nov. Regni Veg.,1942,Brazil-Colombia Boundary,33254-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=203&rft.volume=51&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/33254-2,tax_nov,IPNI,NA
Biophytum permultijugum,Oxalidaceae,Biophytum,permultijugum,spec.,Repert. Spec. Nov. Regni Veg. 51: 202. 1942 ,Repert. Spec. Nov. Regni Veg.,1942,Nw. Brazil,33262-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=202&rft.volume=51&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/33262-2,tax_nov,IPNI,NA
Oxalis acutifolia,Oxalidaceae,Oxalis,acutifolia,spec.,Fl. Bras. (Martius) 12(2): 514. 1877 [1 Dec 1877] ,Fl. Bras. (Martius),1877,Brazil (Southern America),177713-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144309&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177713-2,tax_nov,IPNI,NA
Oxalis alata,Oxalidaceae,Oxalis,alata,spec.,Denkschr. Königl. Akad. Wiss. München 9: 155. 1823 ,Denkschr. Königl. Akad. Wiss. München,1823,Brazil (Southern America),177720-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.spage=155&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/10873&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177720-2,tax_nov,IPNI,NA
Oxalis alstonii,Oxalidaceae,Oxalis,alstonii,spec.,"Bradea 2(44): 292 (-294), fig. 1978 ",Bradea,1978,Brazil (Southern America),177729-2,NA,NA,www.ipni.org/n/177729-2,tax_nov,IPNI,NA
Oxalis alta,Oxalidaceae,Oxalis,alta,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 294. 1919 ,Notizbl. Bot. Gart. Berlin-Dahlem,1919,Brazil (Southern America),177730-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=294&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177730-2,tax_nov,IPNI,NA
Oxalis alvimii,Oxalidaceae,Oxalis,alvimii,spec.,Bradea 7: 186         fig. 1994 ,Bradea,1994,"Bahia (Brazil, Southern America)",302104-2,NA,NA,www.ipni.org/n/302104-2,tax_nov,IPNI,NA
Oxalis amara,Oxalidaceae,Oxalis,amara,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 119 (-120). 1825 ,Fl. Bras. Merid. (A. St.-Hil.).,1825,"Rio Grande do Sul (Brazil, Southern America)",177731-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=119&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177731-2,tax_nov,IPNI,NA
Oxalis arachnoidea,Oxalidaceae,Oxalis,arachnoidea,spec.,Fl. Bras. (Martius) 12(2): 494. 1877 [1 Dec 1877] ,Fl. Bras. (Martius),1877,Brazil (Southern America),177751-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144299&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177751-2,tax_nov,IPNI,NA
Oxalis areolata,Oxalidaceae,Oxalis,areolata,spec.,Bot. Jahrb. Syst. 17(5): 504. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,Brazil (Southern America),177756-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.issue=5&rft.spage=504&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177756-2,tax_nov,IPNI,NA
