name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Ancistrothyrsus scopae,Passifloraceae,Ancistrothyrsus,scopae,spec.,Phytotaxa 438(3): 209. 2020 [7 Apr 2020] [epublished],Phytotaxa,2020,"Guyana (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);;",77210009-1,NA,"doi:10.11646/phytotaxa.438.3.5 The Latin noun in apposition 'scopae' is a nominative plural meaning brooms or brushes, referring to the branched trichomes looking like bottlebrushes typical of that species.",www.ipni.org/n/77210009-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.438.3.5
Decaloba rufa,Passifloraceae,Decaloba,rufa,spec.,Fam. Nat. Syn. Monogr. 2: 159. 1846 Syn. Pepon.,Fam. Nat. Syn. Monogr.,1846,Brazil (Southern America),324163-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1846&rft.spage=159&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49482&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/324163-2,tax_nov,IPNI,NA
Dilkea exilis,Passifloraceae,Dilkea,exilis,spec.,J. Bot. Res. Inst. Texas 4(1): 59 (-61; fig. 3). 2010 [29 Jul 2010] ,J. Bot. Res. Inst. Texas,2010,"Amapá (Terr.) (Brazil, Southern America)",60454625-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2010&rft.issue=1&rft.spage=59&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/63883&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"Etymology: The specific adjective exilis, meaning thin in Latin, refers to the leaf blades of that species that are membranaceous on dried herbarium specimens.",www.ipni.org/n/60454625-2,tax_nov,IPNI,NA
Dilkea glaziovii,Passifloraceae,Dilkea,glaziovii,spec.,Bull. Soc. Bot. France 56(Mém. 3d): 313. 1909 ,Bull. Soc. Bot. France,1909,Brazil (Southern America),80373-2,NA,NA,www.ipni.org/n/80373-2,tax_nov,IPNI,NA
Dilkea johannesii,Passifloraceae,Dilkea,johannesii,spec.,"Vellosia 1: 24, t. 10. 1888 ",Vellosia,1888,Brazil (Southern America),80374-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=24&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Feuillet designated plate 10 from edition 2 as the LT.,www.ipni.org/n/80374-2,tax_nov,IPNI,NA
Dilkea margaritae,Passifloraceae,Dilkea,margaritae,spec.,"Candollea 46: 61 (-63), fig. 1. 1991 ",Candollea,1991,"Mato Grosso (Brazil, Southern America)",275855-2,NA,NA,www.ipni.org/n/275855-2,tax_nov,IPNI,NA
Dilkea ulei,Passifloraceae,Dilkea,ulei,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 184. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),80377-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=184&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80377-2,tax_nov,IPNI,NA
Mitostemma brevifilis,Passifloraceae,Mitostemma,brevifilis,spec.,Izv. Glavn. Bot. Sada S.S.S.R. 26: 556. 1927 ,Izv. Glavn. Bot. Sada S.S.S.R.,1927,Brazil (Southern America),162796-2,NA,NA,www.ipni.org/n/162796-2,tax_nov,IPNI,NA
Passiflora actinia,Passifloraceae,Passiflora,actinia,spec.,Bot. Mag. 69: t. 4009. 1843 ,Bot. Mag.,1843,"Rio de Janeiro (Brazil, Southern America)",324146-2,NA,NA,www.ipni.org/n/324146-2,tax_nov,IPNI,NA
Passiflora aetheoantha,Passifloraceae,Passiflora,aetheoantha,spec.,"Contr. Jard. Bot. Rio de Janeiro 3: 60, pl. 8. 1902 ",Contr. Jard. Bot. Rio de Janeiro,1902,Brazil (Southern America),184784-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=60&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/184784-2,tax_nov,IPNI,NA
