name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Microtea bahiensis,20266,Microtea bahiensis,1002082-1,Phytolaccaceae,Microtea,bahiensis,spec.,"Pesquisas, Bot., Bras. 48: 11 (1998). ","Pesquisas, Bot., Bras.",1998,Brazil Northeast (Bahia).,NA,NA,www.ipni.org/n/1002082-1,tax_nov,IPNI,NA
Microtea longebracteata,25941,Microtea longebracteata,160689-2,Phytolaccaceae,Microtea,longebracteata,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 129. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/160689-2,tax_nov,IPNI,NA
Petiveria hexaglochin,596765,Petiveria hexaglochin,30067110-2,Phytolaccaceae,Petiveria,hexaglochin,spec.,Index Seminum [St.Petersburg (Petropolitanus)] 1: 35. 1835 [Jan 1835] ,Index Seminum [St.Petersburg (Petropolitanus)],1835,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1835&rft.spage=35&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/85629&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30067110-2,tax_nov,IPNI,NA
Phytolacca thyrsiflora,12583,Phytolacca thyrsiflora,30307474-2,Phytolaccaceae,Phytolacca,thyrsiflora,spec.,Fl. Bras. (Martius) 14(2): 343. 1872 [1 May 1872] ,Fl. Bras. (Martius),1872,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141807&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30307474-2,tax_nov,IPNI,NA
Seguieria elliptica,284369,Seguieria elliptica,231943-2,Phytolaccaceae,Seguieria,elliptica,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 89. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231943-2,tax_nov,IPNI,NA
Seguieria emarginata,284364,Seguieria emarginata,231944-2,Phytolaccaceae,Seguieria,emarginata,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 89. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231944-2,tax_nov,IPNI,NA
Seguieria glaziovii,284356,Seguieria glaziovii,231947-2,Phytolaccaceae,Seguieria,glaziovii,spec.,Annuaire Conserv. Jard. Bot. Genève 4: 214. 1900 ,Annuaire Conserv. Jard. Bot. Genève,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=214&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/231947-2,tax_nov,IPNI,NA
Seguieria inermis,284373,Seguieria inermis,231949-2,Phytolaccaceae,Seguieria,inermis,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 88. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231949-2,tax_nov,IPNI,NA
Seguieria mammifera,284358,Seguieria mammifera,231954-2,Phytolaccaceae,Seguieria,mammifera,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 99. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231954-2,tax_nov,IPNI,NA
Seguieria pachycarpa,284365,Seguieria pachycarpa,231955-2,Phytolaccaceae,Seguieria,pachycarpa,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 93. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231955-2,tax_nov,IPNI,NA
Seguieria rigida,284359,Seguieria rigida,231957-2,Phytolaccaceae,Seguieria,rigida,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 98. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231957-2,tax_nov,IPNI,NA
Seguieria votschii,284350,Seguieria votschii,231960-2,Phytolaccaceae,Seguieria,votschii,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 97. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231960-2,tax_nov,IPNI,NA
Seguieria wangerinii,284366,Seguieria wangerinii,231961-2,Phytolaccaceae,Seguieria,wangerinii,spec.,"Pflanzenr. (Engler) 4, Fam. 83: 92. 1909 ",Pflanzenr. (Engler),1909,Brazil (Southern America),NA,NA,www.ipni.org/n/231961-2,tax_nov,IPNI,NA
