name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Artanthe obtusa,600256,Artanthe obtusa,20480-2,Piperaceae,Artanthe,obtusa,spec.,Syst. Piperac. (F.A.W. Miquel) 416. 1844 ,Syst. Piperac. (F.A.W. Miquel),1844,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1844&rft.spage=416&rft_id=http://www.biodiversitylibrary.org/bibliography/151&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/20480-2,tax_nov,IPNI,NA
Ottonia aguadana,595928,Ottonia aguadana,281814-2,Piperaceae,Ottonia,aguadana,spec.,Proc. Amer. Philos. Soc. 75: 696. 1935 ,Proc. Amer. Philos. Soc.,1935,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=696&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281814-2,tax_nov,IPNI,NA
Ottonia angustifolia,12605,Ottonia albopunctata,177398-2,Piperaceae,Ottonia,albopunctata,spec.,Proc. Amer. Philos. Soc. 75: 696. 1935 ,Proc. Amer. Philos. Soc.,1935,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=696&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177398-2,tax_nov,IPNI,NA
Ottonia apodostachya,596009,Ottonia angustifolia,177399-2,Piperaceae,Ottonia,angustifolia,spec.,"Dusenia 3: 265, tab. 13. 1952 ",Dusenia,1952,"Minas Geraes &amp; Rio de Janeiro, Brazil (Southern America)",NA,NA,www.ipni.org/n/177399-2,tax_nov,IPNI,NA
Ottonia burchellii,281487,Ottonia apodostachya,177400-2,Piperaceae,Ottonia,apodostachya,spec.,Proc. Amer. Philos. Soc. 75: 697. 1935 ,Proc. Amer. Philos. Soc.,1935,"Santa Catarina (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=697&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177400-2,tax_nov,IPNI,NA
Ottonia claussenii,606925,Ottonia burchellii,177407-2,Piperaceae,Ottonia,burchellii,spec.,Proc. Amer. Philos. Soc. 75: 699. 1935 ,Proc. Amer. Philos. Soc.,1935,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=699&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177407-2,tax_nov,IPNI,NA
Ottonia colliculorum,606928,Ottonia claussenii,177409-2,Piperaceae,Ottonia,claussenii,spec.,Proc. Amer. Philos. Soc. 75: 699. 1935 ,Proc. Amer. Philos. Soc.,1935,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=699&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177409-2,tax_nov,IPNI,NA
Ottonia cowanii,283607,Ottonia colliculorum,177410-2,Piperaceae,Ottonia,colliculorum,spec.,Proc. Amer. Philos. Soc. 75: 699. 1935 ,Proc. Amer. Philos. Soc.,1935,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=699&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177410-2,tax_nov,IPNI,NA
Ottonia dusenii,606929,Ottonia cowanii,177415-2,Piperaceae,Ottonia,cowanii,spec.,Brittonia 8: 233. 1957 ,Brittonia,1957,"Amapá (Terr.) (Brazil, Southern America)",NA,NA,www.ipni.org/n/177415-2,tax_nov,IPNI,NA
Ottonia edwallii,598213,Ottonia dusenii,177418-2,Piperaceae,Ottonia,dusenii,spec.,Proc. Amer. Philos. Soc. 75: 702. 1935 ,Proc. Amer. Philos. Soc.,1935,"Paraná (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=702&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177418-2,tax_nov,IPNI,NA
