name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Lapaea rubriflora,Plantaginaceae,Lapaea,rubriflora,spec.,Syst. Biodivers. 18(8): 751. 2020 [24 Jun 2020] [epublished],Syst. Biodivers.,2020,"Bahia (Brazil Northeast, Brazil, Southern America)",77233749-1,NA,"doi:10.1080/14772000.2020.1771470 The epithet refers to the red-coloured corolla, a unique feature in the whole tribe Gratioleae.",www.ipni.org/n/77233749-1,tax_nov,IPNI,https://doi.org/10.1080/14772000.2020.1771470
Plantago bradei,Plantaginaceae,Plantago,bradei,spec.,Bot. Jahrb. Syst. 74(4): 568. 1949 [Nov 1949] ,Bot. Jahrb. Syst.,1949,"Minas Gerais (Brazil, Southern America)",201238-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1949&rft.issue=4&rft.spage=568&rft.volume=74&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/201238-2,tax_nov,IPNI,NA
Plantago brasiliensis,Plantaginaceae,Plantago,brasiliensis,spec.,Escritos Damaso Antonio Larranaga 1: 410. 1922 as Plantage; Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,Brazil (Southern America),201239-2,NA,NA,www.ipni.org/n/201239-2,tax_nov,IPNI,NA
Plantago cantagallensis,Plantaginaceae,Plantago,cantagallensis,spec.,"Itin. Princ. S. Coburgi 2: 56, pl. 11. 1888 ",Itin. Princ. S. Coburgi,1888,Brazil (Southern America),201260-2,NA,"[Gandhi; K. Rahn, Fl. Fanerog. Argentina 3: 13. 1995]",www.ipni.org/n/201260-2,tax_nov,IPNI,NA
Plantago corvensis,Plantaginaceae,Plantago,corvensis,spec.,J. Torrey Bot. Soc. 141(2): 181. 2014 [18 Jul 2014] ,J. Torrey Bot. Soc.,2014,"Santa Catarina (Brazil South, Brazil, Southern America)",77143901-1,NA,doi:10.3159/TORREY-D-14-00029.1,www.ipni.org/n/77143901-1,tax_nov,IPNI,https://doi.org/10.3159/TORREY-D-14-00029.1
Plantago dielsiana,Plantaginaceae,Plantago,dielsiana,spec.,Bot. Jahrb. Syst. 62(1): 107. 1928 [1 Jul 1928] ,Bot. Jahrb. Syst.,1928,"Uruguay, Brazil",201281-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1928&rft.issue=1&rft.spage=107&rft.volume=62&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; K. Rahn, Fl. Fanerog. Argentina 3: 14. 1995]",www.ipni.org/n/201281-2,tax_nov,IPNI,NA
Plantago hatschbachiana,Plantaginaceae,Plantago,hatschbachiana,spec.,Phytotaxa 278(2): 142. 2016 [7 Oct 2016] [epublished],Phytotaxa,2016,"Paraná (Brazil South, Brazil, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);",77158775-1,NA,doi:10.11646/phytotaxa.278.2.4 the name pays homage to the Brazilian botanist Gerdt Guenther Hatschbach,www.ipni.org/n/77158775-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.278.2.4
Plantago humboldtiana,Plantaginaceae,Plantago,humboldtiana,spec.,PeerJ 4(e2050): 4. 2016 [17 May 2016] [epublished],PeerJ,2016,"Santa Catarina (Brazil South, Brazil, Southern America)",77154668-1,NA,doi:10.7717/peerj.2050 Named for Friedrich Wilhelm Heinrich Alexander von Humboldt.,www.ipni.org/n/77154668-1,tax_nov,IPNI,https://doi.org/10.7717/peerj.2050
Plantago rahniana,Plantaginaceae,Plantago,rahniana,spec.,Syst. Bot. 39(2): 637. 2014 [23 Apr 2014] [epublished],Syst. Bot.,2014,"Santa Catarina (Brazil South, Brazil, Southern America)",77143087-1,NA,doi:10.1600/036364414X680960,www.ipni.org/n/77143087-1,tax_nov,IPNI,https://doi.org/10.1600/036364414X680960
Plantago trinitatis,Plantaginaceae,Plantago,trinitatis,spec.,Dansk Bot. Ark. 30: 145 (-147; fig. 80-81). 1974 ,Dansk Bot. Ark.,1974,"Ilha da Trinidade, Brazil (Southern America)",201597-2,NA,NA,www.ipni.org/n/201597-2,tax_nov,IPNI,NA
Plantago turficola,Plantaginaceae,Plantago,turficola,spec.,Bot. Tidsskr. 61: 80. 1965 ,Bot. Tidsskr.,1965,"Rio Grande do Sul and Sta. Catarina, Brazil (Southern America)",201605-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1965&rft.spage=80&rft.volume=61&rft_id=http://www.biodiversitylibrary.org/bibliography/6047&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/201605-2,tax_nov,IPNI,NA
Plantago veadeirensis,Plantaginaceae,Plantago,veadeirensis,spec.,Webbia 74(1): 29. 2019 [13 Mar 2019] [epublished],Webbia,2019,"Goiás (Brazil West-Central, Brazil, Southern America)",77200963-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2019&rft.issue=1&rft.spage=29&rft.volume=74&rft_id=http://www.biodiversitylibrary.org/bibliography/120521&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.1080/00837792.2019.1574114,www.ipni.org/n/77200963-1,tax_nov,IPNI,https://doi.org/10.1080/00837792.2019.1574114
