name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Streptochaeta angustifolia,13645,Acroceras chaseae,936067-1,Poaceae,Acroceras,chaseae,spec.,Darwiniana 28(1-4): 198. 1988 [1987 publ. 1988] ,Darwiniana,1988,Brazil.,NA,NA,www.ipni.org/n/936067-1,tax_nov,IPNI,NA
Streptochaeta spicata,13646,Aegopogon bryophilus,322516-2,Poaceae,Aegopogon,bryophilus,spec.,Fl. Bras. (Martius) 2(3): 239. 1880 [1 Dec 1880] ,Fl. Bras. (Martius),1880,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135366&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 12 Mar 2002],www.ipni.org/n/322516-2,tax_nov,IPNI,NA
Aristida amazonensis,102921,Agrostis hygrometrica,30370172-2,Poaceae,Agrostis,hygrometrica,spec.,Fl. Bras. Enum. Pl. 2(1): 404 (-405). 1829 [Mar-Jun 1829] ; alt. title: Agrostol. Brasil. 404-405. Mar-Jun 1829.,Fl. Bras. Enum. Pl.,1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=404&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/6159&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30370172-2,tax_nov,IPNI,NA
Aristida brasiliensis,12991,Agrostis ramboi,7754-2,Poaceae,Agrostis,ramboi,spec.,"Bol. Soc. Argent. Bot. 1(2): 119, fig. 1946 [Apr 1946] ",Bol. Soc. Argent. Bot.,1946,Brazil (Southern America),NA,NA,www.ipni.org/n/7754-2,tax_nov,IPNI,NA
Aristida circinalis,12993,Aira brasiliensis,7938-2,Poaceae,Aira,brasiliensis,spec.,Agrostogr. Bras. [Raddi] 36. 1823 ,Agrostogr. Bras. [Raddi],1823,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.spage=36&rft_id=http://www.biodiversitylibrary.org/bibliography/4436&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi; Boissiera 54: 16],www.ipni.org/n/7938-2,tax_nov,IPNI,NA
Aristida constricta,102930,Altoparadisium chapadense,321364-2,Poaceae,Altoparadisium,chapadense,spec.,Ann. Missouri Bot. Gard. 88(2): 363 (-366; figs. 1-6). 2001 [29 Jun 2001] ,Ann. Missouri Bot. Gard.,2001,"Chapada dos Veadeiros, mun. of Alto Paraíso, ca. 26 km a oeste of Alto Paraíso, ca. 14°7'S 47°30'W, campo rupestre, estrada para Colinas do Sul Goías, Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/26843903&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 16 Jul 2001],www.ipni.org/n/321364-2,tax_nov,IPNI,NA
Aristida ekmaniana,12994,Alvimia auriculata,316705-2,Poaceae,Alvimia,auriculata,spec.,Amer. J. Bot. 75: 834. 1988 ,Amer. J. Bot.,1988,"Mun. Ilheus: 16 km SW of Olivenca on road to Vila Brasil, 40 m, Bahia (Brazil, Southern America)",NA,[Gandhi 19 Nov 1998],www.ipni.org/n/316705-2,tax_nov,IPNI,NA
Aristida glaziovii,20337,Alvimia gracilis,316706-2,Poaceae,Alvimia,gracilis,spec.,Amer. J. Bot. 75: 835. 1988 ,Amer. J. Bot.,1988,"Mun. Ilheus: SW of Olivenca on road to Vila Brasil, 75 m, Bahia (Brazil, Southern America)",NA,[Gandhi 19 Nov 1998],www.ipni.org/n/316706-2,tax_nov,IPNI,NA
Aristida helleriana,605809,Alvimia lancifolia,316707-2,Poaceae,Alvimia,lancifolia,spec.,Amer. J. Bot. 75: 837. 1988 ,Amer. J. Bot.,1988,"Mun. Ilheus, Bahia (Brazil, Southern America)",NA,[Gandhi 19 Nov 1998],www.ipni.org/n/316707-2,tax_nov,IPNI,NA
Aristida kleinii,78320,Andropogon acuminatus,12731-2,Poaceae,Andropogon,acuminatus,spec.,"Los Angeles County Mus. Contr. Sci. no. 22: [1], fig. 1. 1958 ",Los Angeles County Mus. Contr. Sci.,1958,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/12731-2,tax_nov,IPNI,NA
Aristida lanigera,32190,Andropogon barretoi,321952-2,Poaceae,Andropogon,barretoi,spec.,Darwiniana 39(1-2): 171 (-174; fig. 1). 2001 [20 Jul 2001] ,Darwiniana,2001,"RS 509, 60 km E de Santa María, Rio Grande do Sul (Brazil, Southern America)",NA,[Gandhi 15 Dec 2001],www.ipni.org/n/321952-2,tax_nov,IPNI,NA
Aristida macrophylla,13000,Andropogon brasiliensis,328295-2,Poaceae,Andropogon,brasiliensis,spec.,Novon 13(3): 368 (-370; fig. 1). 2003 [10 Sep 2003] ,Novon,2003,"Mun. Congonhas do Norte, Serra da Carapina, 18°52'S, 43°14'W, Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/643538&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/328295-2,tax_nov,IPNI,NA
Aristida megapotamica,13001,Andropogon campestris,387632-1,Poaceae,Andropogon,campestris,spec.,"Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math. 2: 277. 1832 [Oct 1832] ","Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math.",1832,Brazil (Southern America),NA,Date of Publication: see TL-2 #15.169.,www.ipni.org/n/387632-1,tax_nov,IPNI,NA
Aristida pendula,20339,Andropogon carinatus,1023541-2,Poaceae,Andropogon,carinatus,spec.,Fl. Bras. Enum. Pl. 2(1): 330. 1829 [Mar-Jun 1829] ; alt. title:  Agrost. Bras.,Fl. Bras. Enum. Pl.,1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=330&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/6159&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1023541-2,tax_nov,IPNI,NA
Aristida riograndensis,102949,Andropogon crispifolius,301134-2,Poaceae,Andropogon,crispifolius,spec.,Nordic J. Bot. 15: 59   fig. 1995 ,Nordic J. Bot.,1995,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/301134-2,tax_nov,IPNI,NA
Aristida riparia,13004,Andropogon durifolius,12816-2,Poaceae,Andropogon,durifolius,spec.,Kew Bull. 39(1): 181. 1984 [15 May 1984] ,Kew Bull.,1984,Brazil (Southern America),NA,NA,www.ipni.org/n/12816-2,tax_nov,IPNI,NA
Aristida sanctae-luciae,13005,Andropogon goyazensis,12857-2,Poaceae,Andropogon,goyazensis,spec.,Oesterr. Bot. Z. 51: 152. 1901 ,Oesterr. Bot. Z.,1901,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.spage=152&rft.volume=51&rft_id=http://www.biodiversitylibrary.org/bibliography/40988&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/12857-2,tax_nov,IPNI,NA
