name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Apinagia accorsii,621491,Apinagia accorsii,16358-2,Podostemaceae,Apinagia,accorsii,spec.,Anais Esc. Super. Agric. Luiz de Queiroz 1: 60. 1944 ,Anais Esc. Super. Agric. Luiz de Queiroz,1944,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/16358-2,tax_nov,IPNI,NA
Apinagia aripecuruensis,127995,Apinagia aripecuruensis,16359-2,Podostemaceae,Apinagia,aripecuruensis,spec.,"Acta Bot. Neerl. 3: 257, 260, tab. 5, figs. 21-24. 1954 ",Acta Bot. Neerl.,1954,Brazil (Southern America),NA,NA,www.ipni.org/n/16359-2,tax_nov,IPNI,NA
Apinagia brejoagrestinensis,612947,Apinagia brejoagrestinensis,77148275-1,Podostemaceae,Apinagia,brejoagrestinensis,spec.,Phytotaxa 220(1): 62. 2015 [16 jul 2015] [epublished],Phytotaxa,2015,"Pernambuco (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.220.1.5,www.ipni.org/n/77148275-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.220.1.5
Apinagia capillarifolia,621838,Apinagia capillarifolia,16367-2,Podostemaceae,Apinagia,capillarifolia,spec.,"Bot. Jahrb. Syst. 61(2-3, Beibl. 138): 3. 1927 [15 Jun 1927] ",Bot. Jahrb. Syst.,1927,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/16367-2,tax_nov,IPNI,NA
Apinagia fimbrifolia,79530,Apinagia fimbrifolia,16375-2,Podostemaceae,Apinagia,fimbrifolia,spec.,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht no. 107: 62 & 130. tab. 8, fig. 13-17. 1951 ",Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1951,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/16375-2,tax_nov,IPNI,NA
Apinagia microcarpa,607324,Apinagia microcarpa,16389-2,Podostemaceae,Apinagia,microcarpa,spec.,"Bot. Jahrb. Syst. 61(2-3, Beibl. 138): 3. 1927 [15 Jun 1927] ",Bot. Jahrb. Syst.,1927,Brazil (Southern America),NA,NA,www.ipni.org/n/16389-2,tax_nov,IPNI,NA
Apinagia minor,102444,Apinagia minor,16390-2,Podostemaceae,Apinagia,minor,spec.,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht no. 107: 52 & 129, tab. 6, fig. 1-10. 1951 ",Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1951,"Northern Brazil, Brazil (Southern America)",NA,NA,www.ipni.org/n/16390-2,tax_nov,IPNI,NA
Apinagia parvifolia,79531,Apinagia parvifolia,16396-2,Podostemaceae,Apinagia,parvifolia,spec.,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht no. 107: 64 & 130. tab. 7, fig. 17-24. 1951 ",Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1951,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/16396-2,tax_nov,IPNI,NA
Apinagia pilgeri,32379,Apinagia pilgeri,16401-2,Podostemaceae,Apinagia,pilgeri,spec.,Beitr. Kenntn. Podostemon. 41. 1904 ,Beitr. Kenntn. Podostemon.,1904,"Mato Grosso (Brazil, Southern America)",NA,NA,www.ipni.org/n/16401-2,tax_nov,IPNI,NA
Apinagia platystigma,87104,Apinagia platystigma,16402-2,Podostemaceae,Apinagia,platystigma,spec.,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht no. 107: 60 & 129. tab. 8, fig. 3-6. 1951 ",Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1951,"Northern Brazil, Brazil (Southern America)",NA,NA,www.ipni.org/n/16402-2,tax_nov,IPNI,NA
Apinagia rangiferina,87105,Apinagia rangiferina,16403-2,Podostemaceae,Apinagia,rangiferina,spec.,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht no. 107: 61 & 130. tab. 5, fig. 1-6. 1951 ",Meded. Bot. Mus. Herb. Rijks Univ. Utrecht,1951,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/16403-2,tax_nov,IPNI,NA
Apinagia uleana,621839,Apinagia uleana,16411-2,Podostemaceae,Apinagia,uleana,spec.,"Bot. Jahrb. Syst. 61(2-3, Beibl. 138): 3. 1927 [15 Jun 1927] ",Bot. Jahrb. Syst.,1927,Brazil (Southern America),NA,NA,www.ipni.org/n/16411-2,tax_nov,IPNI,NA
Apinagia uruhuana,582114,Apinagia uruhuana,16412-2,Podostemaceae,Apinagia,uruhuana,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911 ,Bull. Soc. Bot. France,1911,Brazil (Southern America),NA,NA,www.ipni.org/n/16412-2,tax_nov,IPNI,NA
Castelnavia cuneifolia,127996,Castelnavia cuneifolia,49360-2,Podostemaceae,Castelnavia,cuneifolia,spec.,"Acta Bot. Neerl. 3: 249 (259, t. 4, figs. 29-37). 1954 ",Acta Bot. Neerl.,1954,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/49360-2,tax_nov,IPNI,NA
Castelnavia lindmaniana,32383,Castelnavia lindmaniana,49361-2,Podostemaceae,Castelnavia,lindmaniana,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 9: 140, fig. 35, 36, 37. 1899 Warm. Fam. Podostem. 5: 36, fig. 35, 36, 37.  1899","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1899,Brazil (Southern America),NA,NA,www.ipni.org/n/49361-2,tax_nov,IPNI,NA
Castelnavia noveloi,102433,Castelnavia noveloi,77094459-1,Podostemaceae,Castelnavia,noveloi,spec.,Novon 18(1): 94 (-98; figs. 1-2). 2008 [27 Feb 2008] ,Novon,2008,"Tocantins (Brazil North, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16438798&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77094459-1,tax_nov,IPNI,NA
