name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Coccoloba bullata,103096,Coccoloba bullata,310064-2,Polygonaceae,Coccoloba,bullata,spec.,"Brittonia 44: 365, fig. 4. 1992 ",Brittonia,1992,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/310064-2,tax_nov,IPNI,NA
Coccoloba duckei,87253,Coccoloba duckei,62060-2,Polygonaceae,Coccoloba,duckei,spec.,J. Arnold Arbor. 42: 89. 1961 ,J. Arnold Arbor.,1961,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1961&rft.spage=89&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62060-2,tax_nov,IPNI,NA
Coccoloba gigantifolia,606815,Coccoloba gigantifolia,77213479-1,Polygonaceae,Coccoloba,gigantifolia,spec.,Acta Amazonica 49(4): 326. 2019 [4 Nov 2019] [epublished],Acta Amazonica,2019,"Rondônia (Brazil North, Brazil, Southern America)",NA,doi:10.1590/1809-4392201804771 The specific epithet is given in reference to its leaves presenting unusual proportions.,www.ipni.org/n/77213479-1,tax_nov,IPNI,https://doi.org/10.1590/1809-4392201804771
Coccoloba glaziovii,13701,Coccoloba glaziovii,62085-2,Polygonaceae,Coccoloba,glaziovii,spec.,Bot. Jahrb. Syst. 13(2): 163. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200724&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62085-2,tax_nov,IPNI,NA
Coccoloba grandiflora,87258,Coccoloba grandiflora,62088-2,Polygonaceae,Coccoloba,grandiflora,spec.,Bot. Jahrb. Syst. 13(2): 175. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200736&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62088-2,tax_nov,IPNI,NA
Coccoloba inaequilatera,79555,Coccoloba inaequilatera,62108-2,Polygonaceae,Coccoloba,inaequilatera,spec.,"Leandra no. 4-5: 10[-11], fig. 9. 1974 ",Leandra,1974,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/62108-2,tax_nov,IPNI,NA
Coccoloba laxiflora,582217,Coccoloba laxiflora,62124-2,Polygonaceae,Coccoloba,laxiflora,spec.,Bot. Jahrb. Syst. 13(2): 191. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200752&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62124-2,tax_nov,IPNI,NA
Coccoloba lepidota,24333,Coccoloba lepidota,62128-2,Polygonaceae,Coccoloba,lepidota,spec.,Brittonia 2: 150. 1936 ,Brittonia,1936,"Acre (Brazil, Southern America)",NA,NA,www.ipni.org/n/62128-2,tax_nov,IPNI,NA
Coccoloba longipes,87264,Coccoloba longipes,62140-2,Polygonaceae,Coccoloba,longipes,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 446. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/62140-2,tax_nov,IPNI,NA
Coccoloba mosenii,13706,Coccoloba mosenii,62166-2,Polygonaceae,Coccoloba,mosenii,spec.,"Bot. Jahrb. Syst. 13(2): 173, pl. 5. 1890 [28 Oct 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200734&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62166-2,tax_nov,IPNI,NA
Coccoloba oblonga,13707,Coccoloba oblonga,62189-2,Polygonaceae,Coccoloba,oblonga,spec.,Bot. Jahrb. Syst. 13(2): 136. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200697&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62189-2,tax_nov,IPNI,NA
Coccoloba ochreolata,87270,Coccoloba ochreolata,321884-2,Polygonaceae,Coccoloba,ochreolata,spec.,"Ann. Sci. Nat., Bot. sér. 3, 13: 259. 1849 ","Ann. Sci. Nat., Bot.",1849,"Bahia (Brazil, Southern America)",NA,[Gandhi 27 Nov 2001],www.ipni.org/n/321884-2,tax_nov,IPNI,NA
Coccoloba pichuna,87275,Coccoloba pichuna,62223-2,Polygonaceae,Coccoloba,pichuna,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 342. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/62223-2,tax_nov,IPNI,NA
Coccoloba riedelii,582220,Coccoloba riedelii,62257-2,Polygonaceae,Coccoloba,riedelii,spec.,Bot. Jahrb. Syst. 13(2): 137. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62257-2,tax_nov,IPNI,NA
Coccoloba sarmentosa,582131,Coccoloba sarmentosa,62274-2,Polygonaceae,Coccoloba,sarmentosa,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 446. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/62274-2,tax_nov,IPNI,NA
Coccoloba schwackeana,20602,Coccoloba schwackeana,62280-2,Polygonaceae,Coccoloba,schwackeana,spec.,"Bot. Jahrb. Syst. 13(2): 200, pl. 5. 1890 [28 Oct 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62280-2,tax_nov,IPNI,NA
Coccoloba sparsifolia,582201,Coccoloba sparsifolia,62285-2,Polygonaceae,Coccoloba,sparsifolia,spec.,Bot. Jahrb. Syst. 13(2): 195. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200756&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62285-2,tax_nov,IPNI,NA
Coccoloba tenuiflora,13716,Coccoloba tenuiflora,62305-2,Polygonaceae,Coccoloba,tenuiflora,spec.,Bot. Jahrb. Syst. 13(2): 190. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200751&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/62305-2,tax_nov,IPNI,NA
Persicaria sylvestris,614659,Persicaria sylvestris,77179016-1,Polygonaceae,Persicaria,sylvestris,spec.,Nordic J. Bot. 36(1-2)-e01631: 2. 2017 [23 Oct 2017] [epublished],Nordic J. Bot.,2017,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",NA,doi:10.1111/njb.01631,www.ipni.org/n/77179016-1,tax_nov,IPNI,https://doi.org/10.1111/njb.01631
Polygonum argentum,32472,Polygonum argentum,995474-1,Polygonaceae,Polygonum,argentum,spec.,Daphne 5(1): 5 (1995). ,Daphne,1995,Brazil Southeast (Minas Gerais).,NA,NA,www.ipni.org/n/995474-1,tax_nov,IPNI,NA
Polygonum camporum,600385,Polygonum camporum,30258248-2,Polygonaceae,Polygonum,camporum,spec.,Fl. Bras. (Martius) 5(1): 21 (-22). 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138832&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30258248-2,tax_nov,IPNI,NA
Polygonum diospyrifolium,13721,Polygonum diospyrifolium,331037-2,Polygonaceae,Polygonum,diospyrifolium,spec.,Linnaea 3: 47 (-48). 1828 ,Linnaea,1828,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=47&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/331037-2,tax_nov,IPNI,NA
Polygonum meisnerianum,13726,Polygonum meisnerianum,206292-2,Polygonaceae,Polygonum,meisnerianum,spec.,Linnaea 3: 40 (-42). 1828 ,Linnaea,1828,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=40&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206292-2,tax_nov,IPNI,NA
Polygonum rubricaule,13729,Polygonum rubricaule,206387-2,Polygonaceae,Polygonum,rubricaule,spec.,Linnaea 8: 130. 1833 ,Linnaea,1833,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=130&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206387-2,tax_nov,IPNI,NA
Polygonum stelligerum,13730,Polygonum stelligerum,206428-2,Polygonaceae,Polygonum,stelligerum,spec.,Linnaea 8: 131. 1833 ,Linnaea,1833,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=131&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206428-2,tax_nov,IPNI,NA
Polygonum stypticum,598048,Polygonum stypticum,331039-2,Polygonaceae,Polygonum,stypticum,spec.,Linnaea 3: 53 (-54). 1828 ,Linnaea,1828,"Rio Negro, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=53&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/331039-2,tax_nov,IPNI,NA
Rumex sellowianus,103913,Rumex sellowianus,284474-2,Polygonaceae,Rumex,sellowianus,spec.,"Pl. Syst. Evol. 172: 171 (-173), figs. 9, 34. 1990 ",Pl. Syst. Evol.,1990,"Paraná (Brazil, Southern America)",NA,NA,www.ipni.org/n/284474-2,tax_nov,IPNI,NA
Ruprechtia amentacea,595064,Ruprechtia amentacea,224580-2,Polygonaceae,Ruprechtia,amentacea,spec.,Fl. Bras. (Martius) 5(1): 56. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"vicinibus Barra, Proc. Rio Negro, Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138849&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224580-2,tax_nov,IPNI,NA
Ruprechtia brachysepala,20604,Ruprechtia brachysepala,224584-2,Polygonaceae,Ruprechtia,brachysepala,spec.,Fl. Bras. (Martius) 5(1): 57. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"vicinibus Santarém, Pará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138850&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224584-2,tax_nov,IPNI,NA
Ruprechtia carpinoides,598524,Ruprechtia carpinoides,224586-2,Polygonaceae,Ruprechtia,carpinoides,spec.,Fl. Bras. (Martius) 5(1): 58. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138850&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224586-2,tax_nov,IPNI,NA
Ruprechtia exploratricis,103981,Ruprechtia exploratricis,224598-2,Polygonaceae,Ruprechtia,exploratricis,spec.,Bull. Misc. Inform. Kew 1928(4): 143. [7 May 1928] ,Bull. Misc. Inform. Kew,1928,"Corumbá, alt. 150 m, Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1928&rft.issue=4&rft.spage=143&rft.volume=1928&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224598-2,tax_nov,IPNI,NA
Ruprechtia fagifolia,597479,Ruprechtia fagifolia,224599-2,Polygonaceae,Ruprechtia,fagifolia,spec.,Fl. Bras. (Martius) 5(1): 58. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"Igreja Velha, Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138850&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224599-2,tax_nov,IPNI,NA
Ruprechtia glauca,20605,Ruprechtia glauca,224601-2,Polygonaceae,Ruprechtia,glauca,spec.,Fl. Bras. (Martius) 5(1): 59. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138851&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/224601-2,tax_nov,IPNI,NA
