name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Eichhornia heterosperma,Pontederiaceae,Eichhornia,heterosperma,spec.,Lloydia 2: 170. 1939 as Eichornia,Lloydia,1939,"British Guiana, Brazil (Ceara), Costa Rica &amp; Cuba",88914-2,NA,NA,www.ipni.org/n/88914-2,tax_nov,IPNI,NA
Eichhornia tricolor,Pontederiaceae,Eichhornia,tricolor,spec.,"Fl. Bras. (Martius) 3(1): 92, t. 11. 1847 [1 Jun 1847] Pontederia tricolor Martius, nom. nud.",Fl. Bras. (Martius),1847,Brazil (Southern America),303104-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135510&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/303104-2,tax_nov,IPNI,NA
Heteranthera catharinensis,Pontederiaceae,Heteranthera,catharinensis,spec.,PhytoKeys 82: 37. 2017 [29 Jun 2017] [epublished],PhytoKeys,2017,"Santa Catarina (Brazil South, Brazil, Southern America)",77163813-1,NA,doi:10.3897/phytokeys.82.13752,www.ipni.org/n/77163813-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.82.13752
Heteranthera longirachilla,Pontederiaceae,Heteranthera,longirachilla,spec.,Syst. Bot. 43(2): 503. 2018 [21 Jun 2018] [epublished],Syst. Bot.,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",77194733-1,NA,doi:10.1600/036364418X697238,www.ipni.org/n/77194733-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697238
Heteranthera pumila,Pontederiaceae,Heteranthera,pumila,spec.,PhytoKeys 82: 43. 2017 [29 Jun 2017] [epublished],PhytoKeys,2017,"São Paulo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",77163814-1,NA,doi:10.3897/phytokeys.82.13752,www.ipni.org/n/77163814-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.82.13752
Hydrothrix barrosoana,Pontederiaceae,Hydrothrix,barrosoana,spec.,"Revista Brasil. Biol. 7: 124, fig. 1947 ",Revista Brasil. Biol.,1947,"Pernambuco (Brazil, Southern America)",125344-2,NA,NA,www.ipni.org/n/125344-2,tax_nov,IPNI,NA
Pontederia crassipes,Pontederiaceae,Pontederia,crassipes,spec.,"Nov. Gen. Sp. Pl. (Martius) 1(1): 9, t. 4. 1823 [late 1823 or Jan-Feb 1824] ",Nov. Gen. Sp. Pl. (Martius),1823,"Bahia (Brazil, Southern America)",310928-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=9&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/310928-2,tax_nov,IPNI,NA
Pontederia gigantea,Pontederiaceae,Pontederia,gigantea,spec.,Phytotaxa 432(3): 253. 2020 [12 Feb 2020] [epublished],Phytotaxa,2020,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",77205915-1,NA,"doi:10.11646/phytotaxa.432.3.2 The specific epithet was chosen because of the remarkable height attained by specimens, that reach more than 2 meters tall.",www.ipni.org/n/77205915-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.432.3.2
Pontederia heterantherimorpha,Pontederiaceae,Pontederia,heterantherimorpha,spec.,"Bot. Jahrb. Syst. 61(2-3, Beibl. 139): 41. 1927 [15 Jun 1927] ",Bot. Jahrb. Syst.,1927,Brazil (Southern America),208149-2,NA,NA,www.ipni.org/n/208149-2,tax_nov,IPNI,NA
Pontederia reflexa,Pontederiaceae,Pontederia,reflexa,spec.,Phytotaxa 432(3): 257. 2020 [12 Feb 2020] [epublished],Phytotaxa,2020,"Bolivia (Western South America, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);Maranhão (Brazil Northeast, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);;",77205924-1,NA,doi:10.11646/phytotaxa.432.3.3 The specific epithet refers to its reflexed spathe.,www.ipni.org/n/77205924-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.432.3.3
Reussia grazielae,Pontederiaceae,Reussia,grazielae,spec.,"Revista Brasil. Biol. 7: 177, fig. 3. 1947 ",Revista Brasil. Biol.,1947,Brazil (Southern America),218796-2,NA,NA,www.ipni.org/n/218796-2,tax_nov,IPNI,NA
Reussia triflora,Pontederiaceae,Reussia,triflora,spec.,Fl. Bras. (Martius) 3(1): 96. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,Brazil (Southern America),284198-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135512&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/284198-2,tax_nov,IPNI,NA
