name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Adenostephanus bahiensis,Proteaceae,Adenostephanus,bahiensis,spec.,"Fl. Bras. (Martius) 5(1): 94, t. 36. 1855 [1 Jan 1855] ",Fl. Bras. (Martius),1855,Brazil (Southern America),4440-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138900&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4440-2,tax_nov,IPNI,NA
Adenostephanus glaziovii,Proteaceae,Adenostephanus,glaziovii,spec.,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 10. 1890 [24 Jun 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),4442-2,NA,NA,www.ipni.org/n/4442-2,tax_nov,IPNI,NA
Adenostephanus laxiflorus,Proteaceae,Adenostephanus,laxiflorus,spec.,Fl. Bras. (Martius) 5(1): 94. 1855 [1 Jan 1855] ,Fl. Bras. (Martius),1855,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",702985-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138900&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/702985-1,tax_nov,IPNI,NA
Adenostephanus rufus,Proteaceae,Adenostephanus,rufus,spec.,Flora 72: 78. 1889 ,Flora,1889,Brazil (Southern America),4449-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=78&rft.volume=72&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/4449-2,tax_nov,IPNI,NA
Andriapetalum rubescens,Proteaceae,Andriapetalum,rubescens,spec.,"Pl. Bras. Icon. Descr. 1: 114, t. 91. 1828 [May-Dec 1828] ",Pl. Bras. Icon. Descr.,1828,"Goiás (Brazil West-Central, Brazil, Southern America)",703018-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=114&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/451&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/703018-1,tax_nov,IPNI,NA
Euplassa goyazensis,Proteaceae,Euplassa,goyazensis,spec.,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 28. 1901 [12 Mar 1901] ",Bot. Jahrb. Syst.,1901,"Goiás (Brazil West-Central, Brazil, Southern America)",703585-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211827&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/703585-1,tax_nov,IPNI,NA
Euplassa itatiaiae,Proteaceae,Euplassa,itatiaiae,spec.,Bot. Jahrb. Syst. 76(2): 192. 1954 [Jan 1954] ,Bot. Jahrb. Syst.,1954,"Minas Gerais (Brazil, Southern America)",102199-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1954&rft.issue=2&rft.spage=192&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/102199-2,tax_nov,IPNI,NA
Euplassa madeirae,Proteaceae,Euplassa,madeirae,spec.,Bot. Jahrb. Syst. 76(2): 189. 1954 [Jan 1954] ,Bot. Jahrb. Syst.,1954,"Amazonas (Brazil, Southern America)",102203-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1954&rft.issue=2&rft.spage=189&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/102203-2,tax_nov,IPNI,NA
Euplassa nebularis,Proteaceae,Euplassa,nebularis,spec.,Bot. Jahrb. Syst. 76(2): 193. 1954 [Jan 1954] ,Bot. Jahrb. Syst.,1954,"Rio Grande do Sul (Brazil, Southern America)",102204-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1954&rft.issue=2&rft.spage=193&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/102204-2,tax_nov,IPNI,NA
Euplassa semicostata,Proteaceae,Euplassa,semicostata,spec.,Kew Bull. 53(4): 969. 1998 [23 Dec 1998] ,Kew Bull.,1998,Brazil Southeast (Minas Gerais).,1004879-1,NA,NA,www.ipni.org/n/1004879-1,tax_nov,IPNI,NA
