name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Froesia crassiflora,79658,Froesia crassiflora,106121-2,Quiinaceae,Froesia,crassiflora,spec.,Bol. Tecn. Inst. Agron. N. 20: 41 (-43; tt. 5-6). 1950 ,Bol. Tecn. Inst. Agron. N.,1950,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/106121-2,tax_nov,IPNI,NA
Froesia tricarpa,79659,Froesia tricarpa,106122-2,Quiinaceae,Froesia,tricarpa,spec.,"Bol. Tecn. Inst. Agron. N. 15: 22, tab. 1948 ",Bol. Tecn. Inst. Agron. N.,1948,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/106122-2,tax_nov,IPNI,NA
Lacunaria acreana,79651,Lacunaria acreana,134570-2,Quiinaceae,Lacunaria,acreana,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 141. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/134570-2,tax_nov,IPNI,NA
Lacunaria coriacea,87353,Lacunaria coriacea,134572-2,Quiinaceae,Lacunaria,coriacea,spec.,Trop. Woods 58: 31. 1939 ,Trop. Woods,1939,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/134572-2,tax_nov,IPNI,NA
Lacunaria grandiflora,87354,Lacunaria grandiflora,134575-2,Quiinaceae,Lacunaria,grandiflora,spec.,"Arch. Jard. Bot. Rio de Janeiro 4: 140, pl. 12. 1925 ",Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/134575-2,tax_nov,IPNI,NA
Lacunaria grandifolia,79652,Lacunaria grandifolia,134576-2,Quiinaceae,Lacunaria,grandifolia,spec.,Arq. Inst. Biol. Veg. 2(2): 168. 1935 [Dec 1935] ,Arq. Inst. Biol. Veg.,1935,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=2&rft.spage=168&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/134576-2,tax_nov,IPNI,NA
Lacunaria minor,79653,Lacunaria minor,134579-2,Quiinaceae,Lacunaria,minor,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 141. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/134579-2,tax_nov,IPNI,NA
Lacunaria oppositifolia,79654,Lacunaria oppositifolia,134580-2,Quiinaceae,Lacunaria,oppositifolia,spec.,Bol. Tecn. Inst. Agron. N. no. 28: [45]. 1954 ,Bol. Tecn. Inst. Agron. N.,1954,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/134580-2,tax_nov,IPNI,NA
Lacunaria pulchrinervis,79656,Lacunaria pulchrinervis,134583-2,Quiinaceae,Lacunaria,pulchrinervis,spec.,Arq. Inst. Biol. Veg. 2(2): 169. 1935 [Dec 1935] ,Arq. Inst. Biol. Veg.,1935,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=2&rft.spage=169&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/134583-2,tax_nov,IPNI,NA
Lacunaria umbonata,87356,Lacunaria umbonata,134587-2,Quiinaceae,Lacunaria,umbonata,spec.,"Bol. Tecn. Inst. Agron. N. no. 28: 46, tab. 3. 1954 ",Bol. Tecn. Inst. Agron. N.,1954,Brazil (Southern America),NA,NA,www.ipni.org/n/134587-2,tax_nov,IPNI,NA
Quiina acutangula,103685,Quiina acutangula,216641-2,Quiinaceae,Quiina,acutangula,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 143. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/216641-2,tax_nov,IPNI,NA
Quiina amazonica,87357,Quiina amazonica,216643-2,Quiinaceae,Quiina,amazonica,spec.,Trop. Woods 58: 27. 1939 ,Trop. Woods,1939,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/216643-2,tax_nov,IPNI,NA
Quiina berryi,103335,Quiina berryi,330702-2,Quiinaceae,Quiina,berryi,spec.,Candollea 58(2): 464 (-466; fig. 2). 2003 [19 Dec 2003] ,Candollea,2003,"Km 159, BR 174, Manaus-Caracarai Road, Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/330702-2,tax_nov,IPNI,NA
Quiina blackii,24355,Quiina blackii,216644-2,Quiinaceae,Quiina,blackii,spec.,"Bol. Tecn. Inst. Agron. N. no. 20: 44, tab. 8. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"Colombia, Bolivia, and Brazil (Amazonas)",NA,NA,www.ipni.org/n/216644-2,tax_nov,IPNI,NA
Quiina cidiana,103336,Quiina cidiana,330703-2,Quiinaceae,Quiina,cidiana,spec.,Candollea 58(2): 466 (-467; fig. 3). 2003 [19 Dec 2003] ,Candollea,2003,"Alto rio Solimos, Mun. de Sao Paulo de Olivença, Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/330703-2,tax_nov,IPNI,NA
Quiina duckei,79660,Quiina duckei,216649-2,Quiinaceae,Quiina,duckei,spec.,"Bol. Tecn. Inst. Agron. N. no. 20: 47, tab. 10. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/216649-2,tax_nov,IPNI,NA
Quiina glaziovii,596973,Quiina glaziovii,216650-2,Quiinaceae,Quiina,glaziovii,spec.,"Fl. Bras. (Martius) 12(1): 482, t. 109, fig. 2. 1888 [1 Apr 1888] ",Fl. Bras. (Martius),1888,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144686&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/216650-2,tax_nov,IPNI,NA
Quiina gracilis,87360,Quiina gracilis,216651-2,Quiinaceae,Quiina,gracilis,spec.,Trop. Woods 58: 26. 1939 ,Trop. Woods,1939,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/216651-2,tax_nov,IPNI,NA
Quiina guaporensis,87361,Quiina guaporensis,216653-2,Quiinaceae,Quiina,guaporensis,spec.,Bol. Tecn. Inst. Agron. N. no. 38: 31. 1960 ,Bol. Tecn. Inst. Agron. N.,1960,"Rondonia (Terr.) (Brazil, Southern America)",NA,NA,www.ipni.org/n/216653-2,tax_nov,IPNI,NA
Quiina juruana,24357,Quiina juruana,216656-2,Quiinaceae,Quiina,juruana,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 184. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=184&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/216656-2,tax_nov,IPNI,NA
Quiina macrophylla,79661,Quiina macrophylla,216658-2,Quiinaceae,Quiina,macrophylla,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 183. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=183&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/216658-2,tax_nov,IPNI,NA
Quiina magallano-gomesii,78380,Quiina magallano-gomesii,216660-2,Quiinaceae,Quiina,magallano-gomesii,spec.,"Pl. Nov. Mineir. 6, pl. 3. 1898 ",Pl. Nov. Mineir.,1898,Brazil (Southern America),NA,NA,www.ipni.org/n/216660-2,tax_nov,IPNI,NA
Quiina maguirei,103688,Quiina maguirei,216661-2,Quiinaceae,Quiina,maguirei,spec.,Mem. New York Bot. Gard. 18(2): 54. 1969 ,Mem. New York Bot. Gard.,1969,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1969&rft.issue=2&rft.spage=54&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/216661-2,tax_nov,IPNI,NA
Quiina maracaensis,282109,Quiina maracaensis,77124014-1,Quiinaceae,Quiina,maracaensis,spec.,Candollea 67(2): 262. 2012 [Dec 2012] ,Candollea,2012,"Roraima (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);Venezuela (Northern South America, Southern America);",NA,NA,www.ipni.org/n/77124014-1,tax_nov,IPNI,NA
Quiina negrensis,87367,Quiina negrensis,216663-2,Quiinaceae,Quiina,negrensis,spec.,Trop. Woods 58: 25. 1939 ,Trop. Woods,1939,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/216663-2,tax_nov,IPNI,NA
Quiina oiapocensis,87370,Quiina oiapocensis,216666-2,Quiinaceae,Quiina,oiapocensis,spec.,Bol. Tecn. Inst. Agron. N. no. 38: 32. 1960 ,Bol. Tecn. Inst. Agron. N.,1960,"Amapá (Terr.) (Brazil, Southern America)",NA,NA,www.ipni.org/n/216666-2,tax_nov,IPNI,NA
Quiina paraensis,24358,Quiina paraensis,216668-2,Quiinaceae,Quiina,paraensis,spec.,"Bol. Tecn. Inst. Agron. N. no. 20: 43, tab. 7. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"Amazonas &amp; Para, Brazil (Southern America)",NA,NA,www.ipni.org/n/216668-2,tax_nov,IPNI,NA
Quiina piresii,103337,Quiina piresii,330705-2,Quiinaceae,Quiina,piresii,spec.,Candollea 58(2): 469 (-471; fig. 5). 2003 [19 Dec 2003] ,Candollea,2003,"Mun. de Manaus, Distr. Agropecuário da SUFRAMA, Rodovia BR-174 ... 2°19'S, 60°5'W, Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/330705-2,tax_nov,IPNI,NA
Quiina pubescens,87373,Quiina pubescens,216671-2,Quiinaceae,Quiina,pubescens,spec.,Trop. Woods 58: 29. 1939 ,Trop. Woods,1939,"Acre (Brazil, Southern America)",NA,NA,www.ipni.org/n/216671-2,tax_nov,IPNI,NA
Quiina rigidifolia,79665,Quiina rigidifolia,216672-2,Quiinaceae,Quiina,rigidifolia,spec.,"Bol. Tecn. Inst. Agron. N. no. 20: 45, tab. 9. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/216672-2,tax_nov,IPNI,NA
Quiina spruceana,103252,Quiina spruceana,216675-2,Quiinaceae,Quiina,spruceana,spec.,Fl. Bras. (Martius) 12(1): 481. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144686&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/216675-2,tax_nov,IPNI,NA
Touroulia amazonica,87378,Touroulia amazonica,255566-2,Quiinaceae,Touroulia,amazonica,spec.,"Bol. Tecn. Inst. Agron. N. 20: 49, tt. 12-14. 1950 [post Sep 1950] ",Bol. Tecn. Inst. Agron. N.,1950,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/255566-2,tax_nov,IPNI,NA
Touroulia decastyla,103248,Touroulia decastyla,255567-2,Quiinaceae,Touroulia,decastyla,spec.,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 19: 218. 1889 ,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München,1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=218&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/125291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/255567-2,tax_nov,IPNI,NA
