name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Homalolepis planaltina,Simaroubaceae,Homalolepis,planaltina,spec.,Phytotaxa 336(3): 253. 2018 [2 Feb 2018] [epublished],Phytotaxa,2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77176626-1,NA,doi:10.11646/phytotaxa.336.3.3,www.ipni.org/n/77176626-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.336.3.3
Homalolepis pumila,Simaroubaceae,Homalolepis,pumila,spec.,Phytotaxa 336(3): 257. 2018 [2 Feb 2018] [epublished],Phytotaxa,2018,"Goiás (Brazil West-Central, Brazil, Southern America)",77176627-1,NA,doi:10.11646/phytotaxa.336.3.3,www.ipni.org/n/77176627-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.336.3.3
Homalolepis rigida,Simaroubaceae,Homalolepis,rigida,spec.,Phytotaxa 366(1): 86. 2018 [28 Aug 2018] [epublished],Phytotaxa,2018,"Tocantins (Brazil North, Brazil, Southern America)",77190114-1,NA,doi:10.11646/phytotaxa.366.1.1,www.ipni.org/n/77190114-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.366.1.1
Homalolepis rotundata,Simaroubaceae,Homalolepis,rotundata,spec.,Phytotaxa 366(1): 49. 2018 [28 Aug 2018] [epublished],Phytotaxa,2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77190099-1,NA,doi:10.11646/phytotaxa.366.1.1,www.ipni.org/n/77190099-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.366.1.1
Simaba arenaria,Simaroubaceae,Simaba,arenaria,spec.,Syst. Bot. 41(2): 401. 2016 [28 Jun 2016] [epublished],Syst. Bot.,2016,"Sergipe (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);",77157261-1,NA,doi:10.1600/036364416X691885,www.ipni.org/n/77157261-1,tax_nov,IPNI,https://doi.org/10.1600/036364416X691885
Simaba cavalcantei,Simaroubaceae,Simaba,cavalcantei,spec.,"Brittonia 36: 244(-246), fig. 1984 ",Brittonia,1984,Brazil (Southern America),285033-2,NA,NA,www.ipni.org/n/285033-2,tax_nov,IPNI,NA
Simaba crustacea,Simaroubaceae,Simaba,crustacea,spec.,Fl. Bras. (Martius) 12(2): 211. 1874 [1 Sep 1874] ,Fl. Bras. (Martius),1874,Brazil (Southern America),236513-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144501&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/236513-2,tax_nov,IPNI,NA
Simaba cuneata,Simaroubaceae,Simaba,cuneata,spec.,"Ann. Sci. Nat., Bot. sér. 2, 17: 138. 1842 ","Ann. Sci. Nat., Bot.",1842,Brazil (Southern America),236514-2,NA,NA,www.ipni.org/n/236514-2,tax_nov,IPNI,NA
Simaba cuspidata,Simaroubaceae,Simaba,cuspidata,spec.,Fl. Bras. (Martius) 12(2): 212 (-213). 1874 [1 Sep 1874] ,Fl. Bras. (Martius),1874,Brazil (Southern America),285034-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144076&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/285034-2,tax_nov,IPNI,NA
Simaba docensis,Simaroubaceae,Simaba,docensis,spec.,"Novon 9(3): 345 (-348, fig. 1). 1999 [15 Sep 1999] ",Novon,1999,"Marlieria, Parque Estadual do Rio Doce, on peninsula at Lake Helvecio, Minas Gerais (Brazil, Southern America)",318796-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641077&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 5 Oct 1999],www.ipni.org/n/318796-2,tax_nov,IPNI,NA
