name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acnistus bornmuelleri,597420,Acnistus bornmuelleri,3298-2,Solanaceae,Acnistus,bornmuelleri,spec.,"Repert. Spec. Nov. Regni Veg. 15: 391. 1919 , as 'bornmülleri'",Repert. Spec. Nov. Regni Veg.,1919,"Brazil, Paraguay",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/244500&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3298-2,tax_nov,IPNI,NA
Acnistus sellowii,598325,Acnistus sellowii,3334-2,Solanaceae,Acnistus,sellowii,spec.,Repert. Spec. Nov. Regni Veg. 15: 388. 1919 ,Repert. Spec. Nov. Regni Veg.,1919,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/244497&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3334-2,tax_nov,IPNI,NA
Acnistus ulei,598075,Acnistus ulei,3337-2,Solanaceae,Acnistus,ulei,spec.,Repert. Spec. Nov. Regni Veg. 15: 392. 1919 ,Repert. Spec. Nov. Regni Veg.,1919,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/244501&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3337-2,tax_nov,IPNI,NA
Athenaea brasiliana,111260,Athenaea brasiliana,272911-2,Solanaceae,Athenaea,brasiliana,spec.,"Kurtziana 5: 397, f. 2. 1969 ",Kurtziana,1969,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/272911-2,tax_nov,IPNI,NA
Athenaea cuspidata,14574,Athenaea cuspidata,26075-2,Solanaceae,Athenaea,cuspidata,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: (advance separate) 6, fig. 5; tab. 29, fig. 2a-c. 1910 [Nov-Dec 1910] , also in:  79(2): 318. 1931.","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1910,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/26075-2,tax_nov,IPNI,NA
Athenaea pereirae,14577,Athenaea pereirae,272912-2,Solanaceae,Athenaea,pereirae,spec.,"Bol. Soc. Argent. Bot. 26: 100, figs. 1, 5. 1989 ",Bol. Soc. Argent. Bot.,1989,Brazil (Southern America),NA,NA,www.ipni.org/n/272912-2,tax_nov,IPNI,NA
Aureliana angustifolia,14581,Aureliana angustifolia,320414-2,Solanaceae,Aureliana,angustifolia,spec.,Novon 10(3): 187 (-189; fig. 1). 2000 [12 Sep 2000] ,Novon,2000,"Juiz de Fora, Reserva Biológica Santa Candida, Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641511&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 23 Oct 2000],www.ipni.org/n/320414-2,tax_nov,IPNI,NA
Aureliana darcyi,79715,Aureliana darcyi,305349-2,Solanaceae,Aureliana,darcyi,spec.,Novon 5: 257 (fig.). 1995 ,Novon,1995,"Paraty, Apa-Cairucu, Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/651785&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"Colletors' names given as: A. L. Almeida, B. Kurtz et al.",www.ipni.org/n/305349-2,tax_nov,IPNI,NA
Aureliana glomuliflora,14585,Aureliana glomuliflora,272964-2,Solanaceae,Aureliana,glomuliflora,spec.,Fl. Bras. (Martius) 10: 138. 1846 [1 Jul 1846] ,Fl. Bras. (Martius),1846,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145590&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272964-2,tax_nov,IPNI,NA
Aureliana velutina,14587,Aureliana velutina,272968-2,Solanaceae,Aureliana,velutina,spec.,Fl. Bras. (Martius) 10: 140. 1846 [1 Jul 1846] ,Fl. Bras. (Martius),1846,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145591&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272968-2,tax_nov,IPNI,NA
Bassovia wettsteiniana,289559,Bassovia wettsteiniana,273136-2,Solanaceae,Bassovia,wettsteiniana,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: (advance separate) 11, fig. 6a-d. 1910 [Nov-Dec 1910] , also in:  79(2): 323. 1931.","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1910,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/273136-2,tax_nov,IPNI,NA
Brunfelsia amazonica,88042,Brunfelsia amazonica,37515-2,Solanaceae,Brunfelsia,amazonica,spec.,Proc. Biol. Soc. Washington 62: 151. 1949 ,Proc. Biol. Soc. Washington,1949,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1949&rft.spage=151&rft.volume=62&rft_id=http://www.biodiversitylibrary.org/bibliography/3622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37515-2,tax_nov,IPNI,NA
Brunfelsia australis,14594,Brunfelsia australis,37517-2,Solanaceae,Brunfelsia,australis,spec.,Prodr. [A. P. de Candolle] 10: 200. 1846 [8 Apr 1846] ,Prodr. [A. P. de Candolle],1846,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/161881&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37517-2,tax_nov,IPNI,NA
Brunfelsia burchellii,102309,Brunfelsia burchellii,37522-2,Solanaceae,Brunfelsia,burchellii,spec.,"Fieldiana, Bot. n.s., 8: 9. 1981 ","Fieldiana, Bot.",1981,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=9&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37522-2,tax_nov,IPNI,NA
Brunfelsia calycina,599679,Brunfelsia calycina,37523-2,Solanaceae,Brunfelsia,calycina,spec.,Prodr. [A. P. de Candolle] 10: 199. 1846 [8 Apr 1846] ,Prodr. [A. P. de Candolle],1846,"Insula Santa catarina, Santa Catarina (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/161880&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi; LT],www.ipni.org/n/37523-2,tax_nov,IPNI,NA
Brunfelsia clandestina,14597,Brunfelsia clandestina,37530-2,Solanaceae,Brunfelsia,clandestina,spec.,"Fieldiana, Bot. n.s., 8: 11 (-12), fig. 1981 ","Fieldiana, Bot.",1981,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=11&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37530-2,tax_nov,IPNI,NA
Brunfelsia cuneifolia,14598,Brunfelsia cuneifolia,316462-2,Solanaceae,Brunfelsia,cuneifolia,spec.,Fl. Bras. (Martius) 8(1): 259. 1862 [15 Jan 1862] ,Fl. Bras. (Martius),1862,"australiore, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146436&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi 16 Feb 2000] Knapp rejected Plowman's (Fieldiana, Bot. n.s. 39: 72. 1998) lectotypificaion of this species with a photograph of Sellow 4016 (F).",www.ipni.org/n/316462-2,tax_nov,IPNI,NA
Brunfelsia rupestris,21140,Brunfelsia rupestris,37564-2,Solanaceae,Brunfelsia,rupestris,spec.,"Fieldiana, Bot. n.s., 8: 7, fig. 1981 ","Fieldiana, Bot.",1981,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=7&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37564-2,tax_nov,IPNI,NA
Brunfelsia silvicola,79716,Brunfelsia silvicola,37566-2,Solanaceae,Brunfelsia,silvicola,spec.,Bot. Jahrb. Syst. 21(4): 450. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/206026&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/37566-2,tax_nov,IPNI,NA
Calibrachoa atropurpurea,624717,Calibrachoa atropurpurea,77301626-1,Solanaceae,Calibrachoa,atropurpurea,spec.,Syst. Bot. 47(1): 243. 2022 [21 Mar 2022] [epublished],Syst. Bot.,2022,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",NA,"doi:10.1600/036364422X16442668423563 Etymology: 'The specific epithet atropurpurea refers to the dark purple ring surrounding the corolla throat, and was suggested by João Semir (1937–2018) when he traveled with the first author and collected samples of this species in 1995'.",www.ipni.org/n/77301626-1,tax_nov,IPNI,https://doi.org/10.1600/036364422X16442668423563
Calibrachoa cordifolia,14608,Calibrachoa cordifolia,77073054-1,Solanaceae,Calibrachoa,cordifolia,spec.,Monogr. Syst. Bot. Missouri Bot. Gard. 104: 342 (-344; fig. 1). 2005 [10 Jun 2005] ; Festschr. William G. D'Arcy (ed. R.C.Keating et al.).,Monogr. Syst. Bot. Missouri Bot. Gard.,2005,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",NA,NA,www.ipni.org/n/77073054-1,tax_nov,IPNI,NA
