name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Symplocos aegrota,Symplocaceae,Symplocos,aegrota,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247131-2,NA,NA,www.ipni.org/n/247131-2,tax_nov,IPNI,NA
Symplocos altissima,Symplocaceae,Symplocos,altissima,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247134-2,NA,NA,www.ipni.org/n/247134-2,tax_nov,IPNI,NA
Symplocos angulata,Symplocaceae,Symplocos,angulata,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 73. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247136-2,NA,NA,www.ipni.org/n/247136-2,tax_nov,IPNI,NA
Symplocos ascendens,Symplocaceae,Symplocos,ascendens,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247141-2,NA,NA,www.ipni.org/n/247141-2,tax_nov,IPNI,NA
Symplocos atlantica,Symplocaceae,Symplocos,atlantica,spec.,Harvard Pap. Bot. 14(2): 101 (-104; fig. 1). 2009 [10 Dec 2009] ,Harvard Pap. Bot.,2009,"São Paulo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",77107471-1,NA,NA,www.ipni.org/n/77107471-1,tax_nov,IPNI,NA
Symplocos barbacenae,Symplocaceae,Symplocos,barbacenae,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 81. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247147-2,NA,NA,www.ipni.org/n/247147-2,tax_nov,IPNI,NA
Symplocos bidana,Symplocaceae,Symplocos,bidana,spec.,Novon 19(1): 2 (-4; fig. 1). 2009 [19 Mar 2009] ,Novon,2009,"Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",77100292-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/40330308&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77100292-1,tax_nov,IPNI,NA
Symplocos campestris,Symplocaceae,Symplocos,campestris,spec.,"Pflanzenr. (Engler) 4, Fam. 242: 84. 1901 ",Pflanzenr. (Engler),1901,Brazil (Southern America),247155-2,NA,NA,www.ipni.org/n/247155-2,tax_nov,IPNI,NA
Symplocos candelabra,Symplocaceae,Symplocos,candelabra,spec.,"Proc. Calif. Acad. Sci. ser. 4, 56(23): 296 (-299; figs. 1-3). 2005 [26 Aug 2005] ",Proc. Calif. Acad. Sci.,2005,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77068858-1,NA,NA,www.ipni.org/n/77068858-1,tax_nov,IPNI,NA
Symplocos catarinensis,Symplocaceae,Symplocos,catarinensis,spec.,Loefgrenia 6: [1]. 1962 ,Loefgrenia,1962,"Santa Catarina (Brazil, Southern America)",247880-2,NA,NA,www.ipni.org/n/247880-2,tax_nov,IPNI,NA
