name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Freziera atlantica,606105,Freziera atlantica,77153906-1,Theaceae,Freziera,atlantica,spec.,Syst. Bot. 40(4): 1076. 2015 [15 Dec 2015] [epublished],Syst. Bot.,2015,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",NA,doi:10.1600/036364415X690111 the specific epithet refers to the occurrence of the species in the Brazilian Atlantic coastal rainforest,www.ipni.org/n/77153906-1,tax_nov,IPNI,https://doi.org/10.1600/036364415X690111
Ternstroemia alnifolia,25938,Ternstroemia alnifolia,250655-2,Theaceae,Ternstroemia,alnifolia,spec.,"Fl. Bras. (Martius) 12(1): 275, t. 52, fig. 2. 1886 [1 Apr 1886] ",Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144554&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/250655-2,tax_nov,IPNI,NA
Ternstroemia aracae,86395,Ternstroemia aracae,285920-2,Theaceae,Ternstroemia,aracae,spec.,"Brittonia 41: 136, fig. 1989 ",Brittonia,1989,Brazil (Southern America),NA,NA,www.ipni.org/n/285920-2,tax_nov,IPNI,NA
Ternstroemia bahiensis,632519,Ternstroemia bahiensis,77217734-1,Theaceae,Ternstroemia,bahiensis,spec.,"Neodiversity 14: 4, fig. 1. 2021 [12 Jun 2021] (epublished)",Neodiversity,2021,"Bahia (Brazil, Southern America)",NA,(english) doi:10.13102/neod.141.2,www.ipni.org/n/77217734-1,tax_nov,IPNI,https://doi.org/10.13102/neod.141.2
Ternstroemia borbensis,86396,Ternstroemia borbensis,250663-2,Theaceae,Ternstroemia,borbensis,spec.,J. Arnold Arbor. 23: 305. 1942 ,J. Arnold Arbor.,1942,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=305&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/250663-2,tax_nov,IPNI,NA
Ternstroemia candolleana,86398,Ternstroemia candolleana,250675-2,Theaceae,Ternstroemia,candolleana,spec.,"Fl. Bras. (Martius) 12(1): 273, t. 52, fig. 1. 1886 [1 Apr 1886] ",Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144553&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/250675-2,tax_nov,IPNI,NA
Ternstroemia krukoffiana,86401,Ternstroemia krukoffiana,250724-2,Theaceae,Ternstroemia,krukoffiana,spec.,J. Arnold Arbor. 23: 319. 1942 ,J. Arnold Arbor.,1942,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=319&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/250724-2,tax_nov,IPNI,NA
Ternstroemia longipetiolata,632522,Ternstroemia longipetiolata,77217806-1,Theaceae,Ternstroemia,longipetiolata,spec.,"Neodiversity 14: 13, fig. 6. 2021 [12 Jun 2021] (epublished)",Neodiversity,2021,"Roraima (Terr.) (Brazil, Southern America)",NA,(english) doi:10.13102/neod.141.2,www.ipni.org/n/77217806-1,tax_nov,IPNI,https://doi.org/10.13102/neod.141.2
Ternstroemia megaphylla,632520,Ternstroemia megaphylla,77217807-1,Theaceae,Ternstroemia,megaphylla,spec.,"Neodiversity 14: 8, fig. 3. 2021 [12 Jun 2021] (epublished)",Neodiversity,2021,"Amapá (Terr.) (Brazil, Southern America)",NA,(english) doi:10.13102/neod.141.2,www.ipni.org/n/77217807-1,tax_nov,IPNI,https://doi.org/10.13102/neod.141.2
Ternstroemia oleifolia,86404,Ternstroemia oleifolia,250628-2,Theaceae,Ternstroemia,oleifolia,spec.,"Fl. Bras. (Martius) 12(1): 279, t. 54, fig. 1. 1886 [1 Apr 1886] ",Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144556&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/250628-2,tax_nov,IPNI,NA
Ternstroemia prancei,86406,Ternstroemia prancei,285929-2,Theaceae,Ternstroemia,prancei,spec.,"Brittonia 41: 140, fig. 1989 ",Brittonia,1989,Brazil (Southern America),NA,NA,www.ipni.org/n/285929-2,tax_nov,IPNI,NA
