name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Daphnopsis aemygdioi,Thymelaeaceae,Daphnopsis,aemygdioi,spec.,"Bol. Mus. Nac. Rio de Janeiro, Bot. 46: 3 (1977), with two types cited. ","Bol. Mus. Nac. Rio de Janeiro, Bot.",1977,Brazil Southeast (Rio de Janeiro).,1004421-1,NA,NA,www.ipni.org/n/1004421-1,tax_nov,IPNI,NA
Daphnopsis beta,Thymelaeaceae,Daphnopsis,beta,spec.,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 5. 1890 [24 Jun 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),76697-2,NA,NA,www.ipni.org/n/76697-2,tax_nov,IPNI,NA
Daphnopsis coriacea,Thymelaeaceae,Daphnopsis,coriacea,spec.,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 7. 1890 [24 Jun 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),76706-2,NA,NA,www.ipni.org/n/76706-2,tax_nov,IPNI,NA
Daphnopsis ericiflora,Thymelaeaceae,Daphnopsis,ericiflora,spec.,Repert. Spec. Nov. Regni Veg. 19: 113. 1923 ,Repert. Spec. Nov. Regni Veg.,1923,Brazil (Southern America),76715-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=113&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/76715-2,tax_nov,IPNI,NA
Daphnopsis filipedunculata,Thymelaeaceae,Daphnopsis,filipedunculata,spec.,"Brittonia 45: 335, fig. 1. 1993 ",Brittonia,1993,"Pará (Brazil, Southern America)",302755-2,NA,NA,www.ipni.org/n/302755-2,tax_nov,IPNI,NA
Daphnopsis longifolia,Thymelaeaceae,Daphnopsis,longifolia,spec.,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 9. 1890 [24 Jun 1890] ",Bot. Jahrb. Syst.,1890,Brazil (Southern America),76726-2,NA,NA,www.ipni.org/n/76726-2,tax_nov,IPNI,NA
Daphnopsis longiracemosa,Thymelaeaceae,Daphnopsis,longiracemosa,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 728. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,"Ceará (Brazil, Southern America)",76727-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=728&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/76727-2,tax_nov,IPNI,NA
Daphnopsis mello-barretoi,Thymelaeaceae,Daphnopsis,mello-barretoi,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 22: 92. 1940 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1940,Brazil (Southern America),76733-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=92&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/76733-2,tax_nov,IPNI,NA
Daphnopsis pseudosalix,Thymelaeaceae,Daphnopsis,pseudosalix,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 724. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,Brazil (Southern America),76743-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=724&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/76743-2,tax_nov,IPNI,NA
Daphnopsis sanctae-teresae,Thymelaeaceae,Daphnopsis,sanctae-teresae,spec.,"Ann. Missouri Bot. Gard. 46: 346, fig. 48. 1960 ",Ann. Missouri Bot. Gard.,1960,"Bahia &amp; Pernambuco, Brazil (Southern America)",76750-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16158061&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/76750-2,tax_nov,IPNI,NA
