name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Piriqueta abairana,21296,Piriqueta abairana,318928-2,Turneraceae,Piriqueta,abairana,spec.,"Kew Bull. 54(2): 459 (-461, fig. 1). 1999 [20 Sep 1999] ",Kew Bull.,1999,"Mun. Abaira: Boa Vista, acima do Capao do mel, 13°19'S, 41°50'W, 1250 m, Bahia (Brazil, Southern America)",NA,[Gandhi 26 Oct 1999],www.ipni.org/n/318928-2,tax_nov,IPNI,NA
Piriqueta alba,105034,Piriqueta alba,936460-1,Turneraceae,Piriqueta,alba,spec.,Loefgrenia 92: 1 (1988). ,Loefgrenia,1988,Brazil.,NA,NA,www.ipni.org/n/936460-1,tax_nov,IPNI,NA
Piriqueta araguaiana,32947,Piriqueta araguaiana,304432-2,Turneraceae,Piriqueta,araguaiana,spec.,"Fl. Neotrop. Monogr. 67: 123, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Mun. Sao Felix do Araguaia. W bank of Rio Araguaia on¹inlet called Lago Ingles, 11°34'S, 50°43'W, [200-500 m], Mato Grosso (Brazil, Southern America)",NA,NA,www.ipni.org/n/304432-2,tax_nov,IPNI,NA
Piriqueta asperifolia,21297,Piriqueta asperifolia,301780-2,Turneraceae,Piriqueta,asperifolia,spec.,"Fl. Neotrop. Monogr. 67: 46, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Ca. 16 km along the Morro do Chapeu to Utinga Road, SW of¹Morro do Chapeu, 11°38'S, 41°17'W, 980 m, Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/301780-2,tax_nov,IPNI,NA
Piriqueta assuruensis,21298,Piriqueta assuruensis,305817-2,Turneraceae,Piriqueta,assuruensis,spec.,Jahrb. Königl. Bot. Gart. Berlin 2: 60. 1883 ,Jahrb. Königl. Bot. Gart. Berlin,1883,"Serra d'Acurua, sertao do Rio S. Francisco, Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1883&rft.spage=60&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/305817-2,tax_nov,IPNI,NA
Piriqueta breviseminata,21299,Piriqueta breviseminata,302107-2,Turneraceae,Piriqueta,breviseminata,spec.,"Fl. Neotrop. Monogr. 67: 91, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Drainage of the rio Corrente, Rio Piau, ca. 225 km SW of¹Barreiras on road to Posse, Goias, 850 m, Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/302107-2,tax_nov,IPNI,NA
Piriqueta caiapoensis,32948,Piriqueta caiapoensis,304838-2,Turneraceae,Piriqueta,caiapoensis,spec.,"Fl. Neotrop. Monogr. 67: 74, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Serra de Caiapo, ca. 40 km S of Caiaponia, 950 m, Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/304838-2,tax_nov,IPNI,NA
Piriqueta carnea,21300,Piriqueta carnea,199916-2,Turneraceae,Piriqueta,carnea,spec.,Repert. Spec. Nov. Regni Veg. 4: 131. 1907 ,Repert. Spec. Nov. Regni Veg.,1907,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/232939&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/199916-2,tax_nov,IPNI,NA
Piriqueta constellata,21303,Piriqueta constellata,304794-2,Turneraceae,Piriqueta,constellata,spec.,Kew Bull. 48(1): 9. 1993 [1 Apr 1993] ,Kew Bull.,1993,Brazil (Southern America),NA,NA,www.ipni.org/n/304794-2,tax_nov,IPNI,NA
Piriqueta corumbensis,79739,Piriqueta corumbensis,199929-2,Turneraceae,Piriqueta,corumbensis,spec.,"Phytologia 17: 247, fig. 1-5. 1968 ",Phytologia,1968,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1968&rft.spage=247&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/199929-2,tax_nov,IPNI,NA
Piriqueta crenata,287003,Piriqueta crenata,77137315-1,Turneraceae,Piriqueta,crenata,spec.,Phytotaxa 159(2): 106. 2014 [11 Feb 2014] [epublished],Phytotaxa,2014,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.159.2.4,www.ipni.org/n/77137315-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.159.2.4
Piriqueta cristobaliae,32949,Piriqueta cristobaliae,306430-2,Turneraceae,Piriqueta,cristobaliae,spec.,"Fl. Neotrop. Monogr. 67: 74-76, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Drainage of the upper Rio Araguaia, ca. 78 km SE of¹Aragarcas, road to Piranhas, 700 m, Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/306430-2,tax_nov,IPNI,NA
Piriqueta densiflora,21304,Piriqueta densiflora,311934-2,Turneraceae,Piriqueta,densiflora,spec.,Repert. Spec. Nov. Regni Veg. 4: 129. 1907 ,Repert. Spec. Nov. Regni Veg.,1907,"Chapadao da Serra do sao Ignacio, Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/232937&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/311934-2,tax_nov,IPNI,NA
Piriqueta dentata,21307,Piriqueta dentata,303380-2,Turneraceae,Piriqueta,dentata,spec.,"Fl. Neotrop. Monogr. 67: 4O, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Mun. Morro do Chapeu. 3 km S de Morro do Chapeu, camino a¹Utinga, ca. 11°35'S, 41°11'W, ca. 1030 m, Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/303380-2,tax_nov,IPNI,NA
Piriqueta douradinha,21308,Piriqueta douradinha,305896-2,Turneraceae,Piriqueta,douradinha,spec.,"Fl. Neotrop. Monogr. 67: 41, fig. 1995 ",Fl. Neotrop. Monogr.,1995,"Estrada Ituacu-Barra da Estiva, a 8 km de Barra da¹Estiva, Morro do Ouro, Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/305896-2,tax_nov,IPNI,NA
Piriqueta emasensis,32950,Piriqueta emasensis,323888-2,Turneraceae,Piriqueta,emasensis,spec.,Bol. Bot. Univ. São Paulo 20: 13 (-15; fig. 1). 2002 ,Bol. Bot. Univ. São Paulo,2002,"Mun. de Chapadao do Céu e Mineiros, Parque Nacional das Emas, 17°49'-18°28'S, 52°39'-53°10'W, Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/323888-2,tax_nov,IPNI,NA
Piriqueta flavocarnea,88189,Piriqueta flavocarnea,312047-2,Turneraceae,Piriqueta,flavocarnea,spec.,Repert. Spec. Nov. Regni Veg. 13: 155. 1914 ,Repert. Spec. Nov. Regni Veg.,1914,"Amazonas-Rio Branco, Serra de Pracaua [Paracauari], Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/353430&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/312047-2,tax_nov,IPNI,NA
