name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Alsodeia physiphora,Violaceae,Alsodeia,physiphora,spec.,"Nov. Gen. Sp. Pl. (Martius) 1(2): 28 (-29), t. 19. 1823 [late 1823 or Jan-Feb 1824] ",Nov. Gen. Sp. Pl. (Martius),1823,Brazil (Southern America),271973-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=2&rft.spage=28&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271973-2,tax_nov,IPNI,NA
Alsodeia racemosa,Violaceae,Alsodeia,racemosa,spec.,"Nov. Gen. Sp. Pl. (Martius) 1(2): 29 (-30), t. 20. 1823 [late 1823 or Jan-Feb 1824] ",Nov. Gen. Sp. Pl. (Martius),1823,Brazil (Southern America),271974-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=2&rft.spage=29&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271974-2,tax_nov,IPNI,NA
Anchietea ballardii,Violaceae,Anchietea,ballardii,spec.,Phytotaxa 280(1): 64. 2016 [14 Oct 2016] [epublished],Phytotaxa,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77159059-1,NA,"doi:10.11646/phytotaxa.280.1.4 Anchietea ballardii is named in honor of Dr. Harvey E. Ballard, Jr. from Ohio University, one of the world’s authorities on violets",www.ipni.org/n/77159059-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.280.1.4
Anchietea exalata,Violaceae,Anchietea,exalata,spec.,Fl. Bras. (Martius) 13(1): 355. 1871 [1 Oct 1871] ,Fl. Bras. (Martius),1871,Brazil (Southern America),866407-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/143302&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/866407-1,tax_nov,IPNI,NA
Anchietea ferrucciae,Violaceae,Anchietea,ferrucciae,spec.,"Phytotaxa 7: 41 (40-45; figs. 1-3, map). 2010 [15 Jul 2010] ",Phytotaxa,2010,"Bahia (Brazil Northeast, Brazil, Southern America)",77106250-1,NA,NA,www.ipni.org/n/77106250-1,tax_nov,IPNI,NA
Corynostylis pubescens,Violaceae,Corynostylis,pubescens,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 306. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),66488-2,NA,NA,www.ipni.org/n/66488-2,tax_nov,IPNI,NA
Hybanthopsis bahiensis,Violaceae,Hybanthopsis,bahiensis,spec.,Brittonia 55(3): 210 (-213; figs. 1-2). 2003 [17 Jul 2003] ,Brittonia,2003,"Itatim, Morro das Tocas, 310-430 m, 12°43'S, 39°42'W, Bahia (Brazil, Southern America)",327801-2,NA,NA,www.ipni.org/n/327801-2,tax_nov,IPNI,NA
Hybanthus arenarius,Violaceae,Hybanthus,arenarius,spec.,Bot. Jahrb. Syst. 42(2-3): 230. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,Brazil (Southern America),124894-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=230&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/124894-2,tax_nov,IPNI,NA
Hybanthus leptopus,Violaceae,Hybanthus,leptopus,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 109. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,Brazil (Southern America),124937-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=109&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/124937-2,tax_nov,IPNI,NA
Hybanthus strigoides,Violaceae,Hybanthus,strigoides,spec.,Bot. Jahrb. Syst. 21(4): 445. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),124991-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=445&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/124991-2,tax_nov,IPNI,NA
Hybanthus subpoaya,Violaceae,Hybanthus,subpoaya,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 112. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,"Goiás (Brazil, Southern America)",124992-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=112&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/124992-2,tax_nov,IPNI,NA
Hybanthus verrucosus,Violaceae,Hybanthus,verrucosus,spec.,Bot. J. Linn. Soc. 141(4): 503 (2003). ,Bot. J. Linn. Soc.,2003,Brazil Northeast (Bahia);Brazil Northeast (Alagoas);,20012300-1,NA,NA,www.ipni.org/n/20012300-1,tax_nov,IPNI,NA
