name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Abolboda abbreviata,Xyridaceae,Abolboda,abbreviata,spec.,Ark. Bot. 19(13): 5. 1925 ,Ark. Bot.,1925,"Pará (Brazil, Southern America)",309897-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.issue=13&rft.spage=5&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/309897-2,tax_nov,IPNI,NA
Abolboda chapadensis,Xyridaceae,Abolboda,chapadensis,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas Annexo 5, Bot. pt. 5: 11, pl. 80, fig. 2. 1915 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1915,Brazil (Southern America),9-2,NA,NA,www.ipni.org/n/9-2,tax_nov,IPNI,NA
Abolboda gracilis,Xyridaceae,Abolboda,gracilis,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 323. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),17-2,NA,NA,www.ipni.org/n/17-2,tax_nov,IPNI,NA
Abolboda longifolia,Xyridaceae,Abolboda,longifolia,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 22, Afd. 3, No. 2: 20, pl. 2, fig. 6. 1896 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1896,Brazil (Southern America),24-2,NA,NA,www.ipni.org/n/24-2,tax_nov,IPNI,NA
Xyris acrophila,Xyridaceae,Xyris,acrophila,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 400. 1925 ,Notizbl. Bot. Gart. Berlin-Dahlem,1925,Brazil (Southern America),269967-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=400&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/269967-2,tax_nov,IPNI,NA
Xyris almae,Xyridaceae,Xyris,almae,spec.,Kew Bull. 48(3): 577. 1993 [5 Oct 1993] ,Kew Bull.,1993,"Bahia (Brazil, Southern America)",306353-2,NA,NA,www.ipni.org/n/306353-2,tax_nov,IPNI,NA
Xyris amorimii,Xyridaceae,Xyris,amorimii,spec.,"Novon 8: 388, fig. 1. 1998 ",Novon,1998,"Mun. Morro do Chapeau, Estrada p/o Morro da Torre de Municipio, ca. 1100 m, campo rupestre, Bahia (Brazil, Southern America)",317109-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/640649&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 12 Jan 1998],www.ipni.org/n/317109-2,tax_nov,IPNI,NA
Xyris anamariae,Xyridaceae,Xyris,anamariae,spec.,Rodriguésia 61(1): 84 (-86; fig. 1). 2010 [before 15 Dec 2010] ,Rodriguésia,2010,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77111992-1,NA,NA,www.ipni.org/n/77111992-1,tax_nov,IPNI,NA
Xyris aquatica,Xyridaceae,Xyris,aquatica,spec.,"Caldasia 6: 206, fig. 9. 1954 ",Caldasia,1954,Colombia (Amazonas) &amp; Brazil (Amazonas),269976-2,NA,NA,www.ipni.org/n/269976-2,tax_nov,IPNI,NA
Xyris archeri,Xyridaceae,Xyris,archeri,spec.,"Proc. Biol. Soc. Washington 73: 246, fig. 1. 1960 ",Proc. Biol. Soc. Washington,1960,"Minas Gerais (Brazil, Southern America)",269979-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1960&rft.spage=246&rft.volume=73&rft_id=http://www.biodiversitylibrary.org/bibliography/3622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/269979-2,tax_nov,IPNI,NA
Xyris atrospicata,Xyridaceae,Xyris,atrospicata,spec.,Bol. Bot. Univ. São Paulo 29(1): 127. 2011 ,Bol. Bot. Univ. São Paulo,2011,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77119436-1,NA,NA,www.ipni.org/n/77119436-1,tax_nov,IPNI,NA
