name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Asplenium amazonicum,Aspleniaceae,Asplenium,amazonicum,spec.,Hedwigia 45: 191. 1906 ,Hedwigia,1906,Brazil (Southern America),311078-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=191&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/311078-2,tax_nov,IPNI,NA
Asplenium angustum,Aspleniaceae,Asplenium,angustum,spec.,"Kongl. Vetensk. Acad. Handl. 1817(St. 1): 66, t.4, f.1. ",Kongl. Vetensk. Acad. Handl.,1817,Brazil (Southern America),30249064-2,NA,NA,www.ipni.org/n/30249064-2,tax_nov,IPNI,NA
Asplenium auriculatum,Aspleniaceae,Asplenium,auriculatum,spec.,Kongl. Vetensk. Acad. Handl. 68. 1817 ,Kongl. Vetensk. Acad. Handl.,1817,Brazil (Southern America),328697-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1817&rft.spage=68&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/328697-2,tax_nov,IPNI,NA
Asplenium badinii,Aspleniaceae,Asplenium,badinii,spec.,"Novon 18(4): 538 (-541, f.1). 2008 [16 Dec 2008] ",Novon,2008,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77099058-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439262&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77099058-1,tax_nov,IPNI,NA
Asplenium beckeri,Aspleniaceae,Asplenium,beckeri,spec.,"Bradea 1(1): 4, t.1. 1969 ",Bradea,1969,"Ilha da Trinidade, Brazil (Southern America)",22253-2,NA,NA,www.ipni.org/n/22253-2,tax_nov,IPNI,NA
Asplenium bradeanum,Aspleniaceae,Asplenium,bradeanum,spec.,Loefgrenia 39: [1]. 1969 ,Loefgrenia,1969,"Sao Paulo (Brazil, Southern America)",22263-2,NA,NA,www.ipni.org/n/22263-2,tax_nov,IPNI,NA
Asplenium bradei,Aspleniaceae,Asplenium,bradei,spec.,Repert. Spec. Nov. Regni Veg. 21(21-25): 347. 1925 ,Repert. Spec. Nov. Regni Veg.,1925,"Sao Paulo (Brazil, Southern America)",22264-2,NA,NA,www.ipni.org/n/22264-2,tax_nov,IPNI,NA
Asplenium brasiliense,Aspleniaceae,Asplenium,brasiliense,spec.,Escritos Damaso Antonio Larranaga 1: 414. 1922 Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,Brazil (Southern America),22270-2,NA,NA,www.ipni.org/n/22270-2,tax_nov,IPNI,NA
Asplenium campos-portoi,Aspleniaceae,Asplenium,campos-portoi,spec.,"Anais Reunião Sul-Amer. Bot. 2: 5, t.1,2. 1940 ",Anais Reunião Sul-Amer. Bot.,1940,"Rio de Janeiro (Brazil, Southern America)",1018120-2,NA,NA,www.ipni.org/n/1018120-2,tax_nov,IPNI,NA
Asplenium camptocarpon,Aspleniaceae,Asplenium,camptocarpon,spec.,"Crypt. Vasc. Bresil 1: 63, t.16, f.1. 1869 ",Crypt. Vasc. Bresil,1869,Brazil (Southern America),17040540-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=63&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17040540-1,tax_nov,IPNI,NA
Asplenium cariocanum,Aspleniaceae,Asplenium,cariocanum,spec.,"Arq. Inst. Biol. Veg. 2(1): 1, pl.1, f.1; pl.2. 1935 [Sep 1935] ",Arq. Inst. Biol. Veg.,1935,"Rio de Janeiro (Brazil, Southern America)",22282-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=1&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22282-2,tax_nov,IPNI,NA
Asplenium chaerophylloides,Aspleniaceae,Asplenium,chaerophylloides,spec.,"Crypt. Vasc. Bresil 1: 71, t.16, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",17040890-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=71&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17040890-1,tax_nov,IPNI,NA
Asplenium coronatum,Aspleniaceae,Asplenium,coronatum,spec.,Phytotaxa 574(2): 186. 2022 [29 Nov 2022] [epublished],Phytotaxa,2022,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77309073-1,NA,"doi:10.11646/phytotaxa.574.2.8 Etymology: name refers to the proliferous frond apex, which is common in mature specimens and resembles a crown because of its rosulate shape.",www.ipni.org/n/77309073-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.574.2.8
Asplenium divergens,Aspleniaceae,Asplenium,divergens,spec.,Fl. Bras. (Martius) 1(2): 445. 1870 [1 May 1870] ,Fl. Bras. (Martius),1870,"Rio de Janeiro (Brazil, Southern America)",1188447-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134552&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1188447-2,tax_nov,IPNI,NA
Asplenium escragnollei,Aspleniaceae,Asplenium,escragnollei,spec.,"Crypt. Vasc. Bresil 1: 62, t.15. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",17043150-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=62&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17043150-1,tax_nov,IPNI,NA
Asplenium gastonis,Aspleniaceae,Asplenium,gastonis,spec.,"Crypt. Vasc. Bresil 1: 70, t.19, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",17044100-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=70&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17044100-1,tax_nov,IPNI,NA
Asplenium haplophyllum,Aspleniaceae,Asplenium,haplophyllum,spec.,"Rozpr. Kral. Ceske Spolecn. Nauk, Tr. Mat.-Prir. n. s., 2: 170, pl.29, f.1. 1929 ; & Domin, Pterid. Dominica","Rozpr. Kral. Ceske Spolecn. Nauk, Tr. Mat.-Prir.",1929,"Brazil, British Guiana",22445-2,NA,NA,www.ipni.org/n/22445-2,tax_nov,IPNI,NA
Asplenium hostmannii,Aspleniaceae,Asplenium,hostmannii,spec.,"Hedwigia 60: 256 (-258). 1918 , (a pre-print)",Hedwigia,1918,Brazil (Southern America);Surinam;,22467-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1918&rft.spage=256&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,specific name honors: F. W. Hostmann,www.ipni.org/n/22467-2,tax_nov,IPNI,NA
Asplenium macrolepis,Aspleniaceae,Asplenium,macrolepis,spec.,"Rozpr. Kral. Ceske Spolecn. Nauk, Tr. Mat.-Prir. n. s., 2: 172, pl.28, f.5,6. 1929 ; & Domin, Pterid. Dominica","Rozpr. Kral. Ceske Spolecn. Nauk, Tr. Mat.-Prir.",1929,"Rio de Janeiro (Brazil, Southern America)",22536-2,NA,NA,www.ipni.org/n/22536-2,tax_nov,IPNI,NA
Asplenium mexiae,Aspleniaceae,Asplenium,mexiae,spec.,"Univ. Calif. Publ. Bot. 19: 300, t.57. 1941 ",Univ. Calif. Publ. Bot.,1941,"Minas Gerais (Brazil, Southern America)",22548-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1941&rft.spage=300&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22548-2,tax_nov,IPNI,NA
Asplenium mourai,Aspleniaceae,Asplenium,mourai,spec.,"Hedwigia 60: 220 (-222). 1918 , (a pre-print)",Hedwigia,1918,"Minas Gerais (Brazil, Southern America)",22567-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1918&rft.spage=220&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22567-2,tax_nov,IPNI,NA
Asplenium ovalescens,Aspleniaceae,Asplenium,ovalescens,spec.,"Crypt. Vasc. Bresil 1: 72, t.18, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",17048700-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=72&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17048700-1,tax_nov,IPNI,NA
Asplenium pteropus,Aspleniaceae,Asplenium,pteropus,spec.,Enum. Filic. 170. 1824 ,Enum. Filic.,1824,Brazil (Southern America),22650-2,NA,NA,www.ipni.org/n/22650-2,tax_nov,IPNI,NA
Asplenium riedelianum,Aspleniaceae,Asplenium,riedelianum,spec.,Linnaea 36(1): 103. 1869 [May 1869] ,Linnaea,1869,Brazil (Southern America),315297-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/121183&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 2 Apr 1998; Mem. NYBG 53: 238. 1989],www.ipni.org/n/315297-2,tax_nov,IPNI,NA
Asplenium rigidum,Aspleniaceae,Asplenium,rigidum,spec.,Kongl. Vetensk. Acad. Handl. 38: 68. 1817 ,Kongl. Vetensk. Acad. Handl.,1817,"Minas Gerais (Brazil, Southern America)",22706-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1817&rft.spage=68&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22706-2,tax_nov,IPNI,NA
Asplenium sanguinolentum,Aspleniaceae,Asplenium,sanguinolentum,spec.,"Abh. Senckenberg. Naturf. Ges. 3: 186, fig. 1859 , =Farngatt. 6 [Sep 1859]",Abh. Senckenberg. Naturf. Ges.,1859,Brazil (Southern America),22731-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1859&rft.spage=186&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/16181&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 26 Mar 1998; Mem. NYBG 46: 56. 1988],www.ipni.org/n/22731-2,tax_nov,IPNI,NA
Asplenium schiffneri,Aspleniaceae,Asplenium,schiffneri,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 30, pl.6. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,Brazil (Southern America),22736-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=30&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22736-2,tax_nov,IPNI,NA
Asplenium schwackei,Aspleniaceae,Asplenium,schwackei,spec.,"Pl. Nov. Mineir. 2: 28. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 556.  1902.  Brazil",Pl. Nov. Mineir.,1900,Brazil (Southern America),22738-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=28&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22738-2,tax_nov,IPNI,NA
Asplenium serra,Aspleniaceae,Asplenium,serra,spec.,"Pl. Voy. Russes Monde Icon. Fil. 16, t.19. 1810 ",Pl. Voy. Russes Monde,1810,"Santa Catarina (Brazil, Southern America)",22742-2,NA,NA,www.ipni.org/n/22742-2,tax_nov,IPNI,NA
Asplenium spannagelii,Aspleniaceae,Asplenium,spannagelii,spec.,Sellowia no. 15: 21. ,Sellowia,NA,"Santa Catarina &amp; Mato Grosso, Brazil (Southern America)",22777-2,NA,NA,www.ipni.org/n/22777-2,tax_nov,IPNI,NA
Asplenium spruceanum,Aspleniaceae,Asplenium,spruceanum,spec.,"Hedwigia 60: 260 (-261). 1918 , (a pre-print)",Hedwigia,1918,Brazil (Southern America),22780-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1918&rft.spage=260&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22780-2,tax_nov,IPNI,NA
Asplenium tamandarei,Aspleniaceae,Asplenium,tamandarei,spec.,Hedwigia 56: 363. 1915 ,Hedwigia,1915,Brazil (Southern America),22807-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=363&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22807-2,tax_nov,IPNI,NA
Asplenium truncorum,Aspleniaceae,Asplenium,truncorum,spec.,"Amer. Fern J. 99(2): 101 (-105, f.1-2). 2009 [1 Sep 2009] ",Amer. Fern J.,2009,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",77102605-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2009&rft.issue=2&rft.spage=101&rft.volume=99&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77102605-1,tax_nov,IPNI,NA
Asplenium ulbrichtii,Aspleniaceae,Asplenium,ulbrichtii,spec.,Hedwigia 43: 220. 1904 ,Hedwigia,1904,Brazil (Southern America),22841-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=220&rft.volume=43&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22841-2,tax_nov,IPNI,NA
Asplenium wacketii,Aspleniaceae,Asplenium,wacketii,spec.,Hedwigia 46: 102. 1906 ,Hedwigia,1906,"Sao Paulo (Brazil, Southern America)",22864-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=102&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/22864-2,tax_nov,IPNI,NA
