name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Blechnum areolatum,126355,Blechnum areolatum,60458337-2,Blechnaceae,Blechnum,areolatum,spec.,"Syst. Bot. 37(1): 40, f.1-3. 2012 [31 Jan 2012] ",Syst. Bot.,2012,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.1600/036364412X616602 Etymology: Blechnum areolatum is named for the presence of areoles contiguous to the costae, a rare character in Blechnum.",www.ipni.org/n/60458337-2,tax_nov,IPNI,https://doi.org/10.1600/036364412X616602
Blechnum heringeri,90809,Blechnum heringeri,33578-2,Blechnaceae,Blechnum,heringeri,spec.,Sellowia 18: 87. 1966 ,Sellowia,1966,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/33578-2,tax_nov,IPNI,NA
Blechnum juergensii,285549,Blechnum juergensii,33584-2,Blechnaceae,Blechnum,juergensii,spec.,Festschrift Albert von Bamberg 59. 1905 Einige neue Farne aus Sudbrasilien,Festschrift Albert von Bamberg,1905,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/33584-2,tax_nov,IPNI,NA
Blechnum longipilosum,126356,Blechnum longipilosum,60458338-2,Blechnaceae,Blechnum,longipilosum,spec.,"Syst. Bot. 37(1): 40, f.1-3. 2012 [31 Jan 2012] ",Syst. Bot.,2012,"Pará (Brazil North, Brazil, Southern America)",NA,"Etymology: Blechnum longipilosum is named for the presence of long, 4- (5–10) 11–12-celled hairs on rachises, costae, veins, laminar tissue, and indusia, and between sporangia. doi:10.1600/036364412X616602",www.ipni.org/n/60458338-2,tax_nov,IPNI,https://doi.org/10.1600/036364412X616602
Blechnum organense,90824,Blechnum organense,33653-2,Blechnaceae,Blechnum,organense,spec.,"Arq. Inst. Biol. Veg. 2(1): 2, pl.1, f.3; pl. 3. 1935 [Sep 1935] ",Arq. Inst. Biol. Veg.,1935,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=2&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/33653-2,tax_nov,IPNI,NA
Blechnum polypodioides,90826,Blechnum polypodioides,30084843-2,Blechnaceae,Blechnum,polypodioides,spec.,Opusc. Sci. 3: 294. 1819 ,Opusc. Sci.,1819,Brazil (Southern America),NA,NA,www.ipni.org/n/30084843-2,tax_nov,IPNI,NA
Blechnum proliferum,90827,Blechnum proliferum,33669-2,Blechnaceae,Blechnum,proliferum,spec.,Hedwigia 46: 91. 1906 ,Hedwigia,1906,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=91&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/33669-2,tax_nov,IPNI,NA
Blechnum rivulorum,624504,Blechnum rivulorum,77312889-1,Blechnaceae,Blechnum,rivulorum,spec.,Acta Bot. Brasil. 36-e20220147: 2. [21 Oct 2022] [epublished],Acta Bot. Brasil.,2022,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",NA,"doi:10.1590/1677-941X-ABB-2022-0147 Etymology: the specific epithet is from the Latin 'rivulorum' = of the rivers, indicating the preferred habitat of the species.",www.ipni.org/n/77312889-1,tax_nov,IPNI,https://doi.org/10.1590/1677-941X-ABB-2022-0147
Blechnum spannagelii,90835,Blechnum spannagelii,33697-2,Blechnaceae,Blechnum,spannagelii,spec.,Hedwigia 46: 93. 1906 ,Hedwigia,1906,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=93&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/33697-2,tax_nov,IPNI,NA
Lomaria usteriana,285636,Lomaria usteriana,143004-2,Blechnaceae,Lomaria,usteriana,spec.,Fl. Umgebung Sao Paulo 135. 1911 ,Fl. Umgebung Sao Paulo,1911,Brazil (Southern America),NA,NA,www.ipni.org/n/143004-2,tax_nov,IPNI,NA
Salpichlaena hybrida,607012,Salpichlaena hybrida,77201957-1,Blechnaceae,Salpichlaena,hybrida,spec.,Blumea 64(1): 10. 2018 [21 Dec 2018] [epublished],Blumea,2018,"French Guiana (Northern South America, Southern America);Roraima (Brazil North, Brazil, Southern America);Suriname (Northern South America, Southern America);",NA,doi:10.3767/blumea.2018.64.01.01,www.ipni.org/n/77201957-1,tax_nov,IPNI,https://doi.org/10.3767/blumea.2018.64.01.01
Salpichlaena papyrus,606907,Salpichlaena papyrus,77201958-1,Blechnaceae,Salpichlaena,papyrus,spec.,Blumea 64(1): 11. 2018 [21 Dec 2018] [epublished],Blumea,2018,"Costa Rica (Central America, Southern America);Bolivia (Western South America, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Colombia (Western South America, Southern America);Ecuador (Western South America, Southern America);French Guiana (Northern South America, Southern America);Guyana (Northern South America, Southern America);Nicaragua (Central America, Southern America);Panama (Central America, Southern America);Paraguay (Southern South America, Southern America);Peru (Western South America, Southern America);Panama (Central America, Southern America);Venezuela (Northern South America, Southern America);",NA,doi:10.3767/blumea.2018.64.01.01,www.ipni.org/n/77201958-1,tax_nov,IPNI,https://doi.org/10.3767/blumea.2018.64.01.01
