name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Alsophila acantha,102942,Alsophila acantha,9889-2,Cyatheaceae,Alsophila,acantha,spec.,Fl. Ilustr. Catarin. fasc. CIAT: 46 (-48). 1978 ,Fl. Ilustr. Catarin.,1978,Brazil (Southern America),NA,NA,www.ipni.org/n/9889-2,tax_nov,IPNI,NA
Alsophila campestrium,102941,Alsophila campestrium,9930-2,Cyatheaceae,Alsophila,campestrium,spec.,Fl. Ilustr. Catarin. fasc. CIAT: 43 (-45). 1978 ,Fl. Ilustr. Catarin.,1978,Brazil (Southern America),NA,NA,www.ipni.org/n/9930-2,tax_nov,IPNI,NA
Alsophila damazioi,102938,Alsophila damazioi,9955-2,Cyatheaceae,Alsophila,damazioi,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: 23, t.3,6, f.11. 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/9955-2,tax_nov,IPNI,NA
Alsophila dryopteridoides,102895,Alsophila dryopteridoides,291947-2,Cyatheaceae,Alsophila,dryopteridoides,spec.,Bull. Misc. Inform. Kew 1929(7): 218. [28 Aug 1929] ,Bull. Misc. Inform. Kew,1929,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.issue=7&rft.spage=218&rft.volume=1929&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/291947-2,tax_nov,IPNI,NA
Alsophila goyazensis,115003,Alsophila goyazensis,9992-2,Cyatheaceae,Alsophila,goyazensis,spec.,"Pl. Nov. Mineir. 2: 33. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 646.  1902.  Brazil",Pl. Nov. Mineir.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=33&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/9992-2,tax_nov,IPNI,NA
Alsophila guinleorum,115008,Alsophila guinleorum,9997-2,Cyatheaceae,Alsophila,guinleorum,spec.,"Bol. Mus. Nac. Rio de Janeiro 7(3): 140, pl.2, f.III; pl.4, f.1; pl.6, f.1. 1931 ",Bol. Mus. Nac. Rio de Janeiro,1931,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/9997-2,tax_nov,IPNI,NA
Alsophila hoehneana,102939,Alsophila hoehneana,10002-2,Cyatheaceae,Alsophila,hoehneana,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: 24, t.4,6, f.6. 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/10002-2,tax_nov,IPNI,NA
Alsophila iheringii,115006,Alsophila iheringii,10006-2,Cyatheaceae,Alsophila,iheringii,spec.,Hedwigia 56: 358. 1915 ,Hedwigia,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=358&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/10006-2,tax_nov,IPNI,NA
Alsophila kleinii,102898,Alsophila kleinii,10016-2,Cyatheaceae,Alsophila,kleinii,spec.,Fl. Ilustr. Catarin. fasc. CIAT: 56. 1978 ,Fl. Ilustr. Catarin.,1978,Brazil (Southern America),NA,NA,www.ipni.org/n/10016-2,tax_nov,IPNI,NA
Alsophila mello-barretoi,102940,Alsophila mello-barretoi,10031-2,Cyatheaceae,Alsophila,mello-barretoi,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: 22, t.2,5, f.4. 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/10031-2,tax_nov,IPNI,NA
