name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dennstaedtia tamandarei,Dennstaedtiaceae,Dennstaedtia,tamandarei,spec.,Hedwigia 56: 359. 1915 ,Hedwigia,1915,Brazil (Southern America),77919-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=359&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/77919-2,tax_nov,IPNI,NA
Hypolepis acantha,Dennstaedtiaceae,Hypolepis,acantha,spec.,Kew Bull. 67(4): 816. 2012 [21 Sep 2012] [epublished],Kew Bull.,2012,"Paraná (Brazil South, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",77121637-1,NA,doi:10.1007/s12225-012-9402-4,www.ipni.org/n/77121637-1,tax_nov,IPNI,https://doi.org/10.1007/s12225-012-9402-4
Hypolepis forzzae,Dennstaedtiaceae,Hypolepis,forzzae,spec.,Amer. Fern J. 108(4): 164. 2018 [21 Dec 2018] ,Amer. Fern J.,2018,"Amazonas (Brazil North, Brazil, Southern America)",77194769-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2018&rft.issue=4&rft.spage=164&rft.volume=108&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"doi:10.1640/0002-8444-108.4.151 The specific epithet honors Dr. Rafaela Campostrini Forzza (1972–), researcher and herbarium curator of Jardim Botânico do Rio de Janeiro (RB).",www.ipni.org/n/77194769-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-108.4.151
Hypolepis miodelii,Dennstaedtiaceae,Hypolepis,miodelii,spec.,Amer. Fern J. 108(4): 165. 2018 [21 Dec 2018] ,Amer. Fern J.,2018,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77194770-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2018&rft.issue=4&rft.spage=165&rft.volume=108&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"doi:10.1640/0002-8444-108.4.151 The specific epithet honours Dr. Miodeli Nogueira Jr. (1981–), assistant professor and researcher at Universidade Federal da Paraíba.",www.ipni.org/n/77194770-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-108.4.151
Hypolepis serrata,Dennstaedtiaceae,Hypolepis,serrata,spec.,"Crypt. Vasc. Bresil 1: 53, t.13, f.3. 1869 [Nov 1869] ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil, Southern America)",17126830-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=53&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17126830-1,tax_nov,IPNI,NA
Lindsaea cyclophylla,Dennstaedtiaceae,Lindsaea,cyclophylla,spec.,"Acta Bot. Neerl. 6: 264, f.90,91. 1957 ",Acta Bot. Neerl.,1957,"Brazil (Amazonas), Venezuela &amp; Colombia (Vaupes)",140590-2,NA,NA,www.ipni.org/n/140590-2,tax_nov,IPNI,NA
Lindsaea hemiptera,Dennstaedtiaceae,Lindsaea,hemiptera,spec.,"Acta Bot. Neerl. 6: 218, f.70. 1957 ",Acta Bot. Neerl.,1957,Venezuela &amp; Brazil (Amazonas),140607-2,NA,NA,www.ipni.org/n/140607-2,tax_nov,IPNI,NA
Lindsaea pietrobomii,Dennstaedtiaceae,Lindsaea,pietrobomii,spec.,Brittonia 72(2): 129. 2020 [5 Feb 2020] [epublished],Brittonia,2020,"Amazonas (Brazil North, Brazil, Southern America)",77210829-1,NA,"doi:10.1007/s12228-020-09606-z The specific epithet honours Dr. Marcio Roberto Pietrobom, eminent Brazilian pteridologist who has carried out several studies in the Brazilian Amazon.",www.ipni.org/n/77210829-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-020-09606-z
Lindsaea tetraptera,Dennstaedtiaceae,Lindsaea,tetraptera,spec.,"Acta Bot. Neerl. 6: 181, f.38. 1957 ",Acta Bot. Neerl.,1957,"Colombia (Amazonas), Venezuela &amp; Brazil (Amazonas)",140669-2,NA,NA,www.ipni.org/n/140669-2,tax_nov,IPNI,NA
Lindsaea ulei,Dennstaedtiaceae,Lindsaea,ulei,spec.,Hedwigia 44: 365. 1905 ,Hedwigia,1905,Brazil (Southern America),140675-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=365&rft.volume=44&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/140675-2,tax_nov,IPNI,NA
Lonchitis zahlbruckneri,Dennstaedtiaceae,Lonchitis,zahlbruckneri,spec.,Magyar Bot. Lapok 13: 49. 1914 ,Magyar Bot. Lapok,1914,Brazil (Southern America),143216-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=49&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/115966&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/143216-2,tax_nov,IPNI,NA
Microlepia lindsayiformis,Dennstaedtiaceae,Microlepia,lindsayiformis,spec.,"Crypt. Vasc. Bresil 1: 152 (t.51, f.2). 1869 ",Crypt. Vasc. Bresil,1869,Brazil (Southern America),160158-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=152&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,as lindsayaeformis,www.ipni.org/n/160158-2,tax_nov,IPNI,NA
Saccoloma membranaceum,Dennstaedtiaceae,Saccoloma,membranaceum,spec.,Amer. Fern J. 74(4): 119. 1984 [28 Dec 1984] ,Amer. Fern J.,1984,Brazil.,17509460-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1984&rft.issue=4&rft.spage=119&rft.volume=74&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17509460-1,tax_nov,IPNI,NA
