name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aspidium cheilanthoides,284540,Aspidium cheilanthoides,21521-2,Dryopteridaceae,Aspidium,cheilanthoides,spec.,Linnaea 22: 578. 1849 ,Linnaea,1849,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1849&rft.spage=578&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/21521-2,tax_nov,IPNI,NA
Aspidium dicksonioides,92142,Aspidium dicksonioides,21562-2,Dryopteridaceae,Aspidium,dicksonioides,spec.,Crypt. Vasc. Bresil 1: 143. 1869 ,Crypt. Vasc. Bresil,1869,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=143&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/21562-2,tax_nov,IPNI,NA
Aspidium funestum,92144,Aspidium funestum,272740-2,Dryopteridaceae,Aspidium,funestum,spec.,Linnaea 9: 96. 1834 ,Linnaea,1834,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/1824&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272740-2,tax_nov,IPNI,NA
Aspidium heterodon,90986,Aspidium heterodon,272742-2,Dryopteridaceae,Aspidium,heterodon,spec.,Gött. Gel. Anz. 869. 1824 ,Gött. Gel. Anz.,1824,Brazil (Southern America),NA,NA,www.ipni.org/n/272742-2,tax_nov,IPNI,NA
Aspidium lugubre,284543,Aspidium lugubre,21661-2,Dryopteridaceae,Aspidium,lugubre,spec.,Abh. Senckenberg. Naturf. Ges. 2(2): 378. 1858 ; & Uber einige Farngattungen 4: 94. 1859,Abh. Senckenberg. Naturf. Ges.,1858,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1858&rft.issue=2&rft.spage=378&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/16181&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/21661-2,tax_nov,IPNI,NA
Aspidium pedicellatum,283925,Aspidium pedicellatum,21745-2,Dryopteridaceae,Aspidium,pedicellatum,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 20. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=20&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/21745-2,tax_nov,IPNI,NA
Ctenitis bigarellae,90964,Ctenitis bigarellae,60446826-2,Dryopteridaceae,Ctenitis,bigarellae,spec.,Brittonia 59(1): 29 (-32; f.1-2). 2007 [30 Mar 2007] ,Brittonia,2007,"Paraná (Brazil, Southern America)",NA,"specific anme honors: Dr. Joao José Bigarella, a geologist studying the Devonian Steep in southern Brazil.",www.ipni.org/n/60446826-2,tax_nov,IPNI,NA
Ctenitis christensenii,583430,Ctenitis christensenii,77151709-1,Dryopteridaceae,Ctenitis,christensenii,spec.,Phytotaxa 239(1): 2. 2015 [18 Dec 2015] [epublished],Phytotaxa,2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",NA,"doi:10.11646/phytotaxa.239.1.1 ; this species is dedicated to Carl Christensen, who described and named Ctenitis, in recognition for his great insights and pioneering studies about the genus",www.ipni.org/n/77151709-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.239.1.1
Ctenitis glandulosa,583431,Ctenitis glandulosa,77151710-1,Dryopteridaceae,Ctenitis,glandulosa,spec.,Phytotaxa 239(1): 6. 2015 [18 Dec 2015] [epublished],Phytotaxa,2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Guyana (Northern South America, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",NA,doi:10.11646/phytotaxa.239.1.1,www.ipni.org/n/77151710-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.239.1.1
Cyclodium pubescens,624042,Cyclodium pubescens,77213387-1,Dryopteridaceae,Cyclodium,pubescens,spec.,Willdenowia 50(2): 292. 2020 [25 Jun 2020] [epublished],Willdenowia,2020,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",NA,doi:10.3372/wi.50.50213,www.ipni.org/n/77213387-1,tax_nov,IPNI,https://doi.org/10.3372/wi.50.50213
Dryopteris abundans,283838,Dryopteris abundans,84481-2,Dryopteridaceae,Dryopteris,abundans,spec.,Hedwigia 46: 133. 1906 ,Hedwigia,1906,"Rio Grande do Sul (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=133&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/84481-2,tax_nov,IPNI,NA
Dryopteris abyssi,623255,Dryopteris abyssi,327114-2,Dryopteridaceae,Dryopteris,abyssi,spec.,Fl. Ilustr. Catarin. 1(Aspidiaceae): 156. 1979 ,Fl. Ilustr. Catarin.,1979,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/327114-2,tax_nov,IPNI,NA
Dryopteris adenopteris,283839,Dryopteris adenopteris,84490-2,Dryopteridaceae,Dryopteris,adenopteris,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 8, 6: 85, f.18. 1920 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1920,Brazil (Southern America),NA,NA,www.ipni.org/n/84490-2,tax_nov,IPNI,NA
Dryopteris anniesii,283926,Dryopteris anniesii,84519-2,Dryopteridaceae,Dryopteris,anniesii,spec.,Hedwigia 46: 118. 1906 ,Hedwigia,1906,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=118&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/84519-2,tax_nov,IPNI,NA
Dryopteris cuneata,284295,Dryopteris cuneata,84725-2,Dryopteridaceae,Dryopteris,cuneata,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. VII, 10(2): 253, f.42. 1913 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1913,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1913&rft.issue=2&rft.spage=253&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/7155&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/84725-2,tax_nov,IPNI,NA
Dryopteris cutiataensis,284296,Dryopteris cutiataensis,84727-2,Dryopteridaceae,Dryopteris,cutiataensis,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: 27 (t.7,11, f.1-2). 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/84727-2,tax_nov,IPNI,NA
Dryopteris eugenii,283840,Dryopteris eugenii,84664-2,Dryopteridaceae,Dryopteris,eugenii,spec.,"Rodriguésia 4: 298, t.2. 1940 ",Rodriguésia,1940,"Ceará (Brazil, Southern America)",NA,NA,www.ipni.org/n/84664-2,tax_nov,IPNI,NA
