name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Elaphoglossum amorimii,Lomariopsidaceae,Elaphoglossum,amorimii,spec.,Brittonia 66(4): 377. 2014 [30 Aug 2014] [epublished],Brittonia,2014,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",77147885-1,NA,doi:10.1007/s12228-014-9352-2 Named for André M. Amorim.,www.ipni.org/n/77147885-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-014-9352-2
Elaphoglossum apparicioi,Lomariopsidaceae,Elaphoglossum,apparicioi,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 17. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,"Minas Gerais (Brazil, Southern America)",89036-2,NA,NA,www.ipni.org/n/89036-2,tax_nov,IPNI,NA
Elaphoglossum badinii,Lomariopsidaceae,Elaphoglossum,badinii,spec.,Bradea 8(40): 278 (-279; f.1A-B). 2001 [21 Dec 2001] ,Bradea,2001,"Ouro Preto, Cachoeira das Andorinhas, Minas Gerais (Brazil, Southern America)",323350-2,NA,"specific epithet honors: José Badnini (1912-1991), a pterydologist",www.ipni.org/n/323350-2,tax_nov,IPNI,NA
Elaphoglossum beauverdii,Lomariopsidaceae,Elaphoglossum,beauverdii,spec.,"Bull. Soc. Bot. Genève ser. 2, 6: 134, 171, f.1-6. 1914 ",Bull. Soc. Bot. Genève,1914,Brazil (Southern America),89050-2,NA,NA,www.ipni.org/n/89050-2,tax_nov,IPNI,NA
Elaphoglossum beckeri,Lomariopsidaceae,Elaphoglossum,beckeri,spec.,"Bradea 1(1): 8, t.4. 1969 ",Bradea,1969,"Ilha da Trinidade, Brazil (Southern America)",89051-2,NA,NA,www.ipni.org/n/89051-2,tax_nov,IPNI,NA
Elaphoglossum bicolor,Lomariopsidaceae,Elaphoglossum,bicolor,spec.,Hedwigia 46: 150. 1907 ,Hedwigia,1907,Brazil (Southern America),89053-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=150&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89053-2,tax_nov,IPNI,NA
Elaphoglossum bradeanum,Lomariopsidaceae,Elaphoglossum,bradeanum,spec.,"Amer. Fern J. 101(4): 261, f.1A-C. 2012 [dt. 2011; issued 12 Apr 2012] ",Amer. Fern J.,2012,"Minas Gerais (Brazil, Southern America)",60458649-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2012&rft.issue=4&rft.spage=261&rft.volume=101&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"Eponymy: We named this species in honor of Alexander Curt Brade, a botanist who contributed to the knowledge of this genus in Brazil in the last century. doi:10.1640/0002-8444-101.4.261",www.ipni.org/n/60458649-2,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-101.4.261
Elaphoglossum brevipetiolatum,Lomariopsidaceae,Elaphoglossum,brevipetiolatum,spec.,Brittonia 66(4): 384. 2014 [30 Aug 2014] [epublished],Brittonia,2014,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77147890-1,NA,doi:10.1007/s12228-014-9352-2,www.ipni.org/n/77147890-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-014-9352-2
Elaphoglossum coimbra-buenoi,Lomariopsidaceae,Elaphoglossum,coimbra-buenoi,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 22. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,"Goiás (Brazil, Southern America)",89087-2,NA,NA,www.ipni.org/n/89087-2,tax_nov,IPNI,NA
Elaphoglossum commissurale,Lomariopsidaceae,Elaphoglossum,commissurale,spec.,"Amer. Fern J. 101(4): 263, f.1D-G. 2012 [dt. 2011; issued 12 Apr 2012] ",Amer. Fern J.,2012,"Minas Gerais (Brazil, Southern America)",60458650-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2012&rft.issue=4&rft.spage=263&rft.volume=101&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Etymology: Elaphoglossum commissurale is characterized by the commissural vein of the sterile fronds ... doi:10.1640/0002-8444-101.4.261,www.ipni.org/n/60458650-2,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-101.4.261
Elaphoglossum didymoglossoides,Lomariopsidaceae,Elaphoglossum,didymoglossoides,spec.,Bot. Tidsskr. 26: 299. 1904 ,Bot. Tidsskr.,1904,Brazil (Southern America),89114-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=299&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/6047&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89114-2,tax_nov,IPNI,NA
Elaphoglossum dusenii,Lomariopsidaceae,Elaphoglossum,dusenii,spec.,Ark. Bot. 9(15): 2. 1910 ,Ark. Bot.,1910,Brazil (Southern America),89120-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.issue=15&rft.spage=2&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89120-2,tax_nov,IPNI,NA
Elaphoglossum dutrae,Lomariopsidaceae,Elaphoglossum,dutrae,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 18. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,"Rio de Janeiro (Brazil, Southern America)",89122-2,NA,NA,www.ipni.org/n/89122-2,tax_nov,IPNI,NA
Elaphoglossum edwallii,Lomariopsidaceae,Elaphoglossum,edwallii,spec.,Hedwigia 56: 371. 1915 ,Hedwigia,1915,Brazil (Southern America),89125-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=371&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89125-2,tax_nov,IPNI,NA
Elaphoglossum ernestii,Lomariopsidaceae,Elaphoglossum,ernestii,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 19. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,"Minas Gerais (Brazil, Southern America)",89136-2,NA,NA,www.ipni.org/n/89136-2,tax_nov,IPNI,NA
Elaphoglossum gertii,Lomariopsidaceae,Elaphoglossum,gertii,spec.,Fl. Ilustr. Catarin. 1(Aspid.): 37. 1979 ,Fl. Ilustr. Catarin.,1979,Brazil.,17551640-1,NA,NA,www.ipni.org/n/17551640-1,tax_nov,IPNI,NA
Elaphoglossum heringeri,Lomariopsidaceae,Elaphoglossum,heringeri,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 20. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,Brazil (Southern America),89169-2,NA,NA,www.ipni.org/n/89169-2,tax_nov,IPNI,NA
Elaphoglossum itatiayense,Lomariopsidaceae,Elaphoglossum,itatiayense,spec.,Hedwigia 56: 370. 1915 ,Hedwigia,1915,Brazil (Southern America),89185-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=370&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89185-2,tax_nov,IPNI,NA
Elaphoglossum juruenae,Lomariopsidaceae,Elaphoglossum,juruenae,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas [Publ. 33], Annexo 5, Bot. pt. 7: 20, pl. 3. 1916 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1916,Brazil (Southern America),89186-2,NA,NA,www.ipni.org/n/89186-2,tax_nov,IPNI,NA
Elaphoglossum lagesianum,Lomariopsidaceae,Elaphoglossum,lagesianum,spec.,Hedwigia 46: 152. 1907 ,Hedwigia,1907,Brazil (Southern America),89187-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=152&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/89187-2,tax_nov,IPNI,NA
Elaphoglossum matogrossense,Lomariopsidaceae,Elaphoglossum,matogrossense,spec.,Kew Bull. 77(3): 722. 2022 [29 Jul 2022] [epublished],Kew Bull.,2022,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",77301105-1,NA,doi:10.1007/S12225-022-10043-2,www.ipni.org/n/77301105-1,tax_nov,IPNI,https://doi.org/10.1007/S12225-022-10043-2
