name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Diphasiastrum falcatum,283093,Diphasiastrum falcatum,60471860-2,Lycopodiaceae,Diphasiastrum,falcatum,spec.,"Rodriguésia 65(2): 306, f.6a-b,7. 2014 ",Rodriguésia,2014,"Rio de Janeiro (Brazil, Southern America)",NA,"In the cited type date 27.II.193, the year 193 is an error for 1933 (vide the authors (via Fabiana R. Filardi; RB))",www.ipni.org/n/60471860-2,tax_nov,IPNI,NA
Huperzia badiniana,91375,Huperzia badiniana,278319-2,Lycopodiaceae,Huperzia,badiniana,spec.,"Bradea 5: 7, fig. 1987 ",Bradea,1987,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/278319-2,tax_nov,IPNI,NA
Huperzia hexasticha,91403,Huperzia hexasticha,278371-2,Lycopodiaceae,Huperzia,hexasticha,spec.,"Bradea 5: 11, fig. 1987 ",Bradea,1987,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/278371-2,tax_nov,IPNI,NA
Huperzia itambensis,91407,Huperzia itambensis,278379-2,Lycopodiaceae,Huperzia,itambensis,spec.,"Bradea 5: 12, fig. 1987 ",Bradea,1987,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/278379-2,tax_nov,IPNI,NA
Huperzia recurvifolia,91427,Huperzia recurvifolia,17530210-1,Lycopodiaceae,Huperzia,recurvifolia,spec.,"Not. Mus. La Plata, Bot. 21(103): 210. 1989 ","Not. Mus. La Plata, Bot.",1989,Brazil.,NA,NA,www.ipni.org/n/17530210-1,tax_nov,IPNI,NA
Lycopodiella benjaminiana,91453,Lycopodiella benjaminiana,303865-2,Lycopodiaceae,Lycopodiella,benjaminiana,spec.,"Bradea 6(3): 22, f.1-5. 1991 ",Bradea,1991,"Mato Grosso (Brazil, Southern America)",NA,NA,www.ipni.org/n/303865-2,tax_nov,IPNI,NA
Lycopodiella camporum,91456,Lycopodiella camporum,279975-2,Lycopodiaceae,Lycopodiella,camporum,spec.,"Bradea 5: 24, fig. 1987 ",Bradea,1987,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/279975-2,tax_nov,IPNI,NA
Lycopodiella geometra,91468,Lycopodiella geometra,279982-2,Lycopodiaceae,Lycopodiella,geometra,spec.,"Bradea 5: 30, fig. 1987 ",Bradea,1987,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/279982-2,tax_nov,IPNI,NA
Lycopodium bradei,91455,Lycopodium bradei,280004-2,Lycopodiaceae,Lycopodium,bradei,spec.,Revista Sudamer. Bot. 8: 21. 1949 ,Revista Sudamer. Bot.,1949,Brazil (Southern America),NA,NA,www.ipni.org/n/280004-2,tax_nov,IPNI,NA
Lycopodium carnosum,91458,Lycopodium carnosum,147192-2,Lycopodiaceae,Lycopodium,carnosum,spec.,"Bol. Commiss. Geogr. Estado Minas Gerais 2, no. 5: 119, pl.7, 8. 1898 ",Bol. Commiss. Geogr. Estado Minas Gerais,1898,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/147192-2,tax_nov,IPNI,NA
Lycopodium catharinae,91381,Lycopodium catharinae,280014-2,Lycopodiaceae,Lycopodium,catharinae,spec.,"Bull. Herb. Boissier ser. 2, 2: 700. 1902 ",Bull. Herb. Boissier,1902,Brazil (Southern America),NA,NA,www.ipni.org/n/280014-2,tax_nov,IPNI,NA
Lycopodium christii,91383,Lycopodium christii,147226-2,Lycopodiaceae,Lycopodium,christii,spec.,"Bol. Commiss. Geogr. Estado Minas Gerais 2, no. 5: 117, pl.1. 1898 ",Bol. Commiss. Geogr. Estado Minas Gerais,1898,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/147226-2,tax_nov,IPNI,NA
Lycopodium contextum,91467,Lycopodium contextum,147288-2,Lycopodiaceae,Lycopodium,contextum,spec.,"Icon. Pl. Crypt. 38, fig. 1838 ",Icon. Pl. Crypt.,1838,Brazil (Southern America),NA,NA,www.ipni.org/n/147288-2,tax_nov,IPNI,NA
Lycopodium deminuens,91388,Lycopodium deminuens,147334-2,Lycopodiaceae,Lycopodium,deminuens,spec.,"Bot. Jahrb. Syst. 43(1-2, Beibl. 98): 33, 44. 1909 [23 Feb 1909] ",Bot. Jahrb. Syst.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/147334-2,tax_nov,IPNI,NA
