name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Campyloneurum atlanticum,605426,Campyloneurum atlanticum,77164614-1,Polypodiaceae,Campyloneurum,atlanticum,spec.,Amer. Fern J. 107(1): 3. 2017 [24 May 2017] ,Amer. Fern J.,2017,"Paraná (Brazil South, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Paraguay (Southern South America, Southern America);Misiones (Argentina Northeast, Southern South America, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2017&rft.issue=1&rft.spage=3&rft.volume=107&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.1640/0002-8444-107.1.1,www.ipni.org/n/77164614-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-107.1.1
Campyloneurum centrobrasilianum,91552,Campyloneurum centrobrasilianum,274002-2,Polypodiaceae,Campyloneurum,centrobrasilianum,spec.,"Amer. Fern J. 78(1): 16 (-17), figs. 1988 [2 Sep 1988] ",Amer. Fern J.,1988,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1988&rft.issue=1&rft.spage=16&rft.volume=78&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/274002-2,tax_nov,IPNI,NA
Campyloneurum wacketii,91570,Campyloneurum wacketii,274011-2,Polypodiaceae,Campyloneurum,wacketii,spec.,"Amer. Fern J. 78(1): 27, figs. 1988 [2 Sep 1988] ",Amer. Fern J.,1988,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1988&rft.issue=1&rft.spage=27&rft.volume=78&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/274011-2,tax_nov,IPNI,NA
Microgramma baldwinii,91656,Microgramma baldwinii,160129-2,Polypodiaceae,Microgramma,baldwinii,spec.,"Arch. Jard. Bot. Rio de Janeiro 18: 30, t.1. 1965 ",Arch. Jard. Bot. Rio de Janeiro,1965,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/160129-2,tax_nov,IPNI,NA
Microgramma microsoroides,91665,Microgramma microsoroides,77098906-1,Polypodiaceae,Microgramma,microsoroides,spec.,Syst. Bot. 33(4): 631 (630-635; f.2). 2008 [13 Nov 2008] ,Syst. Bot.,2008,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77098906-1,tax_nov,IPNI,NA
Niphidium rufosquamatum,91694,Niphidium rufosquamatum,17445830-1,Polypodiaceae,Niphidium,rufosquamatum,spec.,Amer. Fern J. 62(4): 115. 1972 [29 Dec 1972] ,Amer. Fern J.,1972,Brazil;Argentina.;,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.issue=4&rft.spage=115&rft.volume=62&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17445830-1,tax_nov,IPNI,NA
Polypodium achilleifolium,91673,Polypodium achilleifolium,206601-2,Polypodiaceae,Polypodium,achilleifolium,spec.,Enum. Filic. 116. 1824 ,Enum. Filic.,1824,Brazil (Southern America),NA,NA,www.ipni.org/n/206601-2,tax_nov,IPNI,NA
Polypodium aculeatum,117183,Polypodium aculeatum,328723-2,Polypodiaceae,Polypodium,aculeatum,spec.,Opusc. Sci. 3: 228. 1819 ,Opusc. Sci.,1819,"montaneas de Rio de Janeiro, Brazil (Southern America)",NA,later homonym (non Linnaeus 1753),www.ipni.org/n/328723-2,tax_nov,IPNI,NA
Polypodium albidulum,91577,Polypodium albidulum,206612-2,Polypodiaceae,Polypodium,albidulum,spec.,Fl. Bras. (Martius) 1(2): 598. 1870 [1 May 1870] ,Fl. Bras. (Martius),1870,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134628&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206612-2,tax_nov,IPNI,NA
Polypodium alborufulum,117468,Polypodium alborufulum,206614-2,Polypodiaceae,Polypodium,alborufulum,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: 29, t.10,11, f.4,5. 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Espirito Santo &amp; Rio de Janeiro, Brazil (Southern America)",NA,NA,www.ipni.org/n/206614-2,tax_nov,IPNI,NA
Polypodium austrobrasilianum,91551,Polypodium austrobrasilianum,206705-2,Polypodiaceae,Polypodium,austrobrasilianum,spec.,J. Bot. 77: 347. 1939 ,J. Bot.,1939,"Paraná (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=347&rft.volume=77&rft_id=http://www.biodiversitylibrary.org/bibliography/15787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206705-2,tax_nov,IPNI,NA
Polypodium catharinae,91747,Polypodium catharinae,318748-2,Polypodiaceae,Polypodium,catharinae,spec.,"Pl. Voy. Russes Monde 1, t.9. 1810 ",Pl. Voy. Russes Monde,1810,"Insulae catharinae, Brazil (Southern America)",NA,[Gandhi 1 Oct 1999],www.ipni.org/n/318748-2,tax_nov,IPNI,NA
Polypodium cinerascens,593656,Polypodium cinerascens,206808-2,Polypodiaceae,Polypodium,cinerascens,spec.,"Ark. Bot. 1: 238, pl.11, f.6. 1903 ",Ark. Bot.,1903,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=238&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206808-2,tax_nov,IPNI,NA
Polypodium glandulosissimum,91750,Polypodium glandulosissimum,206997-2,Polypodiaceae,Polypodium,glandulosissimum,spec.,"Arq. Inst. Biol. Veg. 1(3): 230, f.6 & pl.6, f.2. 1935 [Aug 1935] ",Arq. Inst. Biol. Veg.,1935,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=3&rft.spage=230&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/206997-2,tax_nov,IPNI,NA
Polypodium glaziovii,91579,Polypodium glaziovii,207001-2,Polypodiaceae,Polypodium,glaziovii,spec.,Ann. Bot. (Oxford) 5(4): 465. 1891 [Nov 1891] ,Ann. Bot. (Oxford),1891,"Southern Brazil, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=4&rft.spage=465&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/207001-2,tax_nov,IPNI,NA
Polypodium gradatum,91678,Polypodium gradatum,207006-2,Polypodiaceae,Polypodium,gradatum,spec.,Fl. Bras. (Martius) 1(2): 513. 1870 [1 May 1870] ,Fl. Bras. (Martius),1870,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134586&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/207006-2,tax_nov,IPNI,NA
Polypodium grande,91111,Polypodium grande,283552-2,Polypodiaceae,Polypodium,grande,spec.,Delic. Prag. 1: 171. 1822 [Jul 1822] ,Delic. Prag.,1822,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1822&rft.spage=171&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/46467&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/283552-2,tax_nov,IPNI,NA
Polypodium gregale,91729,Polypodium gregale,17450390-1,Polypodiaceae,Polypodium,gregale,spec.,"Flora Ilustr. Catarin. (Poli.) 130, f.41. 1970 ",Flora Ilustr. Catarin.,1970,Brazil (Rio Grande do Sul).,NA,NA,www.ipni.org/n/17450390-1,tax_nov,IPNI,NA
Polypodium hirsutulum,598424,Polypodium hirsutulum,17190980-1,Polypodiaceae,Polypodium,hirsutulum,spec.,"Pl. Bras. Nov. Gen. 21, t.29, f.2. 1825 ",Pl. Bras. Nov. Gen.,1825,Brazil (Southern America),NA,NA,www.ipni.org/n/17190980-1,tax_nov,IPNI,NA
Polypodium hoehnei,117451,Polypodium hoehnei,207045-2,Polypodiaceae,Polypodium,hoehnei,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas Annexo 5, Bot. 7: 26, pl.4. 1916 Publ. 33",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1916,Brazil (Southern America),NA,NA,www.ipni.org/n/207045-2,tax_nov,IPNI,NA
