name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Selaginella agioneuma,604837,Selaginella agioneuma,77178084-1,Selaginellaceae,Selaginella,agioneuma,spec.,PeerJ 6(e4708): 4. 2018 [11 May 2018] [epublished],PeerJ,2018,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.7717/peerj.4708 the specific epithet derives from the Greek 'Agio pnévma' meaning holy spirit and is in reference to the Brazilian State from which it was collected,www.ipni.org/n/77178084-1,tax_nov,IPNI,https://doi.org/10.7717/peerj.4708
Selaginella alstonii,582529,Selaginella alstonii,77147598-1,Selaginellaceae,Selaginella,alstonii,spec.,PhytoKeys 50: 65. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873 Named after Arthur Hugh Garfit Alston.,www.ipni.org/n/77147598-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella altheae,604608,Selaginella altheae,77173690-1,Selaginellaceae,Selaginella,altheae,spec.,PhytoKeys 91: 15. 2017 [28 Nov 2017] [epublished],PhytoKeys,2017,"Venezuela (Northern South America, Southern America);Colombia (Western South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);",NA,"doi:10.3897/phytokeys.91.21417 the species name dedicated to the author's mother, Althea Quintero",www.ipni.org/n/77173690-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.91.21417
Selaginella amazonica,92049,Selaginella amazonica,231969-2,Selaginellaceae,Selaginella,amazonica,spec.,"Fl. Bras. (Martius) 1(2): 124, t.6. 1840 ",Fl. Bras. (Martius),1840,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134352&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/231969-2,tax_nov,IPNI,NA
Selaginella blepharodella,582530,Selaginella blepharodella,77147599-1,Selaginellaceae,Selaginella,blepharodella,spec.,PhytoKeys 50: 68. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147599-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella boomii,582600,Selaginella boomii,60471659-2,Selaginellaceae,Selaginella,boomii,spec.,Brittonia 67(4): 329. 2015 [21 Oct 2015] [epublished],Brittonia,2015,"Venezuela (Northern South America, Southern America);Guyana (Northern South America, Southern America);Suriname (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);Rondônia (Brazil North, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);",NA,doi:10.1007/s12228-015-9398-9 Named after Brian Boom.,www.ipni.org/n/60471659-2,tax_nov,IPNI,https://doi.org/10.1007/s12228-015-9398-9
Selaginella chromatophylla,604936,Selaginella chromatophylla,232037-2,Selaginellaceae,Selaginella,chromatophylla,spec.,"Bol. Commiss. Geogr. Estado Sao Paulo 2(5): 124, t.11, f.2. 1898 ",Bol. Commiss. Geogr. Estado Sao Paulo,1898,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/232037-2,tax_nov,IPNI,NA
Selaginella crinita,582531,Selaginella crinita,77147600-1,Selaginellaceae,Selaginella,crinita,spec.,PhytoKeys 50: 74. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147600-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella flexuosa,92078,Selaginella flexuosa,232098-2,Selaginellaceae,Selaginella,flexuosa,spec.,Flora 21(13): 197. 1838 [7 Apr 1838] ,Flora,1838,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.issue=13&rft.spage=197&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232098-2,tax_nov,IPNI,NA
Selaginella fragillima,92079,Selaginella fragillima,232099-2,Selaginellaceae,Selaginella,fragillima,spec.,"Bol. Commiss. Geogr. Estado Sao Paulo 2(5): 127, t.11, f.5. 1898 , as fragilima; Silveira, Fl. Montium, 2: 95, tab. 39.  1931.  Brazil (Minas~ Geraes)",Bol. Commiss. Geogr. Estado Sao Paulo,1898,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/232099-2,tax_nov,IPNI,NA
Selaginella germinans,605203,Selaginella germinans,77186979-1,Selaginellaceae,Selaginella,germinans,spec.,Bot. Lett. 165(3-4): 488. 2018 [20 Aug 2018] [epublished],Bot. Lett.,2018,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,doi:10.1080/23818107.2018.1496849,www.ipni.org/n/77186979-1,tax_nov,IPNI,https://doi.org/10.1080/23818107.2018.1496849
Selaginella glazioviana,604937,Selaginella glazioviana,232105-2,Selaginellaceae,Selaginella,glazioviana,spec.,Hedwigia 43: 36. 1904 ,Hedwigia,1904,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=36&rft.volume=43&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232105-2,tax_nov,IPNI,NA
Selaginella kochii,92086,Selaginella kochii,232133-2,Selaginellaceae,Selaginella,kochii,spec.,Zwei Jahre Unter Indianern; Reisen NordW. Brasil. 2: 361. 1910 ; Rep. Spec. Nov. 8: 151.  1910,Zwei Jahre Unter Indianern; Reisen NordW. Brasil.,1910,"Brazil, acc. to Fedde, Brazil (Southern America)",NA,NA,www.ipni.org/n/232133-2,tax_nov,IPNI,NA
Selaginella kriegeriana,608713,Selaginella kriegeriana,77195104-1,Selaginellaceae,Selaginella,kriegeriana,spec.,Syst. Bot. 43(4): 921. 2018 [28 Nov 2018] [epublished],Syst. Bot.,2018,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1600/036364418X697643 This species is named in honor of the priest Dr. Leopoldo Krieger.,www.ipni.org/n/77195104-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697643
Selaginella magnafornensis,604839,Selaginella magnafornensis,77178085-1,Selaginellaceae,Selaginella,magnafornensis,spec.,PeerJ 6(e4708): 11. 2018 [11 May 2018] [epublished],PeerJ,2018,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.7717/peerj.4708,www.ipni.org/n/77178085-1,tax_nov,IPNI,https://doi.org/10.7717/peerj.4708
Selaginella manausensis,92054,Selaginella manausensis,232164-2,Selaginellaceae,Selaginella,manausensis,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 45: 2(-3), figs. 1974 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1974,Brazil (Southern America),NA,NA,www.ipni.org/n/232164-2,tax_nov,IPNI,NA
Selaginella mendoncae,92094,Selaginella mendoncae,232170-2,Selaginellaceae,Selaginella,mendoncae,spec.,Nat. Pflanzenfam. [Engler & Prantl] 1(4): 693. 1901 ,Nat. Pflanzenfam. [Engler & Prantl],1901,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=4&rft.spage=693&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232170-2,tax_nov,IPNI,NA
Selaginella monticola,582917,Selaginella monticola,77150797-1,Selaginellaceae,Selaginella,monticola,spec.,Phytotaxa 233(1): 154. 2015 [4 Nov 2015] [epublished],Phytotaxa,2015,"São Paulo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",NA,doi:10.11646/phytotaxa.233.1.3,www.ipni.org/n/77150797-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.233.1.3
Selaginella mucronata,582558,Selaginella mucronata,77147601-1,Selaginellaceae,Selaginella,mucronata,spec.,PhytoKeys 50: 78. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147601-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella mucugensis,582559,Selaginella mucugensis,77147602-1,Selaginellaceae,Selaginella,mucugensis,spec.,PhytoKeys 50: 82. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147602-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella nanuzae,582848,Selaginella nanuzae,77151571-1,Selaginellaceae,Selaginella,nanuzae,spec.,PhytoKeys 57: 98. 2015 [15 Dec 2015] [epublished],PhytoKeys,2015,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.3897/phytokeys.57.6489 ; this species is named for Professor, Dra. Nanuza Luiza de Menezes",www.ipni.org/n/77151571-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.57.6489
Selaginella neospringiana,582853,Selaginella neospringiana,77151572-1,Selaginellaceae,Selaginella,neospringiana,spec.,PhytoKeys 57: 103. 2015 [15 Dec 2015] [epublished],PhytoKeys,2015,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.3897/phytokeys.57.6489 ; the specific epithet honors Anton Friedrich Spring (1814–1872), a German physician and botanist",www.ipni.org/n/77151572-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.57.6489
Selaginella pellucidopunctata,582918,Selaginella pellucidopunctata,77151573-1,Selaginellaceae,Selaginella,pellucidopunctata,spec.,PhytoKeys 57: 107. 2015 [15 Dec 2015] [epublished],PhytoKeys,2015,"Alagoas (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);",NA,"doi:10.3897/phytokeys.57.6489 ; the specific epithet is derived from the Latin pellucidus, meaning translucent, and punctatus",www.ipni.org/n/77151573-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.57.6489
Selaginella salinoi,582519,Selaginella salinoi,77149698-1,Selaginellaceae,Selaginella,salinoi,spec.,Phytotaxa 224(3): 292. 2015 [2 Sep 2015] [epublished],Phytotaxa,2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.224.3.8 , the species is named in honor of Dr. Alexandre Salino",www.ipni.org/n/77149698-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.224.3.8
Selaginella saltuicola,582560,Selaginella saltuicola,77147603-1,Selaginellaceae,Selaginella,saltuicola,spec.,PhytoKeys 50: 85. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147603-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella sellowii,92108,Selaginella sellowii,232292-2,Selaginellaceae,Selaginella,sellowii,spec.,Hedwigia 39: 306. 1900 ,Hedwigia,1900,"Praia de San Diago, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=306&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"The LT. information is from McVaugh, Fl. Novo-Galiciana 17: 428. 1992.",www.ipni.org/n/232292-2,tax_nov,IPNI,NA
Selaginella sematophylla,582599,Selaginella sematophylla,77147604-1,Selaginellaceae,Selaginella,sematophylla,spec.,PhytoKeys 50: 89. 2015 [16 Jun 2015] [epublished],PhytoKeys,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",NA,doi:10.3897/phytokeys.50.4873,www.ipni.org/n/77147604-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.50.4873
Selaginella simplex,92110,Selaginella simplex,232300-2,Selaginellaceae,Selaginella,simplex,spec.,J. Bot. 23: 293. 1885 [Oct 1885] ,J. Bot.,1885,"Pará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1885&rft.spage=293&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/15787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232300-2,tax_nov,IPNI,NA
Selaginella squamulosa,604619,Selaginella squamulosa,77173691-1,Selaginellaceae,Selaginella,squamulosa,spec.,PhytoKeys 91: 24. 2017 [28 Nov 2017] [epublished],PhytoKeys,2017,"Venezuela (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);",NA,"doi:10.3897/phytokeys.91.21417 the specific epithet derives from the Latin “squamulosus”, meaning minutely scaly and refers to the tiny, stiff leaves that resemble small scales",www.ipni.org/n/77173691-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.91.21417
Selaginella stomatoloma,582763,Selaginella stomatoloma,77151574-1,Selaginellaceae,Selaginella,stomatoloma,spec.,PhytoKeys 57: 113. 2015 [15 Dec 2015] [epublished],PhytoKeys,2015,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.3897/phytokeys.57.6489 ; the specific epithet is derived from the Greek stoma, meaning mouth, and loma, fringe or border; together these refer to the many stomata found on leaf margins",www.ipni.org/n/77151574-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.57.6489
Selaginella surucucusensis,604621,Selaginella surucucusensis,77165164-1,Selaginellaceae,Selaginella,surucucusensis,spec.,Kew Bull. 72(3)-40: 1. 2017 [15 Sep 2017] [epublished],Kew Bull.,2017,"Roraima (Brazil North, Brazil, Southern America)",NA,doi:10.1007/s12225-017-9714-5,www.ipni.org/n/77165164-1,tax_nov,IPNI,https://doi.org/10.1007/s12225-017-9714-5
Selaginella tenuissima,92119,Selaginella tenuissima,232321-2,Selaginellaceae,Selaginella,tenuissima,spec.,"Crypt. Vasc. Bresil 2: 98, t.108, f.1. 1873 ",Crypt. Vasc. Bresil,1873,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=98&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232321-2,tax_nov,IPNI,NA
Selaginella terezoana,92120,Selaginella terezoana,232322-2,Selaginellaceae,Selaginella,terezoana,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 45: [1] (-2), figs. 1974 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1974,"Roraima (Terr.) (Brazil, Southern America)",NA,NA,www.ipni.org/n/232322-2,tax_nov,IPNI,NA
Selaginella trygonoides,604630,Selaginella trygonoides,77151575-1,Selaginellaceae,Selaginella,trygonoides,spec.,PhytoKeys 57: 116. 2015 [15 Dec 2015] [epublished],PhytoKeys,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.3897/phytokeys.57.6489 ; the specific epithet is derived from the Latin “trigon/trygonus”, meaning stingray; it alludes to the shape of the median leaf, which resembles these marine fish",www.ipni.org/n/77151575-1,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.57.6489
Selaginella valida,92124,Selaginella valida,232338-2,Selaginellaceae,Selaginella,valida,spec.,J. Bot. 70: 281. 1932 ,J. Bot.,1932,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=281&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/15787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/232338-2,tax_nov,IPNI,NA
Selaginella ventricosa,604847,Selaginella ventricosa,77178086-1,Selaginellaceae,Selaginella,ventricosa,spec.,PeerJ 6(e4708): 15. 2018 [11 May 2018] [epublished],PeerJ,2018,"Roraima (Brazil North, Brazil, Southern America)",NA,doi:10.7717/peerj.4708,www.ipni.org/n/77178086-1,tax_nov,IPNI,https://doi.org/10.7717/peerj.4708
Selaginella zartmanii,604848,Selaginella zartmanii,77178087-1,Selaginellaceae,Selaginella,zartmanii,spec.,PeerJ 6(e4708): 21. 2018 [11 May 2018] [epublished],PeerJ,2018,"Amazonas (Brazil North, Brazil, Southern America)",NA,doi:10.7717/peerj.4708 the specific epithet honours Professor Dr. Charles Eugene Zartman,www.ipni.org/n/77178087-1,tax_nov,IPNI,https://doi.org/10.7717/peerj.4708
