name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Goniopteris bradei,602690,Goniopteris bradei,77160656-1,Thelypteridaceae,Goniopteris,bradei,spec.,Brittonia 68(4): 448. 2016 [12 Jul 2016] [epublished],Brittonia,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1007/s12228-016-9440-6 the specific epithet honours Alexandre Curt Brade,www.ipni.org/n/77160656-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-016-9440-6
Goniopteris platypes,284323,Goniopteris platypes,112260-2,Thelypteridaceae,Goniopteris,platypes,spec.,"Crypt. Vasc. Bresil 1: 106 (t.33, f.1('3'). 1869 [Nov 1869] ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=106&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/112260-2,tax_nov,IPNI,NA
Goniopteris salinoi,602689,Goniopteris salinoi,77160658-1,Thelypteridaceae,Goniopteris,salinoi,spec.,Brittonia 68(4): 452. 2016 [12 Jul 2016] [epublished],Brittonia,2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1007/s12228-016-9440-6 the specific epithet honours Alexandre Salino,www.ipni.org/n/77160658-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-016-9440-6
Goniopteris seidleri,582953,Goniopteris seidleri,77154506-1,Thelypteridaceae,Goniopteris,seidleri,spec.,Phytotaxa 255(3): 249. 2015 [11 Apr 2016] [epublished],Phytotaxa,2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.255.3.6 the epithet refers to the surname of the owner of some preserved forests at the type locality of this species,www.ipni.org/n/77154506-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.255.3.6
Goniopteris smithii,582952,Goniopteris smithii,77154507-1,Thelypteridaceae,Goniopteris,smithii,spec.,Phytotaxa 255(3): 251. 2015 [11 Apr 2016] [epublished],Phytotaxa,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.255.3.6 the epithet honors Dr. Alan R. Smith from the University of California at Berkeley (UC),www.ipni.org/n/77154507-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.255.3.6
Goniopteris subdimorpha,582954,Goniopteris subdimorpha,77154508-1,Thelypteridaceae,Goniopteris,subdimorpha,spec.,Phytotaxa 255(3): 253. 2015 [11 Apr 2016] [epublished],Phytotaxa,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.255.3.6 the epithet refers to the subdimorphic fronds,www.ipni.org/n/77154508-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.255.3.6
Goniopteris windischii,582951,Goniopteris windischii,77154509-1,Thelypteridaceae,Goniopteris,windischii,spec.,Phytotaxa 255(3): 255. 2015 [11 Apr 2016] [epublished],Phytotaxa,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.255.3.6 epithet is in honor of the Brazilian pteridologist Dr. Paulo Günter Windisch,www.ipni.org/n/77154509-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.255.3.6
Lastrea monosora,284536,Lastrea monosora,135979-2,Thelypteridaceae,Lastrea,monosora,spec.,Epimel. Bot. 36. 1851 [Oct 1851] ; & Abh. Kongl. Bohm. Ges. Wiss. (ser. 5) 6: 396. 1851,Epimel. Bot.,1851,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1851&rft.spage=36&rft_id=http://www.biodiversitylibrary.org/bibliography/61845&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/135979-2,tax_nov,IPNI,NA
Meniscium delicatum,602717,Meniscium delicatum,77157715-1,Thelypteridaceae,Meniscium,delicatum,spec.,Phytotaxa 273(3): 176. 2016 [9 Sep 2016] [epublished],Phytotaxa,2016,"Piauí (Brazil Northeast, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);",NA,doi:10.11646/phytotaxa.273.3.4,www.ipni.org/n/77157715-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.273.3.4
Meniscium macrophyllum,284302,Meniscium macrophyllum,157243-2,Thelypteridaceae,Meniscium,macrophyllum,spec.,"Flora 22(1, Beibl.): 44. 1839 ",Flora,1839,Brazil (Southern America),NA,NA,www.ipni.org/n/157243-2,tax_nov,IPNI,NA
Phegopteris brevinervis,91143,Phegopteris brevinervis,301817-2,Thelypteridaceae,Phegopteris,brevinervis,spec.,"Crypt. Vasc. Bresil 1: 243, t.77, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=243&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/301817-2,tax_nov,IPNI,NA
Phegopteris canescens,91102,Phegopteris canescens,282610-2,Thelypteridaceae,Phegopteris,canescens,spec.,Abh. Senckenberg. Naturf. Ges. 2: 314. 1858 ,Abh. Senckenberg. Naturf. Ges.,1858,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1858&rft.spage=314&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/16181&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Mettenius cited Polypodium canescens Kz. (invalid) as a synonym. This citation does not warrant an ex authorship.,www.ipni.org/n/282610-2,tax_nov,IPNI,NA
Phegopteris ulei,91153,Phegopteris ulei,192664-2,Thelypteridaceae,Phegopteris,ulei,spec.,"Pl. Nov. Mineir. 2: 29. 1900 ; & Bull. Herb. Boiss. Ser. 2, 2: 634.  1902.  Brazil (Santa Catharina)",Pl. Nov. Mineir.,1900,"Santa Catarina (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=29&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/192664-2,tax_nov,IPNI,NA
Thelypteris amazonica,126252,Thelypteris amazonica,77115551-1,Thelypteridaceae,Thelypteris,amazonica,spec.,Nordic J. Bot. 29(5): 611 (-614; f.1-2). 2011 [15 Oct 2011] ,Nordic J. Bot.,2011,"Pará (Brazil North, Brazil, Southern America);Maranhão (Brazil Northeast, Brazil, Southern America);",NA,doi:10.1111/j.1756-1051.2011.01332.x,www.ipni.org/n/77115551-1,tax_nov,IPNI,https://doi.org/10.1111/j.1756-1051.2011.01332.x
Thelypteris araucariensis,92164,Thelypteris araucariensis,306813-2,Thelypteridaceae,Thelypteris,araucariensis,spec.,"Darwiniana 33: 270, fig. 1995 ",Darwiniana,1995,"Mun. Sao Jose dos Pinhais, Paraná (Brazil, Southern America)",NA,NA,www.ipni.org/n/306813-2,tax_nov,IPNI,NA
Thelypteris hatschbachii,92210,Thelypteris hatschbachii,251368-2,Thelypteridaceae,Thelypteris,hatschbachii,spec.,Univ. Calif. Publ. Bot. 76: 22. 1980 ,Univ. Calif. Publ. Bot.,1980,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1980&rft.spage=22&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/251368-2,tax_nov,IPNI,NA
Thelypteris indusiata,284316,Thelypteris indusiata,77137825-1,Thelypteridaceae,Thelypteris,indusiata,spec.,Phytotaxa 156(5): 280. 2014 [28 Jan 2014] [epublished],Phytotaxa,2014,"Pará (Brazil North, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.156.5.3,www.ipni.org/n/77137825-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.156.5.3
Thelypteris littoralis,92231,Thelypteris littoralis,326833-2,Thelypteridaceae,Thelypteris,littoralis,spec.,Brittonia 54(4): 332 (-334; f.1). 2003 [16 Apr 2003] ,Brittonia,2003,"Peruíbe, Estaçao Ecológica da Juréia, Arpoador, Trilha do Imperador, Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/326833-2,tax_nov,IPNI,NA
Thelypteris multigemmifera,92245,Thelypteris multigemmifera,326834-2,Thelypteridaceae,Thelypteris,multigemmifera,spec.,Brittonia 54(4): 336 (-337; f.3). 2003 [16 Apr 2003] ,Brittonia,2003,"Analandia, Serra do Cuscuzeiro, Sitio Agua Fria, Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/326834-2,tax_nov,IPNI,NA
Thelypteris paranaensis,92255,Thelypteris paranaensis,326835-2,Thelypteridaceae,Thelypteris,paranaensis,spec.,Brittonia 54(4): 337 (-338; f.2A-C). 2003 [16 Apr 2003] ,Brittonia,2003,"Paranaguá, Ilha do Mel, Paraná (Brazil, Southern America)",NA,NA,www.ipni.org/n/326835-2,tax_nov,IPNI,NA
Thelypteris semirii,92293,Thelypteris semirii,319766-2,Thelypteridaceae,Thelypteris,semirii,spec.,Novon 10(1): 74 (-77; f.1). 2000 [17 Apr 2000] ,Novon,2000,"Marliéria, Parque Estadual do Rio Doce, Campolina, Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641398&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 10 May 2000],www.ipni.org/n/319766-2,tax_nov,IPNI,NA
