"","id_FFB","Group","Family","Genus","Species","taxon_name","Author","reference","publication","publicationYear","bhlLink","remarks","doi","id_IPNI","url_IPNI"
"1","593744","Samambaias e Licófitas","Anemiaceae","Aneimia","macrophylla","Aneimia macrophylla","Hort.",NA,NA,NA,NA,NA,NA,NA,NA
"2","619031","Samambaias e Licófitas","Anemiaceae","Anemia","adiantifolia","Anemia adiantifolia","(L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA
"3","90614","Samambaias e Licófitas","Anemiaceae","Anemia","ahenobarba","Anemia ahenobarba","Christ",NA,NA,NA,NA,NA,NA,NA,NA
"4","90590","Samambaias e Licófitas","Anemiaceae","Anemia","alfredi-rohrii","Anemia alfredi-rohrii","Brade","Bradea 1(3): 28, t. 2. 1970 [30 Aug 1970 (as 'Alfredi-Rohrii')","Bradea",1970,NA,NA,NA,"13229-2","www.ipni.org/n/13229-2"
"5","603533","Samambaias e Licófitas","Anemiaceae","Anemia","andersonii","Anemia andersonii","Mickel & Labiak","Fl. Neotrop. Monogr. 118: 31. 2016 [3 Aug 2016] ","Fl. Neotrop. Monogr.",2016,NA,NA,NA,"77163048-1","www.ipni.org/n/77163048-1"
"6","90660","Samambaias e Licófitas","Anemiaceae","Anemia","anthriscifolia","Anemia anthriscifolia","Schrad.","Gött. Gel. Anz. 865. 1824 ; & Prantl, Schiz. 97; Lindm. Ark. for Bot. 1. 258 t. 12 f 1.","Gött. Gel. Anz.",1824,NA,NA,NA,"17020110-1","www.ipni.org/n/17020110-1"
"7","90591","Samambaias e Licófitas","Anemiaceae","Anemia","antrorsa","Anemia antrorsa","Mickel","Amer. Fern J. 75: 33, fig. 1985 ","Amer. Fern J.",1985,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1985&rft.spage=33&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"272136-2","www.ipni.org/n/272136-2"
"8","116579","Samambaias e Licófitas","Anemiaceae","Anemia","aspera","Anemia aspera","(Fée) Baker","J. Linn. Soc., Bot. 14: 27. 1873 [1875 publ. 1873] ; & Prantl, Schiz. 99","J. Linn. Soc., Bot.",1873,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=27&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"17020120-1","www.ipni.org/n/17020120-1"
"9","287902","Samambaias e Licófitas","Anemiaceae","Anemia","australis","Anemia australis","(Mickel) M. Kessler & A.R. Sm.","Brittonia 59(2): 196. 2007 [29 Jun 2007] ","Brittonia",2007,NA,NA,NA,"77087339-1","www.ipni.org/n/77087339-1"
"10","90592","Samambaias e Licófitas","Anemiaceae","Anemia","barbatula","Anemia barbatula","Christ",NA,NA,NA,NA,NA,NA,NA,NA
"11","90593","Samambaias e Licófitas","Anemiaceae","Anemia","blackii","Anemia blackii","Brade","Arch. Jard. Bot. Rio de Janeiro 18: 25. 1965 ","Arch. Jard. Bot. Rio de Janeiro",1965,NA,NA,NA,"13238-2","www.ipni.org/n/13238-2"
"12","126971","Samambaias e Licófitas","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","Brade","Arch. Jard. Bot. Rio de Janeiro 11: 33. t.12. 1951 ","Arch. Jard. Bot. Rio de Janeiro",1951,NA,NA,NA,"17369050-1","www.ipni.org/n/17369050-1"
"13","90594","Samambaias e Licófitas","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","Sm.",NA,NA,NA,NA,NA,NA,NA,NA
